Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 11.009 ; 11.683.935.705 ; 25.639 ; 8.953.975.002 ; 102.230 ; 19.108.831.500 ; 182.219 ; 19.918.727.110 ; 321.097 ; 59.665.469.317 ; 3.416 ; 44.028.245.024 ; 3.303 ; 37.696.724.107 ; 6.719 ; 81.724.969.131 ; 327.816 ; 141.390.438.448 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 19.051 ; 15.441.596.389 ; 51.424 ; 13.420.415.465 ; 192.343 ; 20.169.965.511 ; 293.006 ; 21.216.357.640 ; 555.824 ; 70.248.335.006 ; 2.508 ; 31.066.465.241 ; 2.699 ; 34.883.603.040 ; 5.207 ; 65.950.068.280 ; 561.031 ; 136.198.403.286 ;
3;33.479.023;BANCO CITIBANK S.A.; 4.866 ; 8.607.257.257 ; 28.560 ; 7.056.744.971 ; 31.012 ; 28.672.175.666 ; 40.335 ; 28.547.178.333 ; 104.773 ; 72.883.356.227 ; 834 ; 15.116.297.075 ; 1.010 ; 17.735.239.157 ; 1.844 ; 32.851.536.232 ; 106.617 ; 105.734.892.459 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 384 ; 639.195.759 ; 2.069 ; 1.580.890.763 ; 516 ; 1.602.682.204 ; 1.545 ; 1.496.787.931 ; 4.514 ; 5.319.556.657 ; 1.727 ; 47.108.823.101 ; 1.836 ; 46.548.512.460 ; 3.563 ; 93.657.335.561 ; 8.077 ; 98.976.892.218 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.258 ; 4.004.072.497 ; 9.358 ; 2.371.803.463 ; 8.160 ; 21.344.599.919 ; 11.845 ; 20.116.679.845 ; 30.621 ; 47.837.155.725 ; 1.899 ; 25.252.269.316 ; 1.959 ; 23.526.391.357 ; 3.858 ; 48.778.660.674 ; 34.479 ; 96.615.816.399 ;
6;00.000.000;BANCO DO BRASIL S.A.; 31.601 ; 16.321.335.984 ; 66.898 ; 11.385.153.840 ; 160.189 ; 8.082.687.853 ; 227.090 ; 11.446.263.458 ; 485.778 ; 47.235.441.135 ; 1.445 ; 6.836.600.317 ; 1.444 ; 10.582.655.887 ; 2.889 ; 17.419.256.205 ; 488.667 ; 64.654.697.340 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 1.033 ; 3.008.636.000 ; 4.500 ; 1.994.124.513 ; 9.556 ; 6.167.818.116 ; 15.220 ; 4.489.171.329 ; 30.309 ; 15.659.749.959 ; 1.065 ; 24.380.765.001 ; 1.463 ; 22.669.048.739 ; 2.528 ; 47.049.813.740 ; 32.837 ; 62.709.563.699 ;
8;60.746.948;BANCO BRADESCO S.A.; 11.709 ; 11.797.655.554 ; 21.178 ; 4.963.419.907 ; 92.184 ; 8.341.879.479 ; 80.893 ; 9.230.185.941 ; 205.964 ; 34.333.140.881 ; 1.884 ; 8.197.424.396 ; 2.069 ; 14.057.949.882 ; 3.953 ; 22.255.374.278 ; 209.917 ; 56.588.515.159 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 693 ; 2.318.664.667 ; 2.981 ; 1.125.330.858 ; 6.172 ; 5.042.553.231 ; 9.259 ; 5.542.916.906 ; 19.105 ; 14.029.465.661 ; 3.427 ; 11.075.690.113 ; 3.461 ; 11.857.824.084 ; 6.888 ; 22.933.514.198 ; 25.993 ; 36.962.979.859 ;
