Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 78 ; 110.238.124 ; 641 ; 298.106.130 ; 116 ; 363.332.720 ; 384 ; 333.960.519 ; 1.219 ; 1.105.637.493 ; 380 ; 21.192.545.817 ; 414 ; 21.300.695.869 ; 794 ; 42.493.241.686 ; 2.013 ; 43.598.879.179 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 2.320 ; 3.274.302.269 ; 6.072 ; 2.184.335.045 ; 24.206 ; 4.466.632.395 ; 46.158 ; 5.528.052.665 ; 78.756 ; 15.453.322.374 ; 794 ; 11.086.626.747 ; 837 ; 11.955.977.472 ; 1.631 ; 23.042.604.219 ; 80.387 ; 38.495.926.593 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 4.202 ; 3.460.406.712 ; 12.909 ; 3.710.210.346 ; 48.520 ; 3.627.448.796 ; 84.286 ; 5.126.047.870 ; 149.917 ; 15.924.113.724 ; 618 ; 8.345.733.300 ; 613 ; 7.083.701.105 ; 1.231 ; 15.429.434.405 ; 151.148 ; 31.353.548.129 ;
4;33.479.023;BANCO CITIBANK S.A.; 1.110 ; 3.325.073.562 ; 7.141 ; 1.653.057.090 ; 6.920 ; 6.178.878.758 ; 9.036 ; 6.896.516.924 ; 24.207 ; 18.053.526.334 ; 160 ; 3.923.073.186 ; 230 ; 5.259.693.580 ; 390 ; 9.182.766.767 ; 24.597 ; 27.236.293.101 ;
5;00.000.000;BANCO DO BRASIL S.A.; 6.820 ; 4.195.888.230 ; 17.029 ; 2.850.994.039 ; 47.117 ; 4.230.234.494 ; 61.617 ; 5.312.402.391 ; 132.583 ; 16.589.519.153 ; 273 ; 1.652.387.420 ; 287 ; 3.426.763.299 ; 560 ; 5.079.150.719 ; 133.143 ; 21.668.669.873 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 349 ; 557.844.773 ; 2.398 ; 614.090.439 ; 1.821 ; 4.964.038.929 ; 2.813 ; 3.074.508.505 ; 7.381 ; 9.210.482.647 ; 416 ; 4.366.277.925 ; 425 ; 3.889.934.786 ; 841 ; 8.256.212.711 ; 8.222 ; 17.466.695.358 ;
7;60.746.948;BANCO BRADESCO S.A.; 2.535 ; 3.336.766.559 ; 5.191 ; 1.386.280.996 ; 21.585 ; 1.436.726.342 ; 20.687 ; 2.087.632.961 ; 49.998 ; 8.247.406.857 ; 464 ; 1.750.162.538 ; 509 ; 3.152.028.034 ; 973 ; 4.902.190.572 ; 50.971 ; 13.149.597.429 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 278 ; 811.013.075 ; 995 ; 393.823.132 ; 2.209 ; 833.551.570 ; 3.946 ; 938.486.715 ; 7.428 ; 2.976.874.491 ; 238 ; 4.746.861.973 ; 343 ; 3.343.823.450 ; 581 ; 8.090.685.423 ; 8.009 ; 11.067.559.914 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 142 ; 1.191.884.358 ; 735 ; 578.733.293 ; 495 ; 2.097.953.742 ; 703 ; 2.043.230.774 ; 2.075 ; 5.911.802.168 ; 182 ; 1.036.092.548 ; 147 ; 1.769.306.147 ; 329 ; 2.805.398.696 ; 2.404 ; 8.717.200.864 ;
10;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 253 ; 2.209.651.367 ; 226 ; 2.516.632.521 ; 479 ; 4.726.283.888 ; 52 ; 2.443.017.941 ; 43 ; 1.367.020.071 ; 95 ; 3.810.038.012 ; 574 ; 8.536.321.899 ;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 187 ; 602.300.411 ; 680 ; 253.514.474 ; 1.414 ; 888.277.521 ; 1.836 ; 1.343.159.478 ; 4.117 ; 3.087.251.884 ; 747 ; 2.613.027.532 ; 752 ; 2.808.414.104 ; 1.499 ; 5.421.441.636 ; 5.616 ; 8.508.693.520 ;
12;60.498.557;BANCO MUFG BRASIL S.A.; 72 ; 22.247.526 ; 234 ; 140.208.185 ; 237 ; 164.439.965 ; 555 ; 384.560.310 ; 1.098 ; 711.455.986 ; 658 ; 2.535.243.121 ; 657 ; 2.215.350.888 ; 1.315 ; 4.750.594.009 ; 2.413 ; 5.462.049.995 ;
13;03.532.415;BANCO ABN AMRO S.A.;;;;; 250 ; 2.407.534.106 ; 274 ; 2.455.869.231 ; 524 ; 4.863.403.337 ; 10 ; 205.078.261 ; 4 ; 131.000.000 ; 14 ; 336.078.261 ; 538 ; 5.199.481.599 ;
14;53.518.684;BANCO HSBC S.A.; 16 ; 338.064.798 ; 55 ; 9.892.161 ; 169 ; 607.434.722 ; 252 ; 165.883.375 ; 492 ; 1.121.275.056 ; 109 ; 1.465.476.134 ; 134 ; 2.223.361.329 ; 243 ; 3.688.837.462 ; 735 ; 4.810.112.518 ;
15;59.588.111;BANCO VOTORANTIM S.A.; 234 ; 243.773.893 ; 798 ; 93.995.076 ; 192 ; 285.930.461 ; 677 ; 282.256.656 ; 1.901 ; 905.956.086 ; 335 ; 1.558.707.323 ; 536 ; 1.496.726.206 ; 871 ; 3.055.433.529 ; 2.772 ; 3.961.389.615 ;
