Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.266 ; 3.057.218.044 ; 6.689 ; 2.944.407.690 ; 26.914 ; 5.385.655.108 ; 48.421 ; 5.291.769.238 ; 85.290 ; 16.679.050.079 ; 859 ; 13.122.528.497 ; 862 ; 13.890.264.273 ; 1.721 ; 27.012.792.771 ; 87.011 ; 43.691.842.850 ;;
2;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 108 ; 195.903.375 ; 489 ; 336.056.091 ; 164 ; 667.046.047 ; 414 ; 842.169.420 ; 1.175 ; 2.041.174.934 ; 463 ; 17.382.595.030 ; 479 ; 17.088.400.936 ; 942 ; 34.470.995.966 ; 2.117 ; 36.512.170.899 ;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 5.766 ; 3.845.342.800 ; 13.010 ; 3.320.350.035 ; 52.954 ; 5.016.151.859 ; 77.369 ; 5.815.411.515 ; 149.099 ; 17.997.256.209 ; 720 ; 8.163.323.987 ; 715 ; 7.209.701.628 ; 1.435 ; 15.373.025.615 ; 150.534 ; 33.370.281.823 ;;
4;33.479.023;BANCO CITIBANK S.A.; 1.391 ; 2.708.775.367 ; 7.167 ; 1.576.568.301 ; 7.574 ; 7.847.502.308 ; 10.783 ; 8.460.678.698 ; 26.915 ; 20.593.524.673 ; 184 ; 4.303.398.793 ; 223 ; 4.483.175.685 ; 407 ; 8.786.574.479 ; 27.322 ; 29.380.099.152 ;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 327 ; 531.028.140 ; 2.624 ; 653.212.685 ; 2.087 ; 8.103.831.888 ; 3.683 ; 8.500.033.411 ; 8.721 ; 17.788.106.125 ; 494 ; 5.392.773.661 ; 515 ; 6.195.076.345 ; 1.009 ; 11.587.850.006 ; 9.730 ; 29.375.956.130 ;;
6;60.746.948;BANCO BRADESCO S.A.; 3.231 ; 3.777.516.786 ; 5.580 ; 1.321.427.421 ; 23.202 ; 2.387.874.584 ; 22.128 ; 3.421.821.184 ; 54.141 ; 10.908.639.975 ; 532 ; 2.185.331.141 ; 585 ; 3.997.957.440 ; 1.117 ; 6.183.288.581 ; 55.258 ; 17.091.928.556 ;;
7;00.000.000;BANCO DO BRASIL S.A.; 10.393 ; 5.621.237.109 ; 18.540 ; 3.023.146.020 ; 89.987 ; 989.139.126 ; 58.758 ; 1.920.570.110 ; 177.678 ; 11.554.092.365 ; 418 ; 1.224.195.518 ; 414 ; 2.774.855.189 ; 832 ; 3.999.050.708 ; 178.510 ; 15.553.143.073 ;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 459 ; 787.457.905 ; 1.284 ; 651.739.161 ; 2.727 ; 1.015.116.641 ; 3.510 ; 1.246.287.165 ; 7.980 ; 3.700.600.872 ; 217 ; 4.640.023.683 ; 371 ; 3.721.789.802 ; 588 ; 8.361.813.485 ; 8.568 ; 12.062.414.357 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 162 ; 682.696.904 ; 537 ; 278.294.784 ; 1.489 ; 1.753.004.193 ; 2.441 ; 1.026.185.880 ; 4.629 ; 3.740.181.761 ; 920 ; 3.067.626.387 ; 953 ; 4.154.234.552 ; 1.873 ; 7.221.860.940 ; 6.502 ; 10.962.042.701 ;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 201 ; 713.263.115 ; 636 ; 540.639.743 ; 574 ; 1.505.738.231 ; 821 ; 2.610.644.690 ; 2.232 ; 5.370.285.779 ; 230 ; 1.716.812.688 ; 150 ; 799.608.660 ; 380 ; 2.516.421.348 ; 2.612 ; 7.886.707.127 ;;
11;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 213 ; 1.971.126.934 ; 300 ; 3.351.530.214 ; 513 ; 5.322.657.149 ; 93 ; 1.936.080.214 ; 39 ; 556.093.552 ; 132 ; 2.492.173.767 ; 645 ; 7.814.830.915 ;;
12;60.498.557;BANCO MUFG BRASIL S.A.; 104 ; 167.309.632 ; 328 ; 71.068.179 ; 302 ; 185.175.941 ; 553 ; 98.264.607 ; 1.287 ; 521.818.359 ; 726 ; 3.485.083.524 ; 737 ; 3.645.946.852 ; 1.463 ; 7.131.030.377 ; 2.750 ; 7.652.848.736 ;;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; -   ; -   ; -   ; -   ; 186 ; 1.515.280.566 ; 293 ; 3.485.941.626 ; 479 ; 5.001.222.191 ; 60 ; 1.876.519.949 ; 39 ; 684.274.161 ; 99 ; 2.560.794.109 ; 578 ; 7.562.016.301 ;;
14;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 85 ; 176.480.398 ; 368 ; 427.832.221 ; 281 ; 687.836.367 ; 410 ; 622.244.737 ; 1.144 ; 1.914.393.723 ; 737 ; 2.486.124.571 ; 740 ; 2.378.705.426 ; 1.477 ; 4.864.829.997 ; 2.621 ; 6.779.223.720 ;;
15;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 367 ; 2.667.793.356 ; 409 ; 2.703.129.051 ; 776 ; 5.370.922.407 ; 11 ; 158.879.745 ; 10 ; 186.500.000 ; 21 ; 345.379.745 ; 797 ; 5.716.302.152 ;;
16;59.588.111;BANCO VOTORANTIM S.A.; 266 ; 355.668.893 ; 449 ; 150.420.184 ; 228 ; 298.461.202 ; 678 ; 206.493.178 ; 1.621 ; 1.011.043.456 ; 416 ; 1.517.533.554 ; 556 ; 1.767.125.338 ; 972 ; 3.284.658.893 ; 2.593 ; 4.295.702.349 ;;
17;33.264.668;BANCO XP S.A.; 346 ; 97.057.591 ; 2.534 ; 527.370.558 ; 4.629 ; 670.876.116 ; 16.577 ; 1.274.561.197 ; 24.086 ; 2.569.865.461 ; 156 ; 1.423.982.710 ; 118 ; 225.900.451 ; 274 ; 1.649.883.161 ; 24.360 ; 4.219.748.623 ;;
18;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 48 ; 70.143.182 ; 473 ; 79.212.690 ; 29 ; 569.053.912 ; 227 ; 462.862.834 ; 777 ; 1.181.272.619 ; 99 ; 1.180.717.521 ; 81 ; 1.300.871.291 ; 180 ; 2.481.588.812 ; 957 ; 3.662.861.431 ;;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 81 ; 819.697.455 ; 17 ; 896.980 ; 83 ; 357.097.400 ; 195 ; 313.691.336 ; 376 ; 1.491.383.171 ; 64 ; 590.897.228 ; 94 ; 1.460.591.453 ; 158 ; 2.051.488.681 ; 534 ; 3.542.871.852 ;;
20;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 132 ; 7.675.844 ; 1.022 ; 138.091.175 ; 364 ; 53.064.919 ; 9.517 ; 78.869.074 ; 11.035 ; 277.701.011 ; 454 ; 1.621.245.748 ; 485 ; 1.448.466.671 ; 939 ; 3.069.712.419 ; 11.974 ; 3.347.413.430 ;;
21;53.518.684;BANCO HSBC S.A.; 35 ; 408.592.149 ; 60 ; 25.801.037 ; 247 ; 335.800.713 ; 275 ; 211.808.976 ; 617 ; 982.002.875 ; 132 ; 983.019.795 ; 146 ; 1.357.346.077 ; 278 ; 2.340.365.872 ; 895 ; 3.322.368.747 ;;
22;07.679.404;BANCO TOPÁZIO S.A.; 213 ; 61.853.379 ; 77 ; 5.356.482 ; 29.307 ; 185.801.627 ; 76.770 ; 1.295.378.980 ; 106.367 ; 1.548.390.468 ; 1.161 ; 1.351.676.842 ; 3.542 ; 293.628.537 ; 4.703 ; 1.645.305.378 ; 111.070 ; 3.193.695.847 ;;
23;31.872.495;BANCO C6 S.A.; 108 ; 253.847.451 ; 715 ; 176.983.964 ; 14.036 ; 254.031.377 ; 102.730 ; 674.082.033 ; 117.589 ; 1.358.944.825 ; 131 ; 1.049.835.535 ; 154 ; 667.840.882 ; 285 ; 1.717.676.417 ; 117.874 ; 3.076.621.242 ;;
24;02.801.938;BANCO MORGAN STANLEY S.A.; 12 ; 442.358.199 ; 31 ; 66.688.368 ; 174 ; 649.007.217 ; 178 ; 325.120.045 ; 395 ; 1.483.173.829 ; 6 ; 81.923.480 ; 35 ; 926.917.639 ; 41 ; 1.008.841.118 ; 436 ; 2.492.014.948 ;;
25;78.632.767;BANCO OURINVEST S.A.; 677 ; 112.975.454 ; 2.514 ; 126.460.407 ; 30.558 ; 479.441.946 ; 39.504 ; 641.496.295 ; 73.253 ; 1.360.374.102 ; 918 ; 738.921.713 ; 13.178 ; 387.218.839 ; 14.096 ; 1.126.140.552 ; 87.349 ; 2.486.514.653 ;;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 221 ; 41.953.940 ; 432 ; 69.198.238 ; 5.469 ; 505.738.203 ; 8.635 ; 767.987.094 ; 14.757 ; 1.384.877.474 ; 1.603 ; 596.924.740 ; 5.264 ; 291.460.733 ; 6.867 ; 888.385.473 ; 21.624 ; 2.273.262.947 ;;
27;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 79 ; 110.477.076 ; 229 ; 50.422.476 ; 78 ; 140.669.014 ; 211 ; 299.312.005 ; 597 ; 600.880.571 ; 96 ; 838.806.282 ; 113 ; 784.249.675 ; 209 ; 1.623.055.956 ; 806 ; 2.223.936.528 ;;
