Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 17.216 ; 17.984.101.230 ; 39.417 ; 14.325.683.059 ; 155.819 ; 31.828.225.688 ; 282.604 ; 31.128.350.006 ; 495.056 ; 95.266.359.983 ; 5.290 ; 74.223.581.404 ; 5.257 ; 70.275.205.303 ; 10.547 ; 144.498.786.707 ; 505.603 ; 239.765.146.690 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 29.633 ; 23.197.520.300 ; 78.546 ; 20.758.178.892 ; 293.135 ; 31.484.722.736 ; 445.786 ; 35.194.261.161 ; 847.100 ; 110.634.683.089 ; 3.995 ; 47.091.614.974 ; 4.127 ; 47.693.727.887 ; 8.122 ; 94.785.342.861 ; 855.222 ; 205.420.025.950 ;
3;33.479.023;BANCO CITIBANK S.A.; 7.606 ; 13.472.732.597 ; 42.521 ; 10.257.037.140 ; 46.696 ; 48.040.612.359 ; 62.652 ; 49.388.984.382 ; 159.475 ; 121.159.366.478 ; 1.224 ; 23.775.168.881 ; 1.472 ; 26.291.424.045 ; 2.696 ; 50.066.592.926 ; 162.171 ; 171.225.959.404 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 610 ; 1.030.707.292 ; 3.105 ; 2.190.543.728 ; 802 ; 2.696.841.731 ; 2.329 ; 2.761.059.080 ; 6.846 ; 8.679.151.831 ; 2.624 ; 75.880.605.330 ; 2.785 ; 74.691.098.736 ; 5.409 ; 150.571.704.066 ; 12.255 ; 159.250.855.897 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.937 ; 5.129.022.627 ; 14.580 ; 3.873.105.984 ; 12.203 ; 36.869.406.831 ; 19.269 ; 35.562.162.062 ; 47.989 ; 81.433.697.504 ; 2.887 ; 38.149.169.994 ; 3.029 ; 37.701.039.489 ; 5.916 ; 75.850.209.483 ; 53.905 ; 157.283.906.987 ;
6;00.000.000;BANCO DO BRASIL S.A.; 50.469 ; 27.477.307.170 ; 105.729 ; 17.181.279.877 ; 291.745 ; 10.352.900.526 ; 353.576 ; 16.065.798.319 ; 801.519 ; 71.077.285.892 ; 2.280 ; 12.337.394.712 ; 2.265 ; 16.224.457.010 ; 4.545 ; 28.561.851.722 ; 806.064 ; 99.639.137.614 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 1.850 ; 4.210.835.830 ; 6.838 ; 3.013.795.616 ; 14.561 ; 8.491.780.577 ; 23.136 ; 7.550.004.376 ; 46.385 ; 23.266.416.399 ; 1.497 ; 34.790.157.628 ; 2.157 ; 32.372.052.009 ; 3.654 ; 67.162.209.637 ; 50.039 ; 90.428.626.036 ;
8;60.746.948;BANCO BRADESCO S.A.; 17.712 ; 18.178.928.089 ; 32.281 ; 7.582.096.544 ; 139.094 ; 13.382.520.479 ; 126.605 ; 15.928.050.252 ; 315.692 ; 55.071.595.364 ; 2.934 ; 13.124.108.847 ; 3.179 ; 21.402.564.518 ; 6.113 ; 34.526.673.365 ; 321.805 ; 89.598.268.729 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.009 ; 3.581.663.841 ; 4.063 ; 1.625.993.688 ; 9.082 ; 8.465.121.363 ; 14.643 ; 8.303.398.648 ; 28.797 ; 21.976.177.540 ; 5.432 ; 20.430.402.709 ; 5.501 ; 22.565.395.628 ; 10.933 ; 42.995.798.337 ; 39.730 ; 64.971.975.877 ;
