Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 20.501 ; 20.060.683.945 ; 46.131 ; 16.202.420.542 ; 180.591 ; 37.486.120.771 ; 331.483 ; 35.261.592.888 ; 578.706 ; 109.010.818.146 ; 6.203 ; 88.880.378.593 ; 6.161 ; 84.759.625.011 ; 12.364 ; 173.640.003.604 ; 591.070 ; 282.650.821.750 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 34.698 ; 27.315.108.698 ; 91.368 ; 23.879.987.667 ; 335.551 ; 37.075.156.473 ; 523.209 ; 41.335.271.088 ; 984.826 ; 129.605.523.926 ; 4.682 ; 54.414.906.304 ; 4.861 ; 55.963.068.689 ; 9.543 ; 110.377.974.993 ; 994.369 ; 239.983.498.919 ;
3;33.479.023;BANCO CITIBANK S.A.; 8.845 ; 16.142.887.580 ; 49.648 ; 11.867.123.881 ; 54.531 ; 55.350.684.871 ; 73.338 ; 57.942.641.656 ; 186.362 ; 141.303.337.988 ; 1.415 ; 29.099.658.493 ; 1.683 ; 30.787.738.416 ; 3.098 ; 59.887.396.909 ; 189.460 ; 201.190.734.897 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.216 ; 5.602.825.879 ; 17.123 ; 4.448.648.696 ; 13.892 ; 42.692.067.859 ; 22.255 ; 41.354.923.830 ; 55.486 ; 94.098.466.264 ; 3.499 ; 47.830.455.305 ; 3.550 ; 46.383.122.239 ; 7.049 ; 94.213.577.544 ; 62.535 ; 188.312.043.808 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 718 ; 1.210.810.356 ; 3.617 ; 2.447.367.557 ; 959 ; 3.165.116.238 ; 2.641 ; 2.947.773.473 ; 7.935 ; 9.771.067.624 ; 2.992 ; 79.208.667.812 ; 3.164 ; 78.270.003.501 ; 6.156 ; 157.478.671.313 ; 14.091 ; 167.249.738.937 ;
6;00.000.000;BANCO DO BRASIL S.A.; 59.504 ; 32.279.335.126 ; 124.374 ; 19.820.473.793 ; 321.347 ; 11.752.207.796 ; 413.603 ; 18.662.768.966 ; 918.828 ; 82.514.785.681 ; 2.621 ; 13.414.278.225 ; 2.630 ; 19.361.133.286 ; 5.251 ; 32.775.411.511 ; 924.079 ; 115.290.197.192 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 2.248 ; 5.042.087.644 ; 8.000 ; 3.203.755.352 ; 17.091 ; 9.899.396.849 ; 26.903 ; 8.626.636.045 ; 54.242 ; 26.771.875.890 ; 1.694 ; 40.196.234.556 ; 2.557 ; 37.631.255.354 ; 4.251 ; 77.827.489.910 ; 58.493 ; 104.599.365.800 ;
8;60.746.948;BANCO BRADESCO S.A.; 20.595 ; 20.860.587.600 ; 37.936 ; 9.056.941.944 ; 161.113 ; 15.331.971.882 ; 150.216 ; 18.336.233.357 ; 369.860 ; 63.585.734.783 ; 3.416 ; 15.216.713.118 ; 3.696 ; 24.182.057.062 ; 7.112 ; 39.398.770.180 ; 376.972 ; 102.984.504.963 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.140 ; 4.174.539.281 ; 4.849 ; 1.880.782.774 ; 10.647 ; 10.152.438.193 ; 17.259 ; 9.127.822.068 ; 33.895 ; 25.335.582.316 ; 6.380 ; 22.316.777.105 ; 6.498 ; 26.019.825.151 ; 12.878 ; 48.336.602.256 ; 46.773 ; 73.672.184.572 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.165 ; 5.890.046.499 ; 4.711 ; 2.985.689.933 ; 3.814 ; 14.842.340.610 ; 5.233 ; 16.989.212.263 ; 14.923 ; 40.707.289.305 ; 1.333 ; 9.107.096.735 ; 1.128 ; 9.910.617.196 ; 2.461 ; 19.017.713.931 ; 17.384 ; 59.725.003.236 ;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; -   ; -   ; 2 ; 60.608.606 ; 1.572 ; 17.892.449.116 ; 1.928 ; 18.673.663.042 ; 3.502 ; 36.626.720.764 ; 333 ; 12.433.510.644 ; 335 ; 9.705.789.561 ; 668 ; 22.139.300.205 ; 4.170 ; 58.766.020.969 ;
12;60.498.557;BANCO MUFG BRASIL S.A.; 582 ; 593.450.833 ; 1.912 ; 648.341.872 ; 1.887 ; 1.364.348.280 ; 3.576 ; 1.848.423.622 ; 7.957 ; 4.454.564.607 ; 4.535 ; 19.612.520.863 ; 4.536 ; 19.399.915.299 ; 9.071 ; 39.012.436.162 ; 17.028 ; 43.467.000.769 ;
13;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 791 ; 1.154.111.685 ; 2.003 ; 1.678.033.847 ; 1.706 ; 4.067.853.383 ; 2.815 ; 2.913.771.301 ; 7.315 ; 9.813.770.216 ; 4.133 ; 11.929.394.230 ; 4.235 ; 12.885.711.118 ; 8.368 ; 24.815.105.348 ; 15.683 ; 34.628.875.564 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 1.762 ; 10.865.982.820 ; 1.717 ; 12.272.731.431 ; 3.479 ; 23.138.714.251 ; 433 ; 6.207.455.880 ; 390 ; 4.799.461.826 ; 823 ; 11.006.917.706 ; 4.302 ; 34.145.631.957 ;
