Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 24.291 ; 22.408.469.070 ; 52.995 ; 18.221.066.079 ; 210.176 ; 43.239.033.977 ; 380.120 ; 38.792.537.967 ; 667.582 ; 122.661.107.093 ; 7.013 ; 101.199.868.808 ; 7.053 ; 98.697.167.649 ; 14.066 ; 199.897.036.457 ; 681.648 ; 322.558.143.550 ;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 41.183 ; 31.487.275.701 ; 104.479 ; 27.135.579.625 ; 395.529 ; 43.656.481.586 ; 595.158 ; 48.240.458.668 ; 1.136.349 ; 150.519.795.580 ; 5.326 ; 61.218.278.141 ; 5.583 ; 63.223.159.156 ; 10.909 ; 124.441.437.297 ; 1.147.258 ; 274.961.232.877 ;;
3;33.479.023;BANCO CITIBANK S.A.; 10.151 ; 18.965.265.416 ; 56.882 ; 13.594.946.268 ; 62.566 ; 63.785.238.399 ; 86.322 ; 68.611.040.064 ; 215.921 ; 164.956.490.147 ; 1.770 ; 35.581.668.603 ; 2.048 ; 36.617.946.857 ; 3.818 ; 72.199.615.460 ; 219.739 ; 237.156.105.607 ;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.568 ; 6.032.331.744 ; 19.621 ; 4.938.429.367 ; 15.922 ; 48.032.425.286 ; 25.829 ; 48.181.505.435 ; 63.940 ; 107.184.691.832 ; 4.226 ; 60.873.357.678 ; 4.068 ; 55.810.230.976 ; 8.294 ; 116.683.588.654 ; 72.234 ; 223.868.280.486 ;;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 812 ; 1.314.859.338 ; 4.240 ; 2.789.227.152 ; 1.088 ; 3.543.728.582 ; 3.079 ; 3.424.249.043 ; 9.219 ; 11.072.064.115 ; 3.473 ; 83.706.687.433 ; 3.629 ; 82.375.039.660 ; 7.102 ; 166.081.727.093 ; 16.321 ; 177.153.791.208 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 70.529 ; 37.325.599.225 ; 144.737 ; 22.598.227.341 ; 347.360 ; 13.194.864.205 ; 467.536 ; 20.163.119.115 ; 1.030.162 ; 93.281.809.886 ; 2.974 ; 14.326.930.566 ; 2.994 ; 22.187.441.267 ; 5.968 ; 36.514.371.833 ; 1.036.130 ; 129.796.181.719 ;;
7;60.746.948;BANCO BRADESCO S.A.; 24.202 ; 24.081.087.831 ; 44.107 ; 10.576.569.610 ; 187.012 ; 18.007.322.733 ; 185.100 ; 21.037.840.417 ; 440.421 ; 73.702.820.591 ; 3.984 ; 18.803.931.149 ; 4.289 ; 29.455.133.137 ; 8.273 ; 48.259.064.286 ; 448.694 ; 121.961.884.877 ;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 2.783 ; 5.842.373.598 ; 9.363 ; 3.399.373.748 ; 20.089 ; 11.083.335.169 ; 30.626 ; 9.788.856.258 ; 62.861 ; 30.113.938.773 ; 1.906 ; 44.400.372.003 ; 2.941 ; 42.769.349.422 ; 4.847 ; 87.169.721.425 ; 67.708 ; 117.283.660.198 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.309 ; 4.574.467.864 ; 5.852 ; 2.424.056.354 ; 12.090 ; 11.352.336.412 ; 20.149 ; 9.941.880.437 ; 39.400 ; 28.292.741.067 ; 7.388 ; 24.813.167.218 ; 7.498 ; 28.360.235.656 ; 14.886 ; 53.173.402.874 ; 54.286 ; 81.466.143.941 ;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.336 ; 6.852.207.932 ; 5.413 ; 3.295.400.423 ; 4.381 ; 16.752.081.607 ; 6.108 ; 19.818.748.962 ; 17.238 ; 46.718.438.924 ; 1.422 ; 10.215.532.500 ; 1.229 ; 10.675.183.595 ; 2.651 ; 20.890.716.095 ; 19.889 ; 67.609.155.019 ;;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; -   ; -   ; 2 ; 60.608.606 ; 1.879 ; 19.453.468.183 ; 2.161 ; 20.734.703.933 ; 4.042 ; 40.248.780.722 ; 373 ; 13.650.228.698 ; 358 ; 10.225.512.988 ; 731 ; 23.875.741.686 ; 4.773 ; 64.124.522.408 ;;
12;60.498.557;BANCO MUFG BRASIL S.A.; 664 ; 789.343.289 ; 2.213 ; 802.981.003 ; 2.195 ; 1.649.549.306 ; 4.123 ; 2.168.183.829 ; 9.195 ; 5.410.057.427 ; 5.211 ; 21.409.197.845 ; 5.215 ; 21.167.657.259 ; 10.426 ; 42.576.855.104 ; 19.621 ; 47.986.912.531 ;;
13;59.588.111;BANCO VOTORANTIM S.A.; 1.961 ; 2.484.535.156 ; 5.688 ; 963.758.941 ; 1.716 ; 2.420.124.351 ; 5.099 ; 1.802.854.712 ; 14.464 ; 7.671.273.160 ; 3.041 ; 16.870.374.213 ; 4.583 ; 18.753.106.902 ; 7.624 ; 35.623.481.115 ; 22.088 ; 43.294.754.275 ;;
