Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.795 ; 2.348.455.126 ; 6.873 ; 2.023.335.728 ; 29.586 ; 5.752.914.049 ; 48.649 ; 3.532.003.632 ; 88.903 ; 13.656.708.535 ; 810 ; 12.319.490.214 ; 892 ; 13.937.542.639 ; 1.702 ; 26.257.032.853 ; 90.605 ; 39.913.741.388 ;;
2;33.479.023;BANCO CITIBANK S.A.; 1.306 ; 2.822.377.835 ; 7.234 ; 1.727.822.387 ; 8.034 ; 8.434.553.528 ; 12.983 ; 10.668.398.408 ; 29.557 ; 23.653.152.158 ; 355 ; 6.482.010.110 ; 365 ; 5.830.208.441 ; 720 ; 12.312.218.551 ; 30.277 ; 35.965.370.709 ;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 352 ; 429.505.865 ; 2.498 ; 489.780.671 ; 2.030 ; 5.340.357.428 ; 3.574 ; 6.826.581.605 ; 8.454 ; 13.086.225.569 ; 727 ; 13.042.902.373 ; 518 ; 9.427.108.736 ; 1.245 ; 22.470.011.109 ; 9.699 ; 35.556.236.678 ;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 6.485 ; 4.172.460.569 ; 13.116 ; 3.257.146.477 ; 59.978 ; 6.581.222.469 ; 71.942 ; 6.911.180.667 ; 151.521 ; 20.922.010.182 ; 644 ; 6.803.371.837 ; 722 ; 7.260.090.467 ; 1.366 ; 14.063.462.304 ; 152.887 ; 34.985.472.486 ;;
5;60.746.948;BANCO BRADESCO S.A.; 3.607 ; 3.220.500.367 ; 6.171 ; 1.519.627.666 ; 25.905 ; 2.675.387.493 ; 34.886 ; 2.701.610.422 ; 70.569 ; 10.117.125.948 ; 568 ; 3.587.218.031 ; 593 ; 5.273.076.075 ; 1.161 ; 8.860.294.106 ; 71.730 ; 18.977.420.054 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 11.029 ; 5.046.343.794 ; 20.365 ; 2.777.797.815 ; 33.615 ; 1.445.259.479 ; 53.936 ; 1.499.326.276 ; 118.945 ; 10.768.727.364 ; 353 ; 912.652.341 ; 364 ; 2.826.307.981 ; 717 ; 3.738.960.322 ; 119.662 ; 14.507.687.686 ;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 535 ; 800.285.955 ; 1.363 ; 195.618.397 ; 2.998 ; 1.183.938.320 ; 3.723 ; 1.162.258.016 ; 8.619 ; 3.342.100.688 ; 212 ; 4.204.137.447 ; 384 ; 5.138.094.068 ; 596 ; 9.342.231.515 ; 9.215 ; 12.684.332.203 ;;
8;59.588.111;BANCO VOTORANTIM S.A.; 221 ; 321.774.572 ; 604 ; 92.922.484 ; 223 ; 351.218.939 ; 541 ; 326.185.447 ; 1.589 ; 1.092.101.442 ; 390 ; 4.856.407.502 ; 533 ; 5.038.841.375 ; 923 ; 9.895.248.877 ; 2.512 ; 10.987.350.319 ;;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 94 ; 104.048.982 ; 623 ; 341.859.595 ; 129 ; 378.612.344 ; 438 ; 476.475.570 ; 1.284 ; 1.300.996.491 ; 481 ; 4.498.019.620 ; 465 ; 4.105.036.159 ; 946 ; 8.603.055.779 ; 2.230 ; 9.904.052.270 ;;
