Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 29.207 ; 24.069.241.390 ; 66.121 ; 20.586.983.083 ; 233.851 ; 51.155.600.609 ; 419.074 ; 45.309.915.523 ; 748.253 ; 141.121.740.605 ; 7.827 ; 111.357.060.731 ; 7.923 ; 110.400.041.968 ; 15.750 ; 221.757.102.699 ; 764.003 ; 362.878.843.304 ;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 49.255 ; 35.575.653.964 ; 126.545 ; 30.778.752.647 ; 451.253 ; 48.956.586.426 ; 656.646 ; 53.498.470.558 ; 1.283.699 ; 168.809.463.595 ; 6.016 ; 71.185.122.218 ; 6.247 ; 71.709.236.796 ; 12.263 ; 142.894.359.014 ; 1.295.962 ; 311.703.822.609 ;;
3;33.479.023;BANCO CITIBANK S.A.; 11.293 ; 21.312.654.424 ; 63.290 ; 15.186.385.693 ; 69.230 ; 69.992.883.968 ; 96.392 ; 76.962.254.436 ; 240.205 ; 183.454.178.521 ; 2.008 ; 40.068.334.732 ; 2.286 ; 39.843.601.296 ; 4.294 ; 79.911.936.028 ; 244.499 ; 263.366.114.549 ;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.906 ; 7.628.188.700 ; 21.367 ; 5.674.508.250 ; 17.719 ; 52.737.570.773 ; 28.449 ; 56.137.331.442 ; 70.441 ; 122.177.599.165 ; 4.723 ; 67.539.999.675 ; 4.555 ; 61.777.318.147 ; 9.278 ; 129.317.317.822 ; 79.719 ; 251.494.916.987 ;;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 880 ; 1.477.876.384 ; 5.016 ; 3.060.488.783 ; 1.198 ; 3.948.930.714 ; 3.440 ; 3.884.840.248 ; 10.534 ; 12.372.136.129 ; 3.862 ; 88.936.701.172 ; 4.045 ; 87.414.674.286 ; 7.907 ; 176.351.375.458 ; 18.441 ; 188.723.511.587 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 79.559 ; 41.551.992.409 ; 164.444 ; 25.329.636.406 ; 378.423 ; 14.362.709.313 ; 518.079 ; 22.231.116.737 ; 1.140.505 ; 103.475.454.865 ; 3.316 ; 15.465.742.876 ; 3.348 ; 24.761.208.159 ; 6.664 ; 40.226.951.035 ; 1.147.169 ; 143.702.405.900 ;;
7;60.746.948;BANCO BRADESCO S.A.; 28.263 ; 27.135.204.804 ; 52.175 ; 12.210.041.517 ; 208.881 ; 20.274.959.245 ; 219.787 ; 23.837.451.601 ; 509.106 ; 83.457.657.167 ; 4.448 ; 21.219.197.084 ; 4.788 ; 32.426.103.721 ; 9.236 ; 53.645.300.805 ; 518.342 ; 137.102.957.972 ;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 3.328 ; 6.808.397.451 ; 10.614 ; 3.603.422.950 ; 22.786 ; 12.356.540.790 ; 34.240 ; 10.982.005.591 ; 70.968 ; 33.750.366.782 ; 2.125 ; 48.422.991.037 ; 3.327 ; 48.175.153.457 ; 5.452 ; 96.598.144.494 ; 76.420 ; 130.348.511.276 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.485 ; 4.954.390.811 ; 6.693 ; 2.838.482.498 ; 13.452 ; 12.692.060.534 ; 22.147 ; 11.210.065.869 ; 43.777 ; 31.694.999.712 ; 8.252 ; 27.057.463.932 ; 8.363 ; 30.721.512.486 ; 16.615 ; 57.778.976.418 ; 60.392 ; 89.473.976.130 ;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.522 ; 7.333.132.023 ; 5.973 ; 3.605.433.789 ; 4.858 ; 18.485.823.629 ; 6.819 ; 22.357.150.420 ; 19.172 ; 51.781.539.861 ; 1.594 ; 11.491.058.547 ; 1.370 ; 11.472.307.027 ; 2.964 ; 22.963.365.574 ; 22.136 ; 74.744.905.435 ;;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 1 ; 308.420.177 ; 2 ; 60.608.606 ; 2.111 ; 22.870.475.845 ; 2.395 ; 22.537.786.090 ; 4.509 ; 45.777.290.718 ; 407 ; 14.916.734.951 ; 454 ; 13.686.555.179 ; 861 ; 28.603.290.130 ; 5.370 ; 74.380.580.848 ;;
12;60.498.557;BANCO MUFG BRASIL S.A.; 794 ; 939.417.422 ; 2.583 ; 998.231.731 ; 2.466 ; 1.760.282.278 ; 4.547 ; 2.648.749.241 ; 10.390 ; 6.346.680.672 ; 5.786 ; 23.906.239.290 ; 5.792 ; 23.451.263.487 ; 11.578 ; 47.357.502.777 ; 21.968 ; 53.704.183.449 ;;
