Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.915 ; 1.660.597.878 ; 13.151 ; 2.383.528.645 ; 23.671 ; 7.916.751.728 ; 38.965 ; 6.519.026.911 ; 80.702 ; 18.479.905.162 ; 814 ; 10.157.191.923 ; 870 ; 11.702.874.319 ; 1.684 ; 21.860.066.242 ; 82.386 ; 40.339.971.404 ;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.080 ; 4.090.494.153 ; 22.077 ; 3.645.158.961 ; 55.725 ; 5.300.044.141 ; 61.484 ; 5.258.495.189 ; 147.366 ; 18.294.192.444 ; 690 ; 9.966.844.077 ; 664 ; 8.486.077.640 ; 1.354 ; 18.452.921.717 ; 148.720 ; 36.747.114.161 ;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 338 ; 1.595.856.956 ; 1.746 ; 736.078.883 ; 1.797 ; 4.705.145.487 ; 2.620 ; 7.955.826.007 ; 6.501 ; 14.992.907.333 ; 497 ; 6.666.641.997 ; 487 ; 5.967.087.172 ; 984 ; 12.633.729.169 ; 7.485 ; 27.626.636.502 ;;
4;33.479.023;BANCO CITIBANK S.A.; 1.142 ; 2.347.389.008 ; 6.408 ; 1.591.439.425 ; 6.667 ; 6.207.715.802 ; 10.070 ; 8.351.327.065 ; 24.287 ; 18.497.871.300 ; 238 ; 4.486.666.128 ; 238 ; 3.225.654.439 ; 476 ; 7.712.320.567 ; 24.763 ; 26.210.191.867 ;;
5;60.746.948;BANCO BRADESCO S.A.; 4.062 ; 3.054.216.973 ; 8.068 ; 1.633.471.907 ; 21.873 ; 2.267.720.131 ; 34.688 ; 2.799.611.684 ; 68.691 ; 9.755.020.695 ; 464 ; 2.415.265.935 ; 499 ; 2.970.970.584 ; 963 ; 5.386.236.519 ; 69.654 ; 15.141.257.214 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 9.041 ; 4.227.446.673 ; 19.712 ; 2.731.619.933 ; 31.065 ; 1.167.889.554 ; 50.546 ; 2.066.365.881 ; 110.364 ; 10.193.322.041 ; 342 ; 1.138.812.310 ; 354 ; 2.573.766.891 ; 696 ; 3.712.579.201 ; 111.060 ; 13.905.901.242 ;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 545 ; 966.023.853 ; 1.251 ; 204.049.202 ; 2.702 ; 1.295.922.257 ; 3.614 ; 1.193.149.333 ; 8.112 ; 3.659.144.645 ; 219 ; 4.022.619.034 ; 386 ; 5.405.804.035 ; 605 ; 9.428.423.069 ; 8.717 ; 13.087.567.714 ;;
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 68 ; 163.017.047 ; 776 ; 271.261.631 ; 110 ; 405.202.132 ; 361 ; 460.591.206 ; 1.315 ; 1.300.072.016 ; 389 ; 5.230.013.739 ; 416 ; 5.039.634.626 ; 805 ; 10.269.648.365 ; 2.120 ; 11.569.720.381 ;;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 1 ; 308.420.177 ; -   ; -   ; 232 ; 3.417.007.662 ; 234 ; 1.803.082.157 ; 467 ; 5.528.509.996 ; 34 ; 1.266.506.253 ; 96 ; 3.461.042.191 ; 130 ; 4.727.548.444 ; 597 ; 10.256.058.440 ;;
10;59.588.111;BANCO VOTORANTIM S.A.; 195 ; 383.023.767 ; 369 ; 65.386.799 ; 206 ; 169.475.701 ; 475 ; 234.951.727 ; 1.245 ; 852.837.994 ; 379 ; 3.726.314.317 ; 556 ; 4.243.548.089 ; 935 ; 7.969.862.406 ; 2.180 ; 8.822.700.400 ;;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 176 ; 379.922.947 ; 841 ; 414.426.144 ; 1.362 ; 1.339.724.121 ; 1.998 ; 1.268.185.432 ; 4.377 ; 3.402.258.644 ; 864 ; 2.244.296.714 ; 865 ; 2.361.276.830 ; 1.729 ; 4.605.573.544 ; 6.106 ; 8.007.832.188 ;;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 186 ; 480.924.092 ; 560 ; 310.033.366 ; 477 ; 1.733.742.022 ; 711 ; 2.538.401.458 ; 1.934 ; 5.063.100.938 ; 172 ; 1.275.526.047 ; 141 ; 797.123.432 ; 313 ; 2.072.649.479 ; 2.247 ; 7.135.750.417 ;;
13;60.498.557;BANCO MUFG BRASIL S.A.; 130 ; 150.074.132 ; 370 ; 195.250.727 ; 271 ; 110.732.972 ; 424 ; 480.565.412 ; 1.195 ; 936.623.243 ; 575 ; 2.497.041.444 ; 577 ; 2.283.606.228 ; 1.152 ; 4.780.647.672 ; 2.347 ; 5.717.270.915 ;;
14;33.264.668;BANCO XP S.A.; 628 ; 467.893.877 ; 3.920 ; 550.573.094 ; 5.014 ; 820.071.993 ; 16.732 ; 958.532.700 ; 26.294 ; 2.797.071.664 ; 90 ; 1.178.922.662 ; 112 ; 923.112.818 ; 202 ; 2.102.035.480 ; 26.496 ; 4.899.107.144 ;;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 70 ; 160.445.389 ; 562 ; 151.956.656 ; 219 ; 897.109.636 ; 392 ; 577.586.947 ; 1.243 ; 1.787.098.628 ; 454 ; 1.064.863.624 ; 470 ; 1.533.915.543 ; 924 ; 2.598.779.167 ; 2.167 ; 4.385.877.795 ;;
