Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;60.701.190;ITAÚ UNIBANCO S.A.; 9.893 ; 4.816.598.548 ; 32.437 ; 3.470.591.732 ; 60.704 ; 4.471.880.001 ; 51.557 ; 5.707.364.702 ; 154.591 ; 18.466.434.983 ; 675 ; 11.424.511.423 ; 685 ; 10.131.431.022 ; 1.360 ; 21.555.942.445 ; 155.951 ; 40.022.377.428 ;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.127 ; 1.881.494.540 ; 19.318 ; 2.066.668.557 ; 25.157 ; 4.714.322.428 ; 33.788 ; 5.327.119.069 ; 84.390 ; 13.989.604.594 ; 844 ; 10.052.101.185 ; 814 ; 9.150.197.802 ; 1.658 ; 19.202.298.987 ; 86.048 ; 33.191.903.581 ;;
3;33.479.023;BANCO CITIBANK S.A.; 1.166 ; 2.074.502.463 ; 7.623 ; 1.529.720.244 ; 6.938 ; 6.617.082.876 ; 10.378 ; 7.900.236.861 ; 26.105 ; 18.121.542.444 ; 230 ; 5.012.522.527 ; 236 ; 4.377.235.163 ; 466 ; 9.389.757.690 ; 26.571 ; 27.511.300.134 ;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 368 ; 1.178.009.652 ; 2.693 ; 793.135.620 ; 1.812 ; 5.982.795.979 ; 3.024 ; 5.356.885.516 ; 7.897 ; 13.310.826.767 ; 529 ; 6.280.377.141 ; 575 ; 7.344.598.952 ; 1.104 ; 13.624.976.093 ; 9.001 ; 26.935.802.860 ;;
5;60.746.948;BANCO BRADESCO S.A.; 4.628 ; 2.974.935.651 ; 11.307 ; 1.497.107.801 ; 24.150 ; 2.848.488.701 ; 26.877 ; 2.714.111.200 ; 66.962 ; 10.034.643.353 ; 464 ; 1.662.505.205 ; 500 ; 3.429.499.082 ; 964 ; 5.092.004.287 ; 67.926 ; 15.126.647.640 ;;
6;30.306.294;BANCO BTG PACTUAL S.A.; 496 ; 894.456.709 ; 1.320 ; 159.303.597 ; 3.008 ; 1.504.246.094 ; 3.844 ; 874.552.352 ; 8.668 ; 3.432.558.752 ; 225 ; 5.291.443.473 ; 398 ; 6.001.667.977 ; 623 ; 11.293.111.450 ; 9.291 ; 14.725.670.202 ;;
7;00.000.000;BANCO DO BRASIL S.A.; 10.307 ; 3.665.725.197 ; 21.910 ; 2.400.787.382 ; 31.020 ; 1.135.508.899 ; 48.666 ; 1.939.133.854 ; 111.903 ; 9.141.155.332 ; 345 ; 2.083.013.598 ; 340 ; 2.080.636.179 ; 685 ; 4.163.649.777 ; 112.588 ; 13.304.805.109 ;;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 217 ; 818.489.629 ; 825 ; 299.390.903 ; 490 ; 2.862.708.588 ; 831 ; 3.251.650.803 ; 2.363 ; 7.232.239.923 ; 207 ; 1.443.699.633 ; 185 ; 1.431.420.628 ; 392 ; 2.875.120.261 ; 2.755 ; 10.107.360.184 ;;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 172 ; 343.545.493 ; 846 ; 441.546.931 ; 131 ; 451.552.781 ; 332 ; 336.604.738 ; 1.481 ; 1.573.249.943 ; 401 ; 3.897.962.244 ; 440 ; 3.979.237.822 ; 841 ; 7.877.200.066 ; 2.322 ; 9.450.450.009 ;;
