Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 40.644 ; 27.312.945.793 ; 105.319 ; 24.917.077.617 ; 281.667 ; 59.693.445.863 ; 489.246 ; 54.612.955.019 ; 916.876 ; 166.536.424.292 ; 9.600 ; 134.773.213.606 ; 9.540 ; 130.156.726.334 ; 19.140 ; 264.929.939.940 ; 936.016 ; 431.466.364.232 ;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 67.460 ; 43.208.869.448 ; 191.024 ; 37.909.692.617 ; 555.612 ; 58.459.378.531 ; 761.288 ; 63.619.279.947 ; 1.575.384 ; 203.197.220.543 ; 7.429 ; 95.554.389.862 ; 7.693 ; 94.194.718.312 ; 15.122 ; 189.749.108.174 ; 1.590.506 ; 392.946.328.717 ;;
3;33.479.023;BANCO CITIBANK S.A.; 13.796 ; 27.080.443.169 ; 78.529 ; 18.397.675.937 ; 82.450 ; 82.289.686.090 ; 117.546 ; 93.179.339.736 ; 292.321 ; 220.947.144.932 ; 2.503 ; 50.256.601.407 ; 2.810 ; 48.486.057.633 ; 5.313 ; 98.742.659.040 ; 297.634 ; 319.689.803.972 ;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.590 ; 9.570.078.889 ; 26.694 ; 7.106.085.874 ; 21.455 ; 64.126.974.580 ; 34.367 ; 66.573.565.605 ; 86.106 ; 147.376.704.948 ; 5.764 ; 87.640.530.227 ; 5.662 ; 81.428.598.813 ; 11.426 ; 169.069.129.040 ; 97.532 ; 316.445.833.988 ;;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.120 ; 2.049.851.952 ; 6.734 ; 3.953.175.505 ; 1.456 ; 4.781.139.579 ; 4.091 ; 4.740.801.812 ; 13.401 ; 15.524.968.848 ; 4.737 ; 97.202.808.816 ; 4.991 ; 95.516.947.689 ; 9.728 ; 192.719.756.505 ; 23.129 ; 208.244.725.353 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 97.736 ; 48.447.771.943 ; 204.895 ; 30.023.342.939 ; 492.156 ; 18.423.374.860 ; 618.899 ; 28.063.577.382 ; 1.413.686 ; 124.958.067.124 ; 3.957 ; 19.222.473.912 ; 3.992 ; 29.558.261.445 ; 7.949 ; 48.780.735.357 ; 1.421.635 ; 173.738.802.481 ;;
7;60.746.948;BANCO BRADESCO S.A.; 37.038 ; 32.840.870.181 ; 75.748 ; 15.202.837.506 ; 253.769 ; 24.911.899.707 ; 276.373 ; 28.475.730.927 ; 642.928 ; 101.431.338.321 ; 5.379 ; 24.122.346.638 ; 5.770 ; 38.029.303.891 ; 11.149 ; 62.151.650.529 ; 654.077 ; 163.582.988.850 ;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 4.235 ; 8.719.482.658 ; 13.293 ; 3.935.863.392 ; 28.414 ; 14.709.676.423 ; 42.706 ; 12.653.907.617 ; 88.648 ; 40.018.930.090 ; 2.544 ; 58.142.037.398 ; 4.163 ; 59.772.982.396 ; 6.707 ; 117.915.019.794 ; 95.355 ; 157.933.949.884 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.973 ; 6.076.299.833 ; 9.027 ; 3.917.744.647 ; 16.137 ; 14.998.300.725 ; 26.423 ; 13.070.476.725 ; 53.560 ; 38.062.821.930 ; 10.103 ; 31.645.210.532 ; 10.245 ; 36.377.603.117 ; 20.348 ; 68.022.813.649 ; 73.908 ; 106.085.635.579 ;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.948 ; 8.684.587.568 ; 7.566 ; 4.192.134.049 ; 5.843 ; 23.500.251.473 ; 8.338 ; 27.631.267.856 ; 23.695 ; 64.008.240.946 ; 1.985 ; 13.725.822.122 ; 1.776 ; 15.218.945.267 ; 3.761 ; 28.944.767.389 ; 27.456 ; 92.953.008.335 ;;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 1 ; 308.420.177 ; 2 ; 60.608.606 ; 2.535 ; 28.250.092.791 ; 2.804 ; 25.033.325.442 ; 5.342 ; 53.652.447.016 ; 445 ; 15.504.975.252 ; 567 ; 17.119.454.815 ; 1.012 ; 32.624.430.067 ; 6.354 ; 86.276.877.083 ;;
12;59.588.111;BANCO VOTORANTIM S.A.; 2.532 ; 3.319.029.777 ; 7.202 ; 1.307.173.621 ; 2.242 ; 2.931.912.274 ; 6.662 ; 2.631.662.584 ; 18.638 ; 10.189.778.256 ; 4.138 ; 26.972.788.027 ; 6.128 ; 29.055.856.900 ; 10.266 ; 56.028.644.927 ; 28.904 ; 66.218.423.183 ;;
13;60.498.557;BANCO MUFG BRASIL S.A.; 1.046 ; 1.358.770.462 ; 3.555 ; 1.340.652.343 ; 2.953 ; 2.279.629.852 ; 5.318 ; 3.132.672.173 ; 12.872 ; 8.111.724.830 ; 6.991 ; 28.270.817.641 ; 7.041 ; 27.914.834.464 ; 14.032 ; 56.185.652.105 ; 26.904 ; 64.297.376.935 ;;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 3.295 ; 16.891.596.608 ; 2.830 ; 18.205.610.529 ; 6.125 ; 35.097.207.137 ; 674 ; 9.652.767.821 ; 639 ; 8.355.701.837 ; 1.313 ; 18.008.469.658 ; 7.438 ; 53.105.676.795 ;;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.238 ; 1.686.205.604 ; 3.737 ; 2.405.051.487 ; 2.630 ; 7.818.461.258 ; 4.350 ; 4.902.613.913 ; 11.955 ; 16.812.332.262 ; 6.166 ; 16.814.566.068 ; 6.314 ; 18.905.764.058 ; 12.480 ; 35.720.330.126 ; 24.435 ; 52.532.662.388 ;;
16;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 3.600 ; 23.241.679.842 ; 3.931 ; 22.678.251.572 ; 7.531 ; 45.919.931.414 ; 136 ; 2.306.994.252 ; 127 ; 2.883.530.007 ; 263 ; 5.190.524.259 ; 7.794 ; 51.110.455.673 ;;
17;53.518.684;BANCO HSBC S.A.; 422 ; 3.871.336.387 ; 866 ; 553.351.823 ; 2.163 ; 4.839.907.045 ; 3.360 ; 3.511.709.488 ; 6.811 ; 12.776.304.743 ; 1.485 ; 10.747.973.696 ; 1.635 ; 15.426.056.545 ; 3.120 ; 26.174.030.241 ; 9.931 ; 38.950.334.984 ;;
18;31.872.495;BANCO C6 S.A.; 921 ; 1.749.239.213 ; 8.550 ; 1.533.878.605 ; 64.358 ; 5.929.216.515 ; 494.186 ; 7.996.966.388 ; 568.015 ; 17.209.300.721 ; 1.311 ; 11.612.649.150 ; 1.855 ; 9.758.517.648 ; 3.166 ; 21.371.166.798 ; 571.181 ; 38.580.467.519 ;;
19;33.264.668;BANCO XP S.A.; 4.650 ; 1.959.713.716 ; 34.280 ; 4.840.166.763 ; 46.285 ; 4.812.002.807 ; 200.378 ; 8.320.192.473 ; 285.593 ; 19.932.075.759 ; 1.243 ; 11.253.988.183 ; 1.203 ; 4.716.509.683 ; 2.446 ; 15.970.497.866 ; 288.039 ; 35.902.573.625 ;;
