Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;60.701.190;ITAÚ UNIBANCO S.A.; 8.311 ; 2.817.131.838 ; 32.052 ; 3.680.756.160 ; 43.661 ; 5.030.637.178 ; 53.088 ; 4.413.289.603 ; 137.112 ; 15.941.814.779 ; 738 ; 12.944.756.221 ; 761 ; 12.354.050.493 ; 1.499 ; 25.298.806.714 ; 138.611 ; 41.240.621.493 ;;
2;33.172.537;BANCO J.P. MORGAN S.A.; 316 ; 763.880.537 ; 2.634 ; 638.484.984 ; 1.923 ; 5.406.607.827 ; 2.893 ; 5.079.305.667 ; 7.766 ; 11.888.279.015 ; 512 ; 13.820.153.411 ; 532 ; 12.306.681.714 ; 1.044 ; 26.126.835.125 ; 8.810 ; 38.015.114.140 ;;
3;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.318 ; 1.366.208.552 ; 19.886 ; 2.265.627.601 ; 22.684 ; 3.824.940.668 ; 36.439 ; 3.978.030.326 ; 84.327 ; 11.434.807.147 ; 929 ; 13.364.051.690 ; 803 ; 10.606.486.563 ; 1.732 ; 23.970.538.253 ; 86.059 ; 35.405.345.400 ;;
4;33.479.023;BANCO CITIBANK S.A.; 1.337 ; 3.693.286.283 ; 7.621 ; 1.685.221.912 ; 6.288 ; 5.679.734.783 ; 10.774 ; 8.316.707.267 ; 26.020 ; 19.374.950.245 ; 265 ; 5.175.744.149 ; 288 ; 4.265.221.174 ; 553 ; 9.440.965.323 ; 26.573 ; 28.815.915.568 ;;
5;00.000.000;BANCO DO BRASIL S.A.; 7.882 ; 3.231.874.916 ; 18.549 ; 2.293.749.363 ; 82.713 ; 2.925.173.340 ; 52.175 ; 3.896.996.087 ; 161.319 ; 12.347.793.706 ; 296 ; 1.673.717.439 ; 304 ; 2.716.417.108 ; 600 ; 4.390.134.547 ; 161.919 ; 16.737.928.253 ;;
6;30.306.294;BANCO BTG PACTUAL S.A.; 411 ; 1.016.628.498 ; 1.360 ; 173.197.930 ; 2.621 ; 850.074.130 ; 4.621 ; 797.288.589 ; 9.013 ; 2.837.189.147 ; 194 ; 4.427.602.887 ; 438 ; 5.596.160.962 ; 632 ; 10.023.763.849 ; 9.645 ; 12.860.952.996 ;;
7;60.746.948;BANCO BRADESCO S.A.; 4.152 ; 2.731.987.045 ; 12.264 ; 1.495.616.482 ; 20.746 ; 1.788.212.482 ; 29.712 ; 1.924.241.633 ; 66.874 ; 7.940.057.642 ; 467 ; 1.240.644.349 ; 482 ; 2.173.701.089 ; 949 ; 3.414.345.438 ; 67.823 ; 11.354.403.080 ;;
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 68 ; 228.430.075 ; 872 ; 451.142.484 ; 127 ; 380.656.084 ; 319 ; 519.356.825 ; 1.386 ; 1.579.585.468 ; 474 ; 4.368.145.399 ; 506 ; 4.123.035.582 ; 980 ; 8.491.180.981 ; 2.366 ; 10.070.766.449 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 283 ; 655.984.036 ; 1.099 ; 560.263.065 ; 1.311 ; 1.019.599.628 ; 2.225 ; 865.343.286 ; 4.918 ; 3.101.190.015 ; 858 ; 2.251.163.924 ; 874 ; 2.777.848.336 ; 1.732 ; 5.029.012.260 ; 6.650 ; 8.130.202.275 ;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 209 ; 532.965.916 ; 767 ; 287.308.550 ; 495 ; 2.151.719.257 ; 688 ; 2.022.467.439 ; 2.159 ; 4.994.461.162 ; 184 ; 791.063.941 ; 221 ; 2.315.217.612 ; 405 ; 3.106.281.553 ; 2.564 ; 8.100.742.715 ;;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; -   ; -   ; -   ; -   ; 219 ; 3.233.117.156 ; 189 ; 1.408.878.193 ; 408 ; 4.641.995.349 ; 21 ; 378.037.988 ; 79 ; 2.627.702.200 ; 100 ; 3.005.740.188 ; 508 ; 7.647.735.537 ;;
12;31.872.495;BANCO C6 S.A.; 105 ; 183.250.124 ; 1.340 ; 186.921.397 ; 1.291 ; 1.378.449.613 ; 3.942 ; 1.426.587.865 ; 6.678 ; 3.175.208.999 ; 112 ; 1.923.162.822 ; 162 ; 1.821.845.815 ; 274 ; 3.745.008.637 ; 6.952 ; 6.920.217.636 ;;
13;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 309 ; 2.988.939.433 ; 370 ; 3.078.086.173 ; 679 ; 6.067.025.606 ; 29 ; 381.058.131 ; 8 ; 233.400.000 ; 37 ; 614.458.131 ; 716 ; 6.681.483.737 ;;
14;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 55 ; 107.399.515 ; 203 ; 48.144.987 ; 69 ; 96.970.756 ; 118 ; 125.715.803 ; 445 ; 378.231.061 ; 182 ; 2.710.403.618 ; 194 ; 2.848.568.609 ; 376 ; 5.558.972.227 ; 821 ; 5.937.203.288 ;;
15;59.588.111;BANCO VOTORANTIM S.A.; 188 ; 173.840.129 ; 469 ; 134.155.023 ; 118 ; 175.137.669 ; 525 ; 359.613.894 ; 1.300 ; 842.746.715 ; 335 ; 2.494.184.150 ; 455 ; 2.469.640.402 ; 790 ; 4.963.824.552 ; 2.090 ; 5.806.571.267 ;;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 5 ; 22.394.808 ; 62 ; 85.618.397 ; 132 ; 1.995.012.093 ; 141 ; 1.104.821.388 ; 340 ; 3.207.846.686 ; 14 ; 669.658.572 ; 51 ; 1.421.003.612 ; 65 ; 2.090.662.184 ; 405 ; 5.298.508.870 ;;
