Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 46.083 ; 29.216.871.223 ; 123.351 ; 27.143.951.981 ; 307.732 ; 67.551.109.367 ; 541.724 ; 68.847.337.325 ; 1.018.890 ; 192.759.269.896 ; 10.603 ; 154.341.796.167 ; 10.507 ; 148.679.145.684 ; 21.110 ; 303.020.941.851 ; 1.040.000 ; 495.780.211.747 ;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 76.170 ; 47.136.442.428 ; 220.792 ; 41.892.087.080 ; 598.978 ; 63.928.976.949 ; 807.311 ; 71.408.853.937 ; 1.703.251 ; 224.366.360.394 ; 8.171 ; 109.269.892.584 ; 8.469 ; 107.393.939.772 ; 16.640 ; 216.663.832.356 ; 1.719.891 ; 441.030.192.750 ;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 3.918 ; 10.200.132.450 ; 28.710 ; 7.656.573.050 ; 23.458 ; 68.287.197.805 ; 37.175 ; 75.032.922.154 ; 93.261 ; 161.176.825.459 ; 6.285 ; 99.038.430.186 ; 6.210 ; 91.642.415.629 ; 12.495 ; 190.680.845.815 ; 105.756 ; 351.857.671.274 ;;
4;33.479.023;BANCO CITIBANK S.A.; 15.069 ; 30.129.041.963 ; 84.896 ; 20.470.783.538 ; 89.300 ; 89.396.590.275 ; 129.569 ; 101.449.582.100 ; 318.834 ; 241.445.997.876 ; 2.824 ; 54.168.589.098 ; 3.157 ; 52.019.920.331 ; 5.981 ; 106.188.509.429 ; 324.815 ; 347.634.507.305 ;;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.182 ; 2.183.070.852 ; 7.207 ; 4.289.087.110 ; 1.602 ; 5.008.196.525 ; 4.365 ; 5.212.793.779 ; 14.356 ; 16.693.148.266 ; 5.138 ; 101.219.753.177 ; 5.382 ; 98.948.708.328 ; 10.520 ; 200.168.461.505 ; 24.876 ; 216.861.609.771 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 106.576 ; 52.054.900.273 ; 226.050 ; 32.455.172.299 ; 523.447 ; 22.530.795.056 ; 669.271 ; 33.219.622.214 ; 1.525.344 ; 140.260.489.842 ; 4.294 ; 21.282.069.719 ; 4.334 ; 32.782.899.986 ; 8.628 ; 54.064.969.705 ; 1.533.972 ; 194.325.459.547 ;;
7;60.746.948;BANCO BRADESCO S.A.; 41.117 ; 35.077.119.580 ; 86.775 ; 16.567.525.503 ; 277.067 ; 33.008.017.218 ; 310.110 ; 37.050.478.071 ; 715.069 ; 121.703.140.372 ; 5.975 ; 26.121.245.049 ; 6.384 ; 40.778.114.463 ; 12.359 ; 66.899.359.512 ; 727.428 ; 188.602.499.884 ;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 4.686 ; 9.611.403.736 ; 14.564 ; 4.144.276.574 ; 31.207 ; 16.110.397.490 ; 47.422 ; 13.829.405.089 ; 97.879 ; 43.695.482.889 ; 2.781 ; 62.123.960.983 ; 4.613 ; 65.907.151.089 ; 7.394 ; 128.031.112.072 ; 105.273 ; 171.726.594.961 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.162 ; 6.666.306.005 ; 9.918 ; 4.303.666.693 ; 17.366 ; 16.502.586.135 ; 29.236 ; 14.858.161.313 ; 58.682 ; 42.330.720.146 ; 11.011 ; 35.497.583.420 ; 11.132 ; 39.533.094.937 ; 22.143 ; 75.030.678.357 ; 80.825 ; 117.361.398.503 ;;
