Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.438 ; 1.904.231.003 ; 18.041 ; 2.228.764.124 ; 26.067 ; 7.858.225.589 ; 52.496 ; 14.237.444.094 ; 102.042 ; 26.228.664.810 ; 1.003 ; 19.568.582.562 ; 967 ; 18.522.419.350 ; 1.970 ; 38.091.001.912 ; 104.012 ; 64.319.666.722 ;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.714 ; 3.928.982.209 ; 29.778 ; 3.983.919.015 ; 43.416 ; 5.470.291.457 ; 46.018 ; 7.788.712.583 ; 127.926 ; 21.171.905.264 ; 742 ; 13.715.502.722 ; 776 ; 13.199.221.460 ; 1.518 ; 26.914.724.182 ; 129.444 ; 48.086.629.446 ;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 328 ; 630.053.561 ; 2.016 ; 550.487.175 ; 2.003 ; 4.160.223.224 ; 2.808 ; 8.459.356.549 ; 7.155 ; 13.800.120.509 ; 521 ; 11.397.899.959 ; 548 ; 10.213.816.816 ; 1.069 ; 21.611.716.775 ; 8.224 ; 35.411.837.284 ;;
4;33.479.023;BANCO CITIBANK S.A.; 1.273 ; 3.048.598.794 ; 6.367 ; 2.073.107.601 ; 6.852 ; 7.106.998.923 ; 12.023 ; 8.270.242.364 ; 26.515 ; 20.498.947.682 ; 321 ; 3.911.987.691 ; 347 ; 3.533.862.698 ; 668 ; 7.445.850.389 ; 27.183 ; 27.944.798.071 ;;
5;60.746.948;BANCO BRADESCO S.A.; 4.084 ; 2.237.518.493 ; 11.029 ; 1.364.695.142 ; 23.303 ; 8.096.490.726 ; 33.737 ; 8.574.747.415 ; 72.153 ; 20.273.451.776 ; 596 ; 1.998.898.411 ; 614 ; 2.748.810.572 ; 1.210 ; 4.747.708.983 ; 73.363 ; 25.021.160.759 ;;
6;00.000.000;BANCO DO BRASIL S.A.; 8.847 ; 3.607.665.795 ; 21.155 ; 2.431.829.630 ; 31.291 ; 4.107.421.423 ; 50.397 ; 5.156.249.841 ; 111.690 ; 15.303.166.689 ; 337 ; 2.059.595.806 ; 342 ; 3.224.638.541 ; 679 ; 5.284.234.347 ; 112.369 ; 20.587.401.036 ;;
7;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; -   ; -   ; -   ; -   ; 422 ; 6.635.833.778 ; 320 ; 3.247.415.156 ; 742 ; 9.883.248.934 ; 27 ; 1.093.171.729 ; 120 ; 4.553.200.754 ; 147 ; 5.646.372.483 ; 889 ; 15.529.621.417 ;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 451 ; 891.921.078 ; 1.271 ; 208.413.182 ; 2.793 ; 1.400.721.067 ; 4.725 ; 1.182.852.367 ; 9.240 ; 3.683.907.694 ; 237 ; 3.981.923.585 ; 450 ; 6.134.168.693 ; 687 ; 10.116.092.278 ; 9.927 ; 13.799.999.972 ;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 189 ; 590.006.173 ; 891 ; 385.922.046 ; 1.229 ; 1.504.285.410 ; 2.813 ; 1.787.684.588 ; 5.122 ; 4.267.898.217 ; 908 ; 3.852.372.888 ; 887 ; 3.155.491.820 ; 1.795 ; 7.007.864.708 ; 6.917 ; 11.275.762.925 ;;
