Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Janeiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 5.858 ; 2.786.032.807 ; 20.005 ; 2.243.269.459 ; 26.603 ; 4.570.964.801 ; 53.994 ; 3.007.094.387 ; 106.460 ; 12.607.361.454 ; 1.258 ; 26.311.982.739 ; 1.246 ; 25.415.200.403 ; 2.504 ; 51.727.183.142 ; 108.964 ; 64.334.544.596 ;
2;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 303 ; 792.593.059 ; 2.761 ; 571.739.294 ; 1.852 ; 9.458.543.954 ; 3.202 ; 8.364.093.515 ; 8.118 ; 19.186.969.822 ; 600 ; 18.648.483.765 ; 641 ; 16.642.688.175 ; 1.241 ; 35.291.171.940 ; 9.359 ; 54.478.141.762 ;
3;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.329 ; 3.553.835.252 ; 32.814 ; 3.468.966.907 ; 48.825 ; 4.848.746.071 ; 37.625 ; 5.593.507.460 ; 128.593 ; 17.465.055.690 ; 860 ; 18.080.099.131 ; 855 ; 18.242.974.077 ; 1.715 ; 36.323.073.208 ; 130.308 ; 53.788.128.898 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.233 ; 3.367.859.802 ; 7.331 ; 1.563.828.116 ; 7.153 ; 6.378.675.162 ; 10.953 ; 7.093.646.175 ; 26.670 ; 18.404.009.255 ; 209 ; 4.390.896.848 ; 280 ; 6.286.616.150 ; 489 ; 10.677.512.998 ; 27.159 ; 29.081.522.253 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.363 ; 4.007.403.500 ; 22.234 ; 2.363.984.712 ; 43.935 ; 6.468.009.435 ; 44.129 ; 6.659.446.638 ; 119.661 ; 19.498.844.285 ; 285 ; 3.711.254.854 ; 270 ; 2.277.834.145 ; 555 ; 5.989.088.999 ; 120.216 ; 25.487.933.284 ;
6;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 222 ; 3.887.599.977 ; 223 ; 3.795.649.663 ; 445 ; 7.683.249.640 ; 82 ; 7.016.083.373 ; 93 ; 7.541.140.444 ; 175 ; 14.557.223.817 ; 620 ; 22.240.473.457 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 487 ; 1.168.386.424 ; 1.305 ; 140.712.618 ; 3.195 ; 1.194.384.474 ; 4.429 ; 1.380.963.081 ; 9.416 ; 3.884.446.597 ; 300 ; 6.986.217.030 ; 475 ; 8.484.089.906 ; 775 ; 15.470.306.936 ; 10.191 ; 19.354.753.533 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.333 ; 2.517.333.725 ; 11.804 ; 1.294.784.529 ; 23.364 ; 1.838.525.608 ; 34.765 ; 1.882.548.911 ; 74.266 ; 7.533.192.773 ; 653 ; 2.479.618.125 ; 671 ; 3.761.956.336 ; 1.324 ; 6.241.574.461 ; 75.590 ; 13.774.767.234 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 229 ; 449.274.042 ; 933 ; 386.794.656 ; 1.351 ; 1.613.248.555 ; 2.329 ; 1.119.591.463 ; 4.842 ; 3.568.908.716 ; 271 ; 3.187.439.978 ; 315 ; 4.194.069.623 ; 586 ; 7.381.509.601 ; 5.428 ; 10.950.418.317 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 244 ; 719.507.062 ; 792 ; 281.321.835 ; 538 ; 2.358.678.023 ; 692 ; 2.525.380.457 ; 2.266 ; 5.884.887.377 ; 201 ; 1.429.495.101 ; 277 ; 2.551.177.235 ; 478 ; 3.980.672.336 ; 2.744 ; 9.865.559.713 ;
11;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 173 ; 198.818.009 ; 375 ; 148.513.868 ; 200 ; 244.457.943 ; 488 ; 388.035.221 ; 1.236 ; 979.825.041 ; 342 ; 3.929.588.779 ; 409 ; 3.697.181.270 ; 751 ; 7.626.770.049 ; 1.987 ; 8.606.595.090 ;
