Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Janeiro-Fevereiro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 11.625 ; 5.238.417.024 ; 37.415 ; 4.385.950.302 ; 51.900 ; 10.875.125.227 ; 101.757 ; 6.767.085.881 ; 202.697 ; 27.266.578.434 ; 2.291 ; 44.932.700.247 ; 2.347 ; 45.929.267.918 ; 4.638 ; 90.861.968.165 ; 207.335 ; 118.128.546.599 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 18.229 ; 7.017.287.394 ; 61.377 ; 6.640.868.969 ; 90.905 ; 8.650.536.721 ; 82.986 ; 10.187.871.516 ; 253.497 ; 32.496.564.600 ; 1.464 ; 31.071.253.642 ; 1.468 ; 31.393.675.945 ; 2.932 ; 62.464.929.587 ; 256.429 ; 94.961.494.187 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 668 ; 1.494.771.552 ; 5.004 ; 1.147.038.123 ; 3.735 ; 13.014.926.863 ; 5.901 ; 13.713.740.614 ; 15.308 ; 29.370.477.152 ; 1.023 ; 26.393.602.374 ; 1.126 ; 24.284.720.236 ; 2.149 ; 50.678.322.610 ; 17.457 ; 80.048.799.762 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 2.405 ; 5.511.871.044 ; 13.761 ; 2.992.874.581 ; 13.820 ; 12.290.613.089 ; 21.896 ; 14.727.087.383 ; 51.882 ; 35.522.446.097 ; 402 ; 10.411.863.814 ; 466 ; 11.466.176.079 ; 868 ; 21.878.039.893 ; 52.750 ; 57.400.485.990 ;
5;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 398 ; 5.977.743.322 ; 422 ; 6.794.128.572 ; 820 ; 12.771.871.894 ; 173 ; 14.839.549.919 ; 165 ; 14.384.626.123 ; 338 ; 29.224.176.042 ; 1.158 ; 41.996.047.936 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 819 ; 2.071.095.334 ; 2.525 ; 375.388.908 ; 6.015 ; 2.473.073.142 ; 9.441 ; 4.382.034.546 ; 18.800 ; 9.301.591.930 ; 575 ; 15.527.154.282 ; 860 ; 15.386.849.772 ; 1.435 ; 30.914.004.054 ; 20.235 ; 40.215.595.984 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 17.531 ; 7.502.399.739 ; 40.773 ; 4.633.113.641 ; 74.256 ; 7.429.002.563 ; 83.803 ; 8.338.788.316 ; 216.363 ; 27.903.304.259 ; 547 ; 4.803.811.485 ; 539 ; 4.603.301.178 ; 1.086 ; 9.407.112.663 ; 217.449 ; 37.310.416.922 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 8.538 ; 4.707.249.122 ; 22.059 ; 2.445.135.853 ; 45.692 ; 3.541.246.893 ; 64.488 ; 3.041.529.669 ; 140.777 ; 13.735.161.537 ; 1.351 ; 4.013.469.049 ; 1.402 ; 7.278.545.611 ; 2.753 ; 11.292.014.660 ; 143.530 ; 25.027.176.197 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 282 ; 220.272.994 ; 1.034 ; 472.429.688 ; 454 ; 376.984.999 ; 667 ; 1.009.565.448 ; 2.437 ; 2.079.253.129 ; 1.415 ; 10.225.943.682 ; 1.435 ; 10.072.138.015 ; 2.850 ; 20.298.081.697 ; 5.287 ; 22.377.334.826 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 419 ; 1.041.944.470 ; 1.988 ; 676.816.209 ; 2.603 ; 2.334.379.600 ; 4.487 ; 2.327.704.258 ; 9.497 ; 6.380.844.537 ; 485 ; 5.375.586.285 ; 535 ; 6.318.708.866 ; 1.020 ; 11.694.295.151 ; 10.517 ; 18.075.139.688 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 497 ; 1.037.886.022 ; 1.449 ; 601.808.942 ; 1.065 ; 4.428.974.964 ; 1.320 ; 4.436.474.647 ; 4.331 ; 10.505.144.575 ; 417 ; 2.737.119.813 ; 498 ; 3.865.725.176 ; 915 ; 6.602.844.989 ; 5.246 ; 17.107.989.564 ;
12;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 351 ; 389.188.365 ; 830 ; 250.631.045 ; 394 ; 564.645.785 ; 926 ; 633.957.461 ; 2.501 ; 1.838.422.656 ; 709 ; 6.776.684.492 ; 760 ; 6.695.540.445 ; 1.469 ; 13.472.224.937 ; 3.970 ; 15.310.647.593 ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 198 ; 411.360.203 ; 1.540 ; 652.770.129 ; 209 ; 467.983.469 ; 667 ; 691.472.345 ; 2.614 ; 2.223.586.146 ; 804 ; 5.625.311.872 ; 808 ; 5.216.777.308 ; 1.612 ; 10.842.089.180 ; 4.226 ; 13.065.675.326 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 807 ; 3.436.538.866 ; 907 ; 4.819.781.669 ; 1.714 ; 8.256.320.535 ; 144 ; 2.662.796.517 ; 89 ; 1.281.824.119 ; 233 ; 3.944.620.636 ; 1.947 ; 12.200.941.171 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.657 ; 329.920.520 ; 10.628 ; 665.667.374 ; 11.144 ; 816.332.508 ; 32.066 ; 1.220.736.384 ; 55.495 ; 3.032.656.786 ; 332 ; 4.589.874.258 ; 327 ; 3.800.705.988 ; 659 ; 8.390.580.246 ; 56.154 ; 11.423.237.032 ;
16;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 651 ; 3.797.930.357 ; 687 ; 3.764.974.157 ; 1.338 ; 7.562.904.514 ; 19 ; 479.988.976 ; 22 ; 570.000.000 ; 41 ; 1.049.988.976 ; 1.379 ; 8.612.893.490 ;
17;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 141 ; 342.458.357 ; 12 ; 2.371.188 ; 136 ; 375.291.335 ; 335 ; 628.996.674 ; 624 ; 1.349.117.554 ; 253 ; 3.497.481.524 ; 270 ; 3.718.441.834 ; 523 ; 7.215.923.358 ; 1.147 ; 8.565.040.912 ;
