Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Fevereiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 5.767 ; 2.452.384.217 ; 17.410 ; 2.142.680.843 ; 25.298 ; 6.304.247.413 ; 47.763 ; 3.759.991.493 ; 96.238 ; 14.659.303.966 ; 1.033 ; 18.620.717.509 ; 1.101 ; 20.514.067.515 ; 2.134 ; 39.134.785.024 ; 98.372 ; 53.794.088.990 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 8.901 ; 3.463.572.141 ; 28.563 ; 3.171.947.418 ; 42.080 ; 3.801.671.118 ; 45.361 ; 4.594.369.030 ; 124.905 ; 15.031.559.707 ; 604 ; 12.991.154.511 ; 613 ; 13.150.701.868 ; 1.217 ; 26.141.856.379 ; 126.122 ; 41.173.416.086 ;
3;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.172 ; 2.144.011.242 ; 6.431 ; 1.429.153.022 ; 6.669 ; 5.911.952.046 ; 10.943 ; 7.633.441.208 ; 25.215 ; 17.118.557.518 ; 193 ; 6.020.966.966 ; 186 ; 5.179.559.929 ; 379 ; 11.200.526.895 ; 25.594 ; 28.319.084.413 ;
4;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 365 ; 702.178.493 ; 2.243 ; 575.298.829 ; 1.883 ; 3.556.382.909 ; 2.699 ; 5.349.647.099 ; 7.190 ; 10.183.507.330 ; 423 ; 7.745.118.610 ; 485 ; 7.642.032.061 ; 908 ; 15.387.150.671 ; 8.098 ; 25.570.658.001 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 332 ; 902.708.910 ; 1.220 ; 234.676.290 ; 2.820 ; 1.278.688.668 ; 5.012 ; 3.001.071.465 ; 9.384 ; 5.417.145.333 ; 275 ; 8.540.937.252 ; 385 ; 6.902.759.866 ; 660 ; 15.443.697.118 ; 10.044 ; 20.860.842.451 ;
6;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 176 ; 2.090.143.345 ; 199 ; 2.998.478.909 ; 375 ; 5.088.622.254 ; 91 ; 7.823.466.546 ; 72 ; 6.843.485.679 ; 163 ; 14.666.952.225 ; 538 ; 19.755.574.479 ;
7;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 126 ; 92.452.470 ; 539 ; 252.194.853 ; 217 ; 221.459.277 ; 330 ; 415.217.361 ; 1.212 ; 981.323.961 ; 720 ; 7.246.415.458 ; 748 ; 7.247.166.201 ; 1.468 ; 14.493.581.659 ; 2.680 ; 15.474.905.620 ;
8;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 8.167 ; 3.494.994.714 ; 18.539 ; 2.269.128.929 ; 30.321 ; 960.994.464 ; 39.675 ; 1.678.126.828 ; 96.702 ; 8.403.244.935 ; 262 ; 1.092.556.631 ; 269 ; 2.325.467.033 ; 531 ; 3.418.023.664 ; 97.233 ; 11.821.268.599 ;
9;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.205 ; 2.189.915.396 ; 10.255 ; 1.150.351.324 ; 22.327 ; 1.702.720.510 ; 29.723 ; 1.158.980.758 ; 66.510 ; 6.201.967.988 ; 698 ; 1.533.850.924 ; 731 ; 3.516.589.276 ; 1.429 ; 5.050.440.200 ; 67.939 ; 11.252.408.188 ;
