Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Março/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.660 ; 4.631.129.976 ; 30.336 ; 3.438.933.677 ; 37.443 ; 6.106.123.452 ; 50.024 ; 5.859.246.016 ; 127.463 ; 20.035.433.121 ; 825 ; 18.639.451.950 ; 869 ; 19.867.143.415 ; 1.694 ; 38.506.595.365 ; 129.157 ; 58.542.028.486 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.123 ; 2.446.444.576 ; 19.215 ; 2.539.124.866 ; 26.146 ; 3.665.429.438 ; 48.630 ; 3.715.530.017 ; 100.114 ; 12.366.528.897 ; 1.081 ; 18.129.405.475 ; 1.075 ; 17.727.164.814 ; 2.156 ; 35.856.570.289 ; 102.270 ; 48.223.099.186 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 404 ; 665.818.058 ; 2.285 ; 717.437.954 ; 1.893 ; 4.440.647.655 ; 3.032 ; 6.939.733.890 ; 7.614 ; 12.763.637.557 ; 587 ; 11.091.175.620 ; 581 ; 9.054.443.117 ; 1.168 ; 20.145.618.737 ; 8.782 ; 32.909.256.294 ;
4;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 368 ; 1.331.322.033 ; 1.373 ; 172.514.753 ; 3.383 ; 1.775.182.693 ; 5.406 ; 1.912.505.151 ; 10.530 ; 5.191.524.630 ; 315 ; 10.702.938.285 ; 475 ; 11.999.539.716 ; 790 ; 22.702.478.001 ; 11.320 ; 27.894.002.631 ;
5;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.291 ; 2.737.899.280 ; 6.194 ; 1.922.768.132 ; 7.144 ; 7.215.260.960 ; 11.688 ; 8.039.574.062 ; 26.317 ; 19.915.502.434 ; 202 ; 3.917.392.671 ; 198 ; 3.170.923.004 ; 400 ; 7.088.315.675 ; 26.717 ; 27.003.818.109 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.724 ; 4.070.072.158 ; 12.092 ; 1.414.173.308 ; 21.756 ; 1.709.585.711 ; 28.993 ; 2.243.834.772 ; 67.565 ; 9.437.665.949 ; 976 ; 4.350.836.612 ; 1.039 ; 5.874.045.797 ; 2.015 ; 10.224.882.409 ; 69.580 ; 19.662.548.358 ;
7;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 276 ; 5.310.271.577 ; 303 ; 5.757.731.655 ; 579 ; 11.068.003.232 ; 88 ; 2.715.014.576 ; 78 ; 2.446.309.808 ; 166 ; 5.161.324.384 ; 745 ; 16.229.327.616 ;
8;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.462 ; 5.103.980.686 ; 21.844 ; 2.552.148.871 ; 31.277 ; 1.402.099.587 ; 42.889 ; 3.211.646.797 ; 105.472 ; 12.269.875.941 ; 286 ; 1.016.064.678 ; 301 ; 2.604.948.463 ; 587 ; 3.621.013.141 ; 106.059 ; 15.890.889.082 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 159 ; 132.564.998 ; 514 ; 99.080.623 ; 193 ; 135.228.966 ; 387 ; 381.333.580 ; 1.253 ; 748.208.167 ; 1.042 ; 6.881.897.553 ; 1.046 ; 6.251.677.682 ; 2.088 ; 13.133.575.235 ; 3.341 ; 13.881.783.402 ;
10;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 174 ; 204.095.946 ; 344 ; 83.969.356 ; 186 ; 329.185.181 ; 443 ; 325.354.116 ; 1.147 ; 942.604.599 ; 314 ; 5.439.141.006 ; 372 ; 5.658.962.472 ; 686 ; 11.098.103.478 ; 1.833 ; 12.040.708.077 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 284 ; 603.516.601 ; 879 ; 449.606.547 ; 574 ; 2.375.432.026 ; 743 ; 3.481.226.342 ; 2.480 ; 6.909.781.516 ; 253 ; 3.169.255.241 ; 291 ; 1.523.934.171 ; 544 ; 4.693.189.412 ; 3.024 ; 11.602.970.928 ;
12;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 179 ; 566.003.357 ; 1.012 ; 325.968.753 ; 1.552 ; 2.063.209.301 ; 2.485 ; 1.331.572.193 ; 5.228 ; 4.286.753.604 ; 210 ; 2.575.799.419 ; 253 ; 3.311.975.727 ; 463 ; 5.887.775.146 ; 5.691 ; 10.174.528.750 ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 113 ; 224.294.352 ; 560 ; 374.230.077 ; 107 ; 305.637.140 ; 420 ; 682.260.914 ; 1.200 ; 1.586.422.483 ; 526 ; 3.522.129.260 ; 515 ; 2.948.471.713 ; 1.041 ; 6.470.600.973 ; 2.241 ; 8.057.023.456 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 375 ; 1.263.142.163 ; 435 ; 2.612.299.785 ; 810 ; 3.875.441.948 ; 85 ; 1.791.812.020 ; 25 ; 440.710.539 ; 110 ; 2.232.522.559 ; 920 ; 6.107.964.507 ;
