Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Abril/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 39.796 ; 16.942.775.403 ; 124.682 ; 13.685.569.000 ; 181.402 ; 20.549.394.923 ; 187.607 ; 22.521.397.971 ; 533.487 ; 73.699.137.297 ; 3.167 ; 72.720.329.109 ; 3.197 ; 74.167.678.016 ; 6.364 ; 146.888.007.125 ; 539.851 ; 220.587.144.422 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 25.287 ; 10.667.418.952 ; 77.453 ; 9.448.440.885 ; 108.546 ; 18.070.842.614 ; 204.750 ; 14.888.288.202 ; 416.036 ; 53.074.990.653 ; 4.691 ; 80.935.119.174 ; 4.751 ; 80.359.178.015 ; 9.442 ; 161.294.297.189 ; 425.478 ; 214.369.287.842 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 1.449 ; 3.115.002.678 ; 10.238 ; 2.524.761.709 ; 7.449 ; 25.809.894.347 ; 11.800 ; 30.539.180.157 ; 30.936 ; 61.988.838.891 ; 2.130 ; 51.393.405.252 ; 2.317 ; 47.070.564.664 ; 4.447 ; 98.463.969.916 ; 35.383 ; 160.452.808.807 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 5.280 ; 11.216.311.352 ; 26.521 ; 6.477.772.042 ; 27.877 ; 25.353.763.076 ; 45.082 ; 30.662.023.013 ; 104.760 ; 73.709.869.483 ; 866 ; 19.257.695.592 ; 929 ; 18.520.101.783 ; 1.795 ; 37.777.797.375 ; 106.555 ; 111.487.666.858 ;
5;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 871 ; 13.786.320.357 ; 986 ; 19.568.063.492 ; 1.857 ; 33.354.383.849 ; 440 ; 28.000.899.664 ; 311 ; 22.715.395.793 ; 751 ; 50.716.295.457 ; 2.608 ; 84.070.679.306 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 1.619 ; 4.617.414.293 ; 5.345 ; 702.652.254 ; 13.393 ; 5.912.017.719 ; 20.324 ; 7.813.571.780 ; 40.681 ; 19.045.656.046 ; 1.166 ; 31.850.679.125 ; 1.754 ; 33.127.676.187 ; 2.920 ; 64.978.355.312 ; 43.601 ; 84.024.011.358 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 38.110 ; 19.377.644.552 ; 84.855 ; 9.620.406.800 ; 140.286 ; 12.361.485.694 ; 172.301 ; 16.438.655.167 ; 435.552 ; 57.798.192.213 ; 1.105 ; 7.573.128.809 ; 1.137 ; 12.078.422.288 ; 2.242 ; 19.651.551.097 ; 437.794 ; 77.449.743.310 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 18.928 ; 14.571.360.753 ; 47.036 ; 5.480.150.623 ; 93.200 ; 7.866.241.988 ; 124.023 ; 7.250.796.608 ; 283.187 ; 35.168.549.972 ; 3.301 ; 9.949.450.216 ; 3.503 ; 19.374.272.532 ; 6.804 ; 29.323.722.748 ; 289.991 ; 64.492.272.720 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 596 ; 629.490.480 ; 2.120 ; 681.503.312 ; 960 ; 984.826.900 ; 1.393 ; 1.557.073.084 ; 5.069 ; 3.852.893.776 ; 3.351 ; 23.366.435.972 ; 3.437 ; 23.124.262.898 ; 6.788 ; 46.490.698.870 ; 11.857 ; 50.343.592.646 ;
