Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Abril/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 11.909 ; 5.294.429.381 ; 32.973 ; 3.605.839.579 ; 53.055 ; 5.792.676.303 ; 54.593 ; 6.474.287.219 ; 152.530 ; 21.167.232.482 ; 878 ; 23.009.623.517 ; 860 ; 22.906.858.656 ; 1.738 ; 45.916.482.173 ; 154.268 ; 67.083.714.655 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 7.541 ; 2.982.288.786 ; 20.826 ; 2.524.460.379 ; 30.504 ; 3.530.562.655 ; 54.388 ; 4.406.507.561 ; 113.259 ; 13.443.819.381 ; 1.319 ; 17.873.013.452 ; 1.329 ; 16.702.745.283 ; 2.648 ; 34.575.758.735 ; 115.907 ; 48.019.578.116 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 377 ; 954.413.068 ; 2.949 ; 660.332.477 ; 1.821 ; 8.354.319.828 ; 2.867 ; 9.885.705.652 ; 8.014 ; 19.854.771.025 ; 520 ; 13.908.627.258 ; 610 ; 13.731.401.311 ; 1.130 ; 27.640.028.569 ; 9.144 ; 47.494.799.594 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.584 ; 2.966.541.028 ; 6.566 ; 1.562.140.549 ; 6.915 ; 5.847.889.307 ; 11.498 ; 7.895.361.568 ; 26.563 ; 18.271.932.452 ; 262 ; 4.928.439.107 ; 265 ; 3.883.002.701 ; 527 ; 8.811.441.808 ; 27.090 ; 27.083.374.260 ;
5;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 197 ; 2.498.305.457 ; 261 ; 7.016.203.265 ; 458 ; 9.514.508.722 ; 179 ; 10.446.335.168 ; 68 ; 5.884.459.862 ; 247 ; 16.330.795.030 ; 705 ; 25.845.303.752 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 11.117 ; 6.771.264.128 ; 22.240 ; 2.438.868.941 ; 34.753 ; 3.530.383.544 ; 45.609 ; 4.888.135.368 ; 113.719 ; 17.628.651.981 ; 272 ; 1.753.252.645 ; 297 ; 4.870.172.647 ; 569 ; 6.623.425.292 ; 114.288 ; 24.252.077.273 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 5.666 ; 5.794.039.473 ; 12.886 ; 1.623.782.504 ; 25.759 ; 2.615.734.678 ; 30.542 ; 1.962.493.347 ; 74.853 ; 11.996.050.002 ; 974 ; 1.585.144.555 ; 1.062 ; 6.221.681.123 ; 2.036 ; 7.806.825.678 ; 76.889 ; 19.802.875.680 ;
8;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 432 ; 1.214.996.925 ; 1.447 ; 154.748.592 ; 3.996 ; 1.664.206.175 ; 5.477 ; 1.519.032.083 ; 11.352 ; 4.552.983.775 ; 276 ; 5.620.586.558 ; 419 ; 5.741.286.700 ; 695 ; 11.361.873.258 ; 12.047 ; 15.914.857.033 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 155 ; 276.652.488 ; 572 ; 109.993.001 ; 313 ; 472.612.936 ; 339 ; 166.174.056 ; 1.379 ; 1.025.432.481 ; 894 ; 6.258.594.738 ; 956 ; 6.800.447.201 ; 1.850 ; 13.059.041.939 ; 3.229 ; 14.084.474.420 ;
10;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 171 ; 327.549.662 ; 305 ; 78.157.533 ; 239 ; 248.380.344 ; 447 ; 221.882.221 ; 1.162 ; 875.969.760 ; 370 ; 4.543.803.827 ; 413 ; 4.671.699.263 ; 783 ; 9.215.503.090 ; 1.945 ; 10.091.472.850 ;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 205 ; 599.502.445 ; 963 ; 367.582.582 ; 1.491 ; 982.767.855 ; 2.225 ; 1.223.160.688 ; 4.884 ; 3.173.013.570 ; 291 ; 2.251.099.818 ; 287 ; 2.328.707.590 ; 578 ; 4.579.807.408 ; 5.462 ; 7.752.820.978 ;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 273 ; 848.611.009 ; 995 ; 365.403.443 ; 506 ; 1.517.217.850 ; 699 ; 2.288.876.132 ; 2.473 ; 5.020.108.434 ; 222 ; 1.079.359.324 ; 344 ; 1.627.902.783 ; 566 ; 2.707.262.107 ; 3.039 ; 7.727.370.541 ;
13;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 490 ; 2.460.799.240 ; 506 ; 2.854.050.468 ; 996 ; 5.314.849.708 ; 70 ; 1.365.487.515 ; 50 ; 973.003.596 ; 120 ; 2.338.491.111 ; 1.116 ; 7.653.340.819 ;
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 125 ; 286.973.507 ; 748 ; 396.809.263 ; 175 ; 506.039.063 ; 334 ; 657.052.451 ; 1.382 ; 1.846.874.284 ; 498 ; 2.491.579.662 ; 505 ; 2.351.548.793 ; 1.003 ; 4.843.128.455 ; 2.385 ; 6.690.002.739 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 111 ; 5.921.028 ; 1.245 ; 85.286.013 ; 657 ; 131.280.590 ; 8.204 ; 285.446.868 ; 10.217 ; 507.934.499 ; 605 ; 2.983.828.675 ; 636 ; 2.739.108.925 ; 1.241 ; 5.722.937.600 ; 11.458 ; 6.230.872.099 ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 102 ; 69.675.196 ; 423 ; 226.943.664 ; 238 ; 1.690.215.479 ; 805 ; 1.355.118.037 ; 1.568 ; 3.341.952.376 ; 646 ; 1.166.505.256 ; 656 ; 1.352.002.219 ; 1.302 ; 2.518.507.475 ; 2.870 ; 5.860.459.851 ;
17;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 79 ; 246.950.545 ; 8 ; 2.989.281 ; 76 ; 238.222.370 ; 259 ; 609.411.526 ; 422 ; 1.097.573.722 ; 107 ; 2.040.482.663 ; 119 ; 2.167.118.258 ; 226 ; 4.207.600.921 ; 648 ; 5.305.174.643 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.052 ; 95.048.262 ; 6.495 ; 405.253.941 ; 7.841 ; 344.335.753 ; 20.312 ; 400.737.320 ; 35.700 ; 1.245.375.276 ; 170 ; 2.019.008.855 ; 174 ; 1.624.778.198 ; 344 ; 3.643.787.053 ; 36.044 ; 4.889.162.329 ;
19;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 268 ; 21.065.287 ; 1.040 ; 140.792.132 ; 36.050 ; 225.168.180 ; 85.815 ; 1.819.454.981 ; 123.173 ; 2.206.480.580 ; 1.018 ; 2.027.018.398 ; 2.868 ; 312.046.552 ; 3.886 ; 2.339.064.950 ; 127.059 ; 4.545.545.530 ;
20;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 70 ; 756.210.755 ; 140 ; 57.977.622 ; 227 ; 254.719.207 ; 314 ; 140.189.551 ; 751 ; 1.209.097.135 ; 232 ; 826.622.462 ; 260 ; 1.782.468.176 ; 492 ; 2.609.090.638 ; 1.243 ; 3.818.187.773 ;
21;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 396 ; 1.665.208.829 ; 403 ; 1.625.039.766 ; 799 ; 3.290.248.595 ; 5 ; 171.501.000 ; 3 ; 150.106.450 ; 8 ; 321.607.450 ; 807 ; 3.611.856.045 ;
