Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Maio/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 49.863 ; 21.655.275.321 ; 157.777 ; 17.526.359.112 ; 225.981 ; 25.056.536.190 ; 242.720 ; 28.102.475.996 ; 676.341 ; 92.340.646.619 ; 3.687 ; 87.961.739.683 ; 3.755 ; 88.616.446.185 ; 7.442 ; 176.578.185.868 ; 683.783 ; 268.918.832.487 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 31.959 ; 13.482.542.922 ; 97.609 ; 11.844.075.265 ; 135.935 ; 21.243.713.466 ; 260.661 ; 18.339.714.767 ; 526.164 ; 64.910.046.420 ; 5.728 ; 100.243.383.985 ; 5.740 ; 98.236.409.588 ; 11.468 ; 198.479.793.573 ; 537.632 ; 263.389.839.993 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 1.826 ; 3.987.371.408 ; 13.075 ; 3.207.290.035 ; 9.520 ; 30.708.875.585 ; 14.931 ; 36.317.799.731 ; 39.352 ; 74.221.336.759 ; 2.673 ; 59.928.638.943 ; 2.936 ; 55.849.747.070 ; 5.609 ; 115.778.386.013 ; 44.961 ; 189.999.722.772 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 6.883 ; 14.423.639.952 ; 33.234 ; 8.035.079.749 ; 34.788 ; 32.382.312.979 ; 58.036 ; 39.222.622.285 ; 132.941 ; 94.063.654.965 ; 1.111 ; 22.158.960.242 ; 1.221 ; 22.964.399.096 ; 2.332 ; 45.123.359.338 ; 135.273 ; 139.187.014.303 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 2.059 ; 5.489.400.167 ; 6.786 ; 925.223.525 ; 16.901 ; 7.303.530.392 ; 25.981 ; 8.916.151.916 ; 51.727 ; 22.634.306.000 ; 1.374 ; 35.209.688.837 ; 2.111 ; 38.405.555.043 ; 3.485 ; 73.615.243.880 ; 55.212 ; 96.249.549.880 ;
6;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.134 ; 15.016.563.656 ; 1.099 ; 20.427.407.634 ; 2.233 ; 35.443.971.290 ; 516 ; 32.611.695.499 ; 410 ; 28.035.783.924 ; 926 ; 60.647.479.423 ; 3.159 ; 96.091.450.713 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 47.288 ; 24.734.204.659 ; 106.410 ; 12.469.702.436 ; 220.574 ; 13.542.788.296 ; 217.057 ; 19.118.991.696 ; 591.329 ; 69.865.687.087 ; 1.489 ; 8.912.800.988 ; 1.526 ; 14.501.723.714 ; 3.015 ; 23.414.524.702 ; 594.344 ; 93.280.211.789 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 23.797 ; 18.327.425.041 ; 60.002 ; 6.842.384.273 ; 119.919 ; 9.832.146.879 ; 155.425 ; 9.202.490.207 ; 359.143 ; 44.204.446.400 ; 4.213 ; 12.004.652.067 ; 4.463 ; 23.321.578.109 ; 8.676 ; 35.326.230.176 ; 367.819 ; 79.530.676.576 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 735 ; 754.474.512 ; 2.622 ; 871.734.205 ; 1.164 ; 1.088.451.134 ; 1.724 ; 1.648.399.266 ; 6.245 ; 4.363.059.117 ; 4.169 ; 28.502.850.325 ; 4.279 ; 27.962.279.147 ; 8.448 ; 56.465.129.472 ; 14.693 ; 60.828.188.589 ;
