Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Maio/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.672 ; 2.815.123.969 ; 20.157 ; 2.395.651.451 ; 27.392 ; 3.172.942.916 ; 55.915 ; 3.451.611.443 ; 110.136 ; 11.835.329.779 ; 1.037 ; 19.308.264.811 ; 989 ; 17.877.231.574 ; 2.026 ; 37.185.496.385 ; 112.162 ; 49.020.826.164 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.068 ; 4.712.625.935 ; 33.092 ; 3.840.522.565 ; 44.583 ; 4.507.194.432 ; 55.115 ; 5.581.547.203 ; 142.858 ; 18.641.890.135 ; 520 ; 15.241.410.575 ; 558 ; 14.448.768.170 ; 1.078 ; 29.690.178.745 ; 143.936 ; 48.332.068.880 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 377 ; 872.368.730 ; 2.837 ; 682.528.325 ; 2.071 ; 4.898.981.238 ; 3.131 ; 5.778.619.574 ; 8.416 ; 12.232.497.867 ; 543 ; 8.535.233.691 ; 619 ; 8.779.182.406 ; 1.162 ; 17.314.416.097 ; 9.578 ; 29.546.913.964 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.603 ; 3.207.328.600 ; 6.713 ; 1.557.310.144 ; 6.912 ; 7.028.550.048 ; 12.955 ; 8.560.636.964 ; 28.183 ; 20.353.825.756 ; 245 ; 2.901.264.650 ; 292 ; 4.444.297.312 ; 537 ; 7.345.561.962 ; 28.720 ; 27.699.387.718 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.179 ; 5.356.669.223 ; 21.558 ; 2.849.314.242 ; 80.287 ; 1.181.320.765 ; 44.760 ; 2.680.340.278 ; 155.784 ; 12.067.644.508 ; 384 ; 1.339.672.179 ; 389 ; 2.423.301.426 ; 773 ; 3.762.973.605 ; 156.557 ; 15.830.618.113 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.871 ; 3.756.151.385 ; 12.965 ; 1.361.950.895 ; 26.720 ; 1.965.820.232 ; 31.401 ; 1.951.728.251 ; 75.957 ; 9.035.650.763 ; 912 ; 2.055.201.850 ; 960 ; 3.947.305.577 ; 1.872 ; 6.002.507.427 ; 77.829 ; 15.038.158.190 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 439 ; 871.984.875 ; 1.441 ; 222.571.271 ; 3.511 ; 1.396.513.672 ; 5.657 ; 1.102.580.136 ; 11.048 ; 3.593.649.954 ; 208 ; 3.359.009.712 ; 357 ; 5.277.878.855 ; 565 ; 8.636.888.567 ; 11.613 ; 12.230.538.521 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 263 ; 1.230.276.500 ; 113 ; 859.344.142 ; 376 ; 2.089.620.642 ; 76 ; 4.610.795.835 ; 99 ; 5.320.388.130 ; 175 ; 9.931.183.965 ; 551 ; 12.020.804.607 ;
9;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 179 ; 294.747.926 ; 410 ; 97.018.660 ; 178 ; 130.591.762 ; 440 ; 232.631.968 ; 1.207 ; 754.990.316 ; 402 ; 5.210.349.987 ; 356 ; 5.336.095.341 ; 758 ; 10.546.445.328 ; 1.965 ; 11.301.435.644 ;
