Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 39.640 ; 16.068.358.208 ; 117.289 ; 14.152.293.616 ; 163.593 ; 26.005.981.286 ; 308.364 ; 22.205.232.900 ; 628.886 ; 78.431.866.010 ; 6.781 ; 121.836.916.944 ; 6.858 ; 120.720.642.759 ; 13.639 ; 242.557.559.703 ; 642.525 ; 320.989.425.713 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 61.612 ; 26.519.637.568 ; 187.715 ; 21.155.750.118 ; 278.088 ; 30.222.813.197 ; 309.240 ; 33.558.998.669 ; 836.655 ; 111.457.199.552 ; 4.282 ; 100.065.761.915 ; 4.390 ; 101.960.397.326 ; 8.672 ; 202.026.159.241 ; 845.327 ; 313.483.358.793 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 2.191 ; 4.810.666.101 ; 15.660 ; 3.919.315.272 ; 11.335 ; 36.300.382.833 ; 17.620 ; 43.274.429.238 ; 46.806 ; 88.304.793.444 ; 3.263 ; 73.513.570.176 ; 3.548 ; 66.010.742.821 ; 6.811 ; 139.524.312.997 ; 53.617 ; 227.829.106.441 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 8.341 ; 16.599.157.705 ; 39.199 ; 9.305.489.895 ; 42.602 ; 41.044.171.707 ; 69.861 ; 49.967.885.338 ; 160.003 ; 116.916.704.645 ; 1.341 ; 26.563.257.880 ; 1.427 ; 25.693.304.195 ; 2.768 ; 52.256.562.075 ; 162.771 ; 169.173.266.720 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 58.098 ; 31.139.414.534 ; 127.127 ; 15.096.548.285 ; 261.993 ; 16.935.207.925 ; 255.724 ; 23.992.985.417 ; 702.942 ; 87.164.156.161 ; 1.771 ; 11.388.083.573 ; 1.812 ; 17.711.678.042 ; 3.583 ; 29.099.761.615 ; 706.525 ; 116.263.917.776 ;
6;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.343 ; 21.923.722.741 ; 2.234 ; 26.370.399.823 ; 4.577 ; 48.294.122.564 ; 577 ; 34.920.484.445 ; 495 ; 31.394.167.869 ; 1.072 ; 66.314.652.314 ; 5.649 ; 114.608.774.878 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 2.477 ; 6.209.227.457 ; 8.251 ; 1.118.687.266 ; 20.871 ; 8.922.237.479 ; 31.048 ; 9.857.703.656 ; 62.647 ; 26.107.855.858 ; 1.641 ; 39.602.974.799 ; 2.466 ; 43.909.080.878 ; 4.107 ; 83.512.055.677 ; 66.754 ; 109.619.911.535 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 29.498 ; 22.139.585.157 ; 71.461 ; 7.976.663.777 ; 144.317 ; 11.860.349.610 ; 182.578 ; 10.546.668.200 ; 427.854 ; 52.523.266.744 ; 5.079 ; 13.659.335.594 ; 5.409 ; 28.299.879.773 ; 10.488 ; 41.959.215.367 ; 438.342 ; 94.482.482.111 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 916 ; 886.041.450 ; 3.136 ; 971.177.952 ; 1.390 ; 1.233.631.803 ; 2.060 ; 1.850.360.506 ; 7.502 ; 4.941.211.711 ; 5.150 ; 31.737.631.675 ; 5.274 ; 31.183.281.084 ; 10.424 ; 62.920.912.759 ; 17.926 ; 67.862.124.470 ;
10;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 1.044 ; 1.447.797.754 ; 2.250 ; 587.617.055 ; 1.197 ; 1.442.985.616 ; 2.646 ; 1.690.360.183 ; 7.137 ; 5.168.760.608 ; 2.222 ; 26.152.469.064 ; 2.273 ; 26.719.885.543 ; 4.495 ; 52.872.354.607 ; 11.632 ; 58.041.115.215 ;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 1.148 ; 2.787.981.345 ; 6.110 ; 2.133.787.014 ; 8.503 ; 7.670.835.888 ; 14.357 ; 7.215.364.092 ; 30.118 ; 19.807.968.339 ; 1.632 ; 16.887.303.424 ; 1.712 ; 17.944.496.792 ; 3.344 ; 34.831.800.216 ; 33.462 ; 54.639.768.555 ;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 1.560 ; 3.684.695.230 ; 5.142 ; 2.314.802.576 ; 3.133 ; 11.615.544.907 ; 4.050 ; 15.275.992.559 ; 13.885 ; 32.891.035.272 ; 1.325 ; 11.113.575.031 ; 1.746 ; 9.052.295.468 ; 3.071 ; 20.165.870.499 ; 16.956 ; 53.056.905.771 ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 647 ; 1.362.393.563 ; 4.872 ; 2.095.477.462 ; 739 ; 1.795.155.167 ; 2.217 ; 3.200.195.641 ; 8.475 ; 8.453.221.833 ; 3.078 ; 18.145.056.097 ; 3.077 ; 16.064.320.547 ; 6.155 ; 34.209.376.644 ; 14.630 ; 42.662.598.477 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.645 ; 10.856.048.530 ; 2.774 ; 14.793.369.162 ; 5.419 ; 25.649.417.692 ; 408 ; 8.071.171.304 ; 245 ; 4.134.195.929 ; 653 ; 12.205.367.233 ; 6.072 ; 37.854.784.925 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 5.440 ; 928.616.398 ; 35.277 ; 2.221.861.221 ; 40.516 ; 2.806.465.981 ; 113.268 ; 4.012.590.444 ; 194.501 ; 9.969.534.044 ; 929 ; 12.998.457.489 ; 973 ; 10.334.866.337 ; 1.902 ; 23.333.323.826 ; 196.403 ; 33.302.857.870 ;
