Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 7.687 ; 2.589.986.623 ; 19.677 ; 2.310.031.169 ; 27.662 ; 4.762.259.547 ; 47.722 ; 3.865.827.448 ; 102.748 ; 13.528.104.787 ; 1.053 ; 21.593.532.959 ; 1.118 ; 22.484.233.171 ; 2.171 ; 44.077.766.130 ; 104.919 ; 57.605.870.917 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 11.752 ; 4.864.622.691 ; 29.946 ; 3.629.745.067 ; 49.498 ; 5.171.573.125 ; 55.273 ; 5.444.626.818 ; 146.469 ; 19.110.567.701 ; 595 ; 12.104.022.232 ; 635 ; 13.343.951.141 ; 1.230 ; 25.447.973.373 ; 147.699 ; 44.558.541.074 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 365 ; 823.294.693 ; 2.586 ; 712.025.641 ; 1.816 ; 5.591.544.709 ; 2.688 ; 6.956.629.104 ; 7.455 ; 14.083.494.147 ; 590 ; 13.584.931.232 ; 612 ; 10.160.995.751 ; 1.202 ; 23.745.926.983 ; 8.657 ; 37.829.421.130 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.458 ; 2.175.517.753 ; 5.965 ; 1.270.410.145 ; 7.823 ; 8.662.326.992 ; 11.826 ; 10.745.286.783 ; 27.072 ; 22.853.541.673 ; 230 ; 4.404.297.638 ; 206 ; 2.728.905.099 ; 436 ; 7.133.202.737 ; 27.508 ; 29.986.744.410 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 10.810 ; 6.405.209.875 ; 20.719 ; 2.626.979.001 ; 41.420 ; 3.392.424.721 ; 38.678 ; 4.874.002.670 ; 111.627 ; 17.298.616.267 ; 282 ; 2.475.282.585 ; 286 ; 3.209.954.328 ; 568 ; 5.685.236.913 ; 112.195 ; 22.983.853.180 ;
6;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.209 ; 6.907.159.085 ; 1.135 ; 5.942.992.189 ; 2.344 ; 12.850.151.274 ; 61 ; 2.308.788.946 ; 85 ; 3.358.383.945 ; 146 ; 5.667.172.891 ; 2.490 ; 18.517.324.165 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 5.700 ; 3.811.935.200 ; 11.463 ; 1.134.374.951 ; 24.411 ; 2.028.570.420 ; 27.152 ; 1.344.087.653 ; 68.726 ; 8.318.968.224 ; 866 ; 1.654.683.527 ; 946 ; 4.978.301.664 ; 1.812 ; 6.632.985.191 ; 70.538 ; 14.951.953.415 ;
8;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 431 ; 859.827.290 ; 1.465 ; 193.463.741 ; 3.975 ; 1.668.709.024 ; 5.067 ; 941.551.740 ; 10.938 ; 3.663.551.795 ; 267 ; 4.393.285.961 ; 355 ; 5.503.525.835 ; 622 ; 9.896.811.796 ; 11.560 ; 13.560.363.591 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 178 ; 388.564.328 ; 987 ; 364.455.224 ; 1.508 ; 1.183.517.267 ; 2.650 ; 1.316.967.156 ; 5.323 ; 3.253.503.975 ; 346 ; 4.686.771.247 ; 335 ; 3.934.306.831 ; 681 ; 8.621.078.078 ; 6.004 ; 11.874.582.053 ;
