Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Agosto/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 7.141 ; 2.180.218.800 ; 22.662 ; 2.553.899.367 ; 27.163 ; 2.608.814.245 ; 58.407 ; 3.549.269.427 ; 115.373 ; 10.892.201.839 ; 1.022 ; 17.938.507.456 ; 1.097 ; 16.508.845.884 ; 2.119 ; 34.447.353.340 ; 117.492 ; 45.339.555.179 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.827 ; 3.511.888.984 ; 36.653 ; 4.823.939.094 ; 45.070 ; 5.461.257.368 ; 53.453 ; 5.753.914.032 ; 146.003 ; 19.550.999.478 ; 637 ; 11.447.961.786 ; 638 ; 9.684.920.233 ; 1.275 ; 21.132.882.019 ; 147.278 ; 40.683.881.497 ;
3;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.324 ; 1.957.051.745 ; 6.674 ; 1.764.323.080 ; 7.158 ; 6.777.629.350 ; 12.153 ; 8.267.554.341 ; 27.309 ; 18.766.558.516 ; 171 ; 3.230.432.474 ; 158 ; 2.099.390.329 ; 329 ; 5.329.822.803 ; 27.638 ; 24.096.381.319 ;
4;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 374 ; 462.376.408 ; 2.231 ; 768.172.882 ; 1.582 ; 5.728.000.398 ; 3.014 ; 5.509.816.827 ; 7.201 ; 12.468.366.515 ; 465 ; 5.733.257.156 ; 584 ; 5.673.022.893 ; 1.049 ; 11.406.280.049 ; 8.250 ; 23.874.646.564 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 8.987 ; 5.011.157.812 ; 23.592 ; 2.764.029.910 ; 33.623 ; 1.101.864.366 ; 43.359 ; 1.869.379.314 ; 109.561 ; 10.746.431.402 ; 268 ; 1.490.436.105 ; 276 ; 3.128.114.663 ; 544 ; 4.618.550.768 ; 110.105 ; 15.364.982.170 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 5.214 ; 3.972.368.639 ; 12.989 ; 1.383.016.392 ; 23.759 ; 1.679.359.337 ; 31.305 ; 1.387.066.903 ; 73.267 ; 8.421.811.271 ; 872 ; 1.711.271.008 ; 919 ; 4.465.910.574 ; 1.791 ; 6.177.181.582 ; 75.058 ; 14.598.992.853 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 478 ; 992.898.013 ; 1.643 ; 245.265.799 ; 3.876 ; 1.235.836.010 ; 7.626 ; 1.540.352.559 ; 13.623 ; 4.014.352.381 ; 311 ; 4.871.534.678 ; 500 ; 5.360.000.724 ; 811 ; 10.231.535.402 ; 14.434 ; 14.245.887.783 ;
8;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 177 ; 279.128.047 ; 658 ; 125.576.979 ; 268 ; 295.883.169 ; 455 ; 175.831.717 ; 1.558 ; 876.419.912 ; 385 ; 4.934.506.100 ; 564 ; 5.230.226.152 ; 949 ; 10.164.732.252 ; 2.507 ; 11.041.152.164 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 259 ; 265.792.671 ; 1.335 ; 595.603.212 ; 1.491 ; 1.576.744.539 ; 2.949 ; 828.550.314 ; 6.034 ; 3.266.690.736 ; 374 ; 3.601.144.989 ; 395 ; 4.133.727.299 ; 769 ; 7.734.872.288 ; 6.803 ; 11.001.563.024 ;
