Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Setembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 60.134 ; 23.326.918.833 ; 185.314 ; 22.086.560.490 ; 247.992 ; 37.279.816.953 ; 487.451 ; 34.427.748.652 ; 980.891 ; 117.121.044.928 ; 9.908 ; 185.766.464.709 ; 10.212 ; 183.322.211.938 ; 20.120 ; 369.088.676.647 ; 1.001.011 ; 486.209.721.575 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 93.464 ; 38.969.057.402 ; 297.571 ; 35.436.789.127 ; 411.226 ; 46.558.863.111 ; 477.027 ; 50.543.722.540 ; 1.279.288 ; 171.508.432.180 ; 6.176 ; 139.043.440.066 ; 6.364 ; 141.031.750.270 ; 12.540 ; 280.075.190.336 ; 1.291.828 ; 451.583.622.516 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 3.254 ; 6.196.029.118 ; 22.981 ; 5.960.250.693 ; 16.675 ; 53.365.818.229 ; 25.908 ; 61.991.426.828 ; 68.818 ; 127.513.524.868 ; 4.640 ; 93.585.094.109 ; 5.400 ; 86.060.749.559 ; 10.040 ; 179.645.843.668 ; 78.858 ; 307.159.368.536 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 12.392 ; 22.781.069.629 ; 59.487 ; 14.472.713.263 ; 63.806 ; 62.633.489.257 ; 104.942 ; 74.593.405.408 ; 240.627 ; 174.480.677.557 ; 1.977 ; 36.586.691.492 ; 2.068 ; 33.760.611.668 ; 4.045 ; 70.347.303.160 ; 244.672 ; 244.827.980.717 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 84.341 ; 45.560.138.314 ; 197.529 ; 24.004.345.735 ; 360.035 ; 20.823.628.823 ; 389.164 ; 30.276.058.004 ; 1.031.069 ; 120.664.170.876 ; 2.564 ; 15.460.600.243 ; 2.616 ; 25.745.369.469 ; 5.180 ; 41.205.969.712 ; 1.036.249 ; 161.870.140.588 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 3.832 ; 8.606.240.128 ; 13.257 ; 1.873.462.154 ; 32.535 ; 13.244.398.688 ; 53.558 ; 14.054.485.417 ; 103.182 ; 37.778.586.387 ; 2.602 ; 55.051.344.216 ; 3.979 ; 60.468.963.190 ; 6.581 ; 115.520.307.406 ; 109.763 ; 153.298.893.793 ;
7;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; 1 ; 84.500 ; 3.206 ; 30.843.888.615 ; 2.880 ; 33.652.854.247 ; 6.087 ; 64.496.827.362 ; 786 ; 42.035.969.777 ; 720 ; 39.269.370.640 ; 1.506 ; 81.305.340.417 ; 7.593 ; 145.802.167.779 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 44.837 ; 32.962.677.418 ; 111.495 ; 12.394.866.085 ; 213.478 ; 16.610.150.926 ; 285.026 ; 15.363.953.503 ; 654.836 ; 77.331.647.932 ; 7.918 ; 20.299.374.945 ; 8.370 ; 40.941.790.958 ; 16.288 ; 61.241.165.903 ; 671.124 ; 138.572.813.835 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.448 ; 1.413.578.911 ; 4.657 ; 1.334.870.195 ; 2.063 ; 1.770.776.829 ; 3.155 ; 2.392.162.724 ; 11.323 ; 6.911.388.659 ; 7.828 ; 43.463.961.189 ; 8.006 ; 43.038.986.058 ; 15.834 ; 86.502.947.247 ; 27.157 ; 93.414.335.906 ;
