Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Setembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.089 ; 2.139.178.011 ; 22.572 ; 2.920.566.820 ; 25.593 ; 4.349.393.052 ; 61.714 ; 5.323.141.932 ; 115.968 ; 14.732.279.815 ; 1.179 ; 22.091.193.064 ; 1.205 ; 20.793.395.747 ; 2.384 ; 42.884.588.811 ; 118.352 ; 57.616.868.626 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.803 ; 4.013.444.682 ; 37.011 ; 4.944.292.929 ; 40.511 ; 6.059.496.432 ; 57.627 ; 6.233.498.635 ; 144.952 ; 21.250.732.678 ; 533 ; 13.605.884.860 ; 605 ; 15.292.552.555 ; 1.138 ; 28.898.437.415 ; 146.090 ; 50.149.170.093 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 312 ; 381.656.502 ; 2.207 ; 643.478.858 ; 1.600 ; 5.504.663.984 ; 2.396 ; 5.784.948.892 ; 6.515 ; 12.314.748.236 ; 404 ; 7.695.361.544 ; 641 ; 8.485.945.135 ; 1.045 ; 16.181.306.679 ; 7.560 ; 28.496.054.915 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.360 ; 2.247.847.827 ; 6.648 ; 1.569.961.875 ; 6.651 ; 7.800.979.389 ; 11.153 ; 8.808.429.293 ; 25.812 ; 20.427.218.384 ; 248 ; 3.930.290.289 ; 256 ; 3.160.740.735 ; 504 ; 7.091.031.024 ; 26.316 ; 27.518.249.408 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 393 ; 524.135.526 ; 1.662 ; 314.959.515 ; 3.492 ; 1.424.344.473 ; 8.102 ; 1.143.275.709 ; 13.649 ; 3.406.715.223 ; 352 ; 6.106.712.377 ; 630 ; 7.081.825.583 ; 982 ; 13.188.537.960 ; 14.631 ; 16.595.253.183 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 8.078 ; 4.623.851.383 ; 23.224 ; 3.092.210.175 ; 30.632 ; 1.004.090.312 ; 46.541 ; 2.294.877.683 ; 108.475 ; 11.015.029.553 ; 279 ; 1.474.089.252 ; 282 ; 2.376.243.280 ; 561 ; 3.850.332.532 ; 109.036 ; 14.865.362.085 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.587 ; 3.270.266.812 ; 13.981 ; 1.592.199.722 ; 20.992 ; 1.334.518.086 ; 35.668 ; 1.910.903.002 ; 75.228 ; 8.107.887.622 ; 944 ; 2.763.476.464 ; 969 ; 3.832.303.873 ; 1.913 ; 6.595.780.337 ; 77.141 ; 14.703.667.959 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 372 ; 4.653.098.741 ; 254 ; 2.534.039.025 ; 626 ; 7.187.137.766 ; 61 ; 1.813.617.490 ; 100 ; 3.581.689.115 ; 161 ; 5.395.306.605 ; 787 ; 12.582.444.371 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 260 ; 420.524.229 ; 1.440 ; 765.362.713 ; 1.541 ; 1.484.255.210 ; 2.244 ; 1.353.300.920 ; 5.485 ; 4.023.443.072 ; 435 ; 2.964.073.365 ; 445 ; 3.061.661.937 ; 880 ; 6.025.735.302 ; 6.365 ; 10.049.178.374 ;
