Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Outubro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 68.057 ; 26.439.673.696 ; 207.067 ; 24.714.186.192 ; 277.712 ; 39.759.784.585 ; 542.915 ; 37.914.578.479 ; 1.095.751 ; 128.828.222.952 ; 10.755 ; 207.953.707.962 ; 11.090 ; 204.223.487.511 ; 21.845 ; 412.177.195.473 ; 1.117.596 ; 541.005.418.425 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 106.040 ; 43.560.050.497 ; 332.183 ; 40.348.692.703 ; 467.910 ; 52.555.827.081 ; 531.599 ; 57.041.154.604 ; 1.437.732 ; 193.505.724.885 ; 6.872 ; 154.494.401.109 ; 7.042 ; 154.486.165.583 ; 13.914 ; 308.980.566.692 ; 1.451.646 ; 502.486.291.577 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 3.659 ; 6.928.919.590 ; 26.284 ; 7.013.676.700 ; 18.487 ; 61.908.348.364 ; 28.438 ; 70.374.472.450 ; 76.868 ; 146.225.417.104 ; 5.156 ; 103.388.395.273 ; 6.024 ; 96.905.108.887 ; 11.180 ; 200.293.504.160 ; 88.048 ; 346.518.921.264 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 14.056 ; 26.014.141.677 ; 66.733 ; 16.543.573.839 ; 71.320 ; 68.230.388.887 ; 116.436 ; 81.771.161.565 ; 268.545 ; 192.559.265.968 ; 2.170 ; 40.847.762.216 ; 2.262 ; 37.337.743.130 ; 4.432 ; 78.185.505.346 ; 272.977 ; 270.744.771.314 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 95.474 ; 50.875.454.775 ; 219.365 ; 26.875.011.388 ; 395.817 ; 21.722.279.375 ; 432.381 ; 33.413.650.044 ; 1.143.037 ; 132.886.395.582 ; 2.876 ; 18.141.819.827 ; 2.915 ; 27.953.169.740 ; 5.791 ; 46.094.989.567 ; 1.148.828 ; 178.981.385.149 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 4.299 ; 9.915.835.431 ; 14.990 ; 2.284.781.803 ; 37.241 ; 15.428.225.791 ; 61.108 ; 14.770.064.860 ; 117.638 ; 42.398.907.885 ; 2.959 ; 60.660.380.144 ; 4.590 ; 67.613.989.568 ; 7.549 ; 128.274.369.712 ; 125.187 ; 170.673.277.597 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 50.663 ; 36.500.760.833 ; 124.449 ; 13.859.301.227 ; 239.264 ; 19.116.766.225 ; 314.432 ; 17.801.507.873 ; 728.808 ; 87.278.336.158 ; 8.947 ; 22.032.597.663 ; 9.428 ; 44.633.956.313 ; 18.375 ; 66.666.553.976 ; 747.183 ; 153.944.890.134 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; 1 ; 84.500 ; 3.515 ; 33.044.652.660 ; 3.096 ; 34.671.700.847 ; 6.612 ; 67.716.438.007 ; 828 ; 43.778.010.365 ; 802 ; 42.089.448.327 ; 1.630 ; 85.867.458.692 ; 8.242 ; 153.583.896.699 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.612 ; 1.488.304.083 ; 5.139 ; 1.457.670.963 ; 2.301 ; 1.809.787.652 ; 3.526 ; 2.643.910.901 ; 12.578 ; 7.399.673.599 ; 8.800 ; 47.146.029.245 ; 8.986 ; 46.614.567.398 ; 17.786 ; 93.760.596.643 ; 30.364 ; 101.160.270.242 ;
