Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Outubro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 7.928 ; 3.116.593.458 ; 21.757 ; 2.627.668.958 ; 29.735 ; 2.480.457.983 ; 55.460 ; 3.486.840.055 ; 114.880 ; 11.711.560.454 ; 847 ; 22.187.243.252 ; 878 ; 20.901.275.573 ; 1.725 ; 43.088.518.825 ; 116.605 ; 54.800.079.279 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 12.583 ; 4.591.985.518 ; 34.614 ; 4.912.023.854 ; 56.681 ; 5.997.982.850 ; 54.572 ; 6.497.788.862 ; 158.450 ; 21.999.781.084 ; 696 ; 15.450.961.044 ; 678 ; 13.454.415.313 ; 1.374 ; 28.905.376.357 ; 159.824 ; 50.905.157.441 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 405 ; 732.890.472 ; 3.303 ; 1.053.426.007 ; 1.812 ; 8.542.530.134 ; 2.530 ; 8.383.045.623 ; 8.050 ; 18.711.892.236 ; 516 ; 9.803.301.164 ; 624 ; 10.844.359.328 ; 1.140 ; 20.647.660.492 ; 9.190 ; 39.359.552.728 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.664 ; 3.233.072.047 ; 7.247 ; 2.072.028.744 ; 7.523 ; 5.597.499.943 ; 11.495 ; 7.177.763.945 ; 27.929 ; 18.080.364.679 ; 193 ; 4.261.070.724 ; 194 ; 3.577.131.462 ; 387 ; 7.838.202.186 ; 28.316 ; 25.918.566.865 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 11.139 ; 5.315.433.025 ; 21.838 ; 2.863.164.970 ; 35.888 ; 1.138.802.585 ; 43.320 ; 3.383.765.127 ; 112.185 ; 12.701.165.707 ; 312 ; 2.681.219.584 ; 299 ; 2.207.800.271 ; 611 ; 4.889.019.855 ; 112.796 ; 17.590.185.562 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 467 ; 1.309.595.303 ; 1.737 ; 412.322.069 ; 4.706 ; 2.183.827.110 ; 7.550 ; 715.579.444 ; 14.460 ; 4.621.323.926 ; 357 ; 5.609.035.928 ; 611 ; 7.145.026.378 ; 968 ; 12.754.062.306 ; 15.428 ; 17.375.386.232 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 5.827 ; 3.538.141.666 ; 12.953 ; 1.464.467.024 ; 25.788 ; 2.507.043.790 ; 29.406 ; 2.437.522.489 ; 73.974 ; 9.947.174.969 ; 1.029 ; 1.733.222.718 ; 1.058 ; 3.692.165.355 ; 2.087 ; 5.425.388.073 ; 76.061 ; 15.372.563.042 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 248 ; 1.339.373.291 ; 1.537 ; 679.637.764 ; 1.508 ; 1.478.724.616 ; 2.736 ; 2.075.714.346 ; 6.029 ; 5.573.450.017 ; 426 ; 3.238.470.362 ; 421 ; 3.189.579.339 ; 847 ; 6.428.049.701 ; 6.876 ; 12.001.499.718 ;
9;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 270 ; 207.960.652 ; 537 ; 97.749.569 ; 241 ; 197.774.733 ; 417 ; 454.439.029 ; 1.465 ; 957.923.983 ; 438 ; 5.003.616.280 ; 353 ; 4.817.860.820 ; 791 ; 9.821.477.100 ; 2.256 ; 10.779.401.083 ;
