Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Novembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 75.031 ; 29.070.274.540 ; 227.324 ; 27.288.931.037 ; 302.949 ; 43.909.707.341 ; 593.564 ; 44.838.453.316 ; 1.198.868 ; 145.107.366.234 ; 11.638 ; 228.449.456.784 ; 12.017 ; 223.822.659.862 ; 23.655 ; 452.272.116.646 ; 1.222.523 ; 597.379.482.880 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 116.946 ; 47.165.063.620 ; 365.619 ; 45.372.218.370 ; 513.015 ; 57.865.849.008 ; 579.413 ; 62.507.004.621 ; 1.574.993 ; 212.910.135.619 ; 7.576 ; 172.913.149.720 ; 7.667 ; 167.725.307.010 ; 15.243 ; 340.638.456.730 ; 1.590.236 ; 553.548.592.349 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 3.992 ; 7.487.736.876 ; 28.508 ; 7.490.627.090 ; 20.166 ; 69.716.855.331 ; 30.941 ; 76.088.358.692 ; 83.607 ; 160.783.577.989 ; 5.569 ; 111.694.107.397 ; 6.541 ; 107.194.307.083 ; 12.110 ; 218.888.414.480 ; 95.717 ; 379.671.992.469 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 15.498 ; 28.429.217.819 ; 73.348 ; 18.570.891.693 ; 77.966 ; 75.465.205.246 ; 127.392 ; 88.681.163.683 ; 294.204 ; 211.146.478.441 ; 2.334 ; 44.399.130.440 ; 2.423 ; 41.203.732.336 ; 4.757 ; 85.602.862.776 ; 298.961 ; 296.749.341.217 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 104.938 ; 54.702.626.618 ; 238.973 ; 29.456.885.120 ; 426.882 ; 22.961.677.364 ; 469.011 ; 35.685.232.665 ; 1.239.804 ; 142.806.421.767 ; 3.132 ; 19.344.029.586 ; 3.165 ; 29.736.249.440 ; 6.297 ; 49.080.279.026 ; 1.246.101 ; 191.886.700.793 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 4.737 ; 10.554.521.906 ; 16.677 ; 2.564.032.770 ; 41.816 ; 16.744.474.656 ; 69.266 ; 15.765.216.724 ; 132.496 ; 45.628.246.056 ; 3.259 ; 66.083.741.904 ; 5.115 ; 76.124.606.455 ; 8.374 ; 142.208.348.359 ; 140.870 ; 187.836.594.415 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 55.618 ; 38.892.309.404 ; 136.502 ; 15.265.786.861 ; 260.907 ; 20.478.555.006 ; 342.591 ; 19.424.611.426 ; 795.618 ; 94.061.262.697 ; 9.877 ; 23.316.364.715 ; 10.381 ; 47.350.303.654 ; 20.258 ; 70.666.668.369 ; 815.876 ; 164.727.931.066 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; 1 ; 84.500 ; 4.022 ; 35.501.876.064 ; 3.346 ; 36.124.398.820 ; 7.369 ; 71.626.359.384 ; 855 ; 44.946.156.520 ; 849 ; 44.759.154.867 ; 1.704 ; 89.705.311.387 ; 9.073 ; 161.331.670.771 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.749 ; 1.543.829.522 ; 5.694 ; 1.682.473.791 ; 2.535 ; 2.041.501.589 ; 3.895 ; 2.821.825.633 ; 13.873 ; 8.089.630.535 ; 9.763 ; 51.900.200.819 ; 9.965 ; 51.100.355.270 ; 19.728 ; 103.000.556.089 ; 33.601 ; 111.090.186.624 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 2.296 ; 5.575.431.636 ; 12.810 ; 5.055.172.891 ; 16.144 ; 15.746.166.216 ; 27.346 ; 14.471.106.134 ; 58.596 ; 40.847.876.877 ; 3.558 ; 32.821.314.334 ; 3.670 ; 34.841.353.915 ; 7.228 ; 67.662.668.249 ; 65.824 ; 108.510.545.126 ;
11;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 2.012 ; 2.445.073.150 ; 5.036 ; 1.105.946.313 ; 2.452 ; 3.016.458.908 ; 4.815 ; 3.211.987.655 ; 14.315 ; 9.779.466.026 ; 3.986 ; 47.909.050.334 ; 4.191 ; 49.013.235.467 ; 8.177 ; 96.922.285.801 ; 22.492 ; 106.701.751.827 ;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 2.813 ; 5.915.804.275 ; 10.158 ; 3.971.754.663 ; 5.591 ; 20.610.958.213 ; 7.394 ; 28.385.606.168 ; 25.956 ; 58.884.123.319 ; 2.482 ; 20.492.888.726 ; 3.760 ; 15.699.496.723 ; 6.242 ; 36.192.385.449 ; 32.198 ; 95.076.508.768 ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 1.177 ; 2.623.768.227 ; 10.075 ; 4.347.963.565 ; 1.391 ; 4.073.806.012 ; 3.959 ; 5.743.123.346 ; 16.602 ; 16.788.661.150 ; 5.796 ; 34.359.846.877 ; 5.817 ; 30.993.472.800 ; 11.613 ; 65.353.319.677 ; 28.215 ; 82.141.980.827 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 5.065 ; 20.376.877.024 ; 5.052 ; 25.050.536.184 ; 10.117 ; 45.427.413.208 ; 682 ; 13.321.729.746 ; 480 ; 8.627.285.423 ; 1.162 ; 21.949.015.169 ; 11.279 ; 67.376.428.377 ;
