Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Novembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.975 ; 2.630.613.367 ; 20.278 ; 2.576.526.215 ; 25.377 ; 4.150.621.761 ; 51.071 ; 6.924.894.307 ; 103.701 ; 16.282.655.650 ; 883 ; 20.495.748.822 ; 927 ; 19.599.172.350 ; 1.810 ; 40.094.921.172 ; 105.511 ; 56.377.576.822 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.912 ; 3.607.634.093 ; 33.445 ; 5.024.152.355 ; 45.102 ; 5.308.945.119 ; 47.837 ; 5.481.918.518 ; 137.296 ; 19.422.650.085 ; 704 ; 18.418.748.610 ; 625 ; 13.239.141.427 ; 1.329 ; 31.657.890.037 ; 138.625 ; 51.080.540.122 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 333 ; 558.817.415 ; 2.224 ; 476.950.390 ; 1.679 ; 7.808.506.968 ; 2.503 ; 5.713.886.242 ; 6.739 ; 14.558.161.015 ; 413 ; 8.305.712.124 ; 517 ; 10.289.198.195 ; 930 ; 18.594.910.319 ; 7.669 ; 33.153.071.334 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.442 ; 2.415.076.143 ; 6.616 ; 2.027.373.202 ; 6.649 ; 7.235.096.959 ; 10.955 ; 6.910.002.118 ; 25.662 ; 18.587.548.422 ; 164 ; 3.551.368.225 ; 161 ; 3.865.989.207 ; 325 ; 7.417.357.432 ; 25.987 ; 26.004.905.854 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 438 ; 638.686.475 ; 1.687 ; 279.250.967 ; 4.575 ; 1.316.248.865 ; 8.158 ; 995.151.864 ; 14.858 ; 3.229.338.171 ; 300 ; 5.423.361.759 ; 525 ; 8.510.616.887 ; 825 ; 13.933.978.646 ; 15.683 ; 17.163.316.817 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.474 ; 3.831.369.452 ; 19.619 ; 2.584.907.032 ; 31.069 ; 1.239.493.280 ; 36.635 ; 2.273.562.608 ; 96.797 ; 9.929.332.372 ; 256 ; 1.202.209.759 ; 250 ; 1.783.079.699 ; 506 ; 2.985.289.458 ; 97.303 ; 12.914.621.830 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.956 ; 2.389.571.220 ; 12.055 ; 1.406.589.067 ; 21.649 ; 1.363.823.239 ; 28.159 ; 1.623.100.990 ; 66.819 ; 6.783.084.516 ; 930 ; 1.283.767.051 ; 953 ; 2.716.347.341 ; 1.883 ; 4.000.114.392 ; 68.702 ; 10.783.198.908 ;
8;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 137 ; 55.525.439 ; 555 ; 224.802.828 ; 234 ; 231.713.937 ; 369 ; 177.914.731 ; 1.295 ; 689.956.935 ; 963 ; 4.754.171.574 ; 979 ; 4.485.787.872 ; 1.942 ; 9.239.959.446 ; 3.237 ; 9.929.916.381 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 223 ; 534.249.142 ; 988 ; 290.213.636 ; 500 ; 2.076.331.567 ; 632 ; 2.871.795.231 ; 2.343 ; 5.772.589.576 ; 203 ; 2.083.510.973 ; 294 ; 1.815.229.388 ; 497 ; 3.898.740.361 ; 2.840 ; 9.671.329.937 ;
