Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Dezembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 81.709 ; 31.252.775.933 ; 247.034 ; 29.566.265.768 ; 330.691 ; 48.670.657.109 ; 648.260 ; 52.269.778.667 ; 1.307.694 ; 161.759.477.477 ; 12.492 ; 255.303.050.303 ; 13.065 ; 255.688.832.514 ; 25.557 ; 510.991.882.817 ; 1.333.251 ; 672.751.360.294 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 127.187 ; 51.400.036.128 ; 398.448 ; 50.444.461.338 ; 559.630 ; 65.411.423.468 ; 634.359 ; 74.570.048.596 ; 1.719.624 ; 241.825.969.530 ; 8.180 ; 192.672.500.438 ; 8.288 ; 183.499.688.357 ; 16.468 ; 376.172.188.795 ; 1.736.092 ; 617.998.158.325 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 4.325 ; 8.082.317.149 ; 30.813 ; 8.052.776.166 ; 21.718 ; 73.861.151.487 ; 33.881 ; 84.879.662.802 ; 90.737 ; 174.875.907.604 ; 6.085 ; 126.014.543.898 ; 6.994 ; 113.006.443.995 ; 13.079 ; 239.020.987.893 ; 103.816 ; 413.896.895.497 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 17.150 ; 33.087.722.402 ; 80.108 ; 21.397.054.357 ; 84.703 ; 82.289.343.476 ; 141.636 ; 100.620.084.647 ; 323.597 ; 237.394.204.882 ; 2.607 ; 51.445.908.894 ; 2.607 ; 43.648.331.002 ; 5.214 ; 95.094.239.896 ; 328.811 ; 332.488.444.778 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 5.186 ; 11.506.432.079 ; 18.381 ; 2.920.877.712 ; 46.456 ; 18.658.245.821 ; 80.276 ; 17.842.937.510 ; 150.299 ; 50.928.493.122 ; 3.596 ; 83.491.655.420 ; 5.802 ; 95.501.313.673 ; 9.398 ; 178.992.969.093 ; 159.697 ; 229.921.462.215 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 114.098 ; 57.931.376.519 ; 258.891 ; 31.924.897.397 ; 460.112 ; 24.558.203.070 ; 510.624 ; 38.681.565.382 ; 1.343.725 ; 153.096.042.368 ; 3.475 ; 21.527.823.414 ; 3.502 ; 31.369.525.524 ; 6.977 ; 52.897.348.938 ; 1.350.702 ; 205.993.391.306 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 60.316 ; 41.289.019.287 ; 149.146 ; 16.931.248.592 ; 285.421 ; 28.102.869.205 ; 372.364 ; 26.797.817.529 ; 867.247 ; 113.120.954.613 ; 10.875 ; 25.450.891.424 ; 11.398 ; 50.287.244.869 ; 22.273 ; 75.738.136.293 ; 889.520 ; 188.859.090.906 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; 1 ; 84.500 ; 4.352 ; 37.743.761.307 ; 3.680 ; 40.857.368.003 ; 8.033 ; 78.601.213.810 ; 941 ; 51.049.830.182 ; 933 ; 48.405.165.287 ; 1.874 ; 99.454.995.469 ; 9.907 ; 178.056.209.279 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 2.502 ; 5.855.995.219 ; 13.865 ; 5.455.455.714 ; 17.598 ; 17.690.687.403 ; 30.593 ; 16.700.300.357 ; 64.558 ; 45.702.438.693 ; 3.875 ; 37.807.166.763 ; 3.960 ; 38.821.268.761 ; 7.835 ; 76.628.435.524 ; 72.393 ; 122.330.874.217 ;
