Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Dezembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.684 ; 2.182.935.317 ; 19.719 ; 2.277.871.760 ; 27.745 ; 4.760.973.333 ; 54.697 ; 7.431.178.062 ; 108.845 ; 16.652.958.472 ; 854 ; 26.853.593.519 ; 1.048 ; 31.866.172.652 ; 1.902 ; 58.719.766.171 ; 110.747 ; 75.372.724.643 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.247 ; 4.234.744.950 ; 32.834 ; 5.072.542.426 ; 46.618 ; 7.551.390.789 ; 54.944 ; 12.064.224.572 ; 144.643 ; 28.922.902.737 ; 604 ; 19.759.350.719 ; 621 ; 15.774.381.348 ; 1.225 ; 35.533.732.067 ; 145.868 ; 64.456.634.804 ;
3;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; 11.257.583.854 ; 124 ; 32.574.500.000 ; 145 ; 43.832.083.854 ; 145 ; 43.832.083.854 ;
4;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 453 ; 953.924.265 ; 1.702 ; 356.690.327 ; 4.637 ; 1.913.757.072 ; 11.008 ; 2.077.875.401 ; 17.800 ; 5.302.247.065 ; 337 ; 17.407.913.516 ; 687 ; 19.376.707.218 ; 1.024 ; 36.784.620.734 ; 18.824 ; 42.086.867.799 ;
5;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.652 ; 4.658.504.583 ; 6.761 ; 2.826.452.254 ; 6.739 ; 6.824.162.880 ; 14.242 ; 11.938.920.964 ; 29.394 ; 26.248.040.681 ; 273 ; 7.046.778.454 ; 184 ; 2.444.598.666 ; 457 ; 9.491.377.120 ; 29.851 ; 35.739.417.801 ;
6;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 333 ; 594.580.273 ; 2.305 ; 562.149.076 ; 1.552 ; 4.144.296.155 ; 2.940 ; 8.791.304.110 ; 7.130 ; 14.092.329.614 ; 516 ; 14.320.436.501 ; 453 ; 5.812.136.912 ; 969 ; 20.132.573.413 ; 8.099 ; 34.224.903.027 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.697 ; 2.393.909.740 ; 12.645 ; 1.665.482.973 ; 24.514 ; 7.627.497.183 ; 29.772 ; 7.373.177.526 ; 71.628 ; 19.060.067.422 ; 998 ; 2.134.526.709 ; 1.017 ; 2.936.941.215 ; 2.015 ; 5.071.467.924 ; 73.643 ; 24.131.535.346 ;
8;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 323 ; 53.825.726 ; 1.171 ; 175.472.718 ; 28.214 ; 537.381.640 ; 18.277 ; 4.583.861.308 ; 47.985 ; 5.350.541.392 ; 474 ; 7.608.100.186 ; 403 ; 5.031.137.062 ; 877 ; 12.639.237.248 ; 48.862 ; 17.989.778.640 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 330 ; 2.241.885.243 ; 334 ; 4.732.969.183 ; 664 ; 6.974.854.426 ; 86 ; 6.103.673.663 ; 84 ; 3.646.010.420 ; 170 ; 9.749.684.083 ; 834 ; 16.724.538.509 ;
