Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Janeiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 5.987 ; 2.502.845.668 ; 22.475 ; 2.815.409.530 ; 25.696 ; 5.043.412.197 ; 65.925 ; 3.201.963.252 ; 120.083 ; 13.563.630.647 ; 1.099 ; 19.330.914.944 ; 1.240 ; 20.322.183.353 ; 2.339 ; 39.653.098.297 ; 122.422 ; 53.216.728.944 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.143 ; 2.861.580.800 ; 38.090 ; 4.814.663.495 ; 50.302 ; 4.101.788.614 ; 57.302 ; 5.807.803.082 ; 154.837 ; 17.585.835.991 ; 637 ; 13.997.672.765 ; 621 ; 12.247.185.659 ; 1.258 ; 26.244.858.424 ; 156.095 ; 43.830.694.415 ;
3;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 337 ; 871.074.613 ; 1.982 ; 798.035.218 ; 4.657 ; 886.360.121 ; 15.706 ; 1.482.945.169 ; 22.682 ; 4.038.415.121 ; 340 ; 11.033.728.683 ; 524 ; 10.966.834.541 ; 864 ; 22.000.563.224 ; 23.546 ; 26.038.978.345 ;
4;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 411 ; 823.670.936 ; 3.562 ; 723.346.102 ; 1.697 ; 5.813.145.045 ; 2.859 ; 5.671.635.572 ; 8.529 ; 13.031.797.655 ; 487 ; 4.826.599.449 ; 726 ; 5.808.188.283 ; 1.213 ; 10.634.787.732 ; 9.742 ; 23.666.585.387 ;
5;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.483 ; 2.026.811.154 ; 7.437 ; 1.930.764.058 ; 5.473 ; 4.362.324.118 ; 11.470 ; 5.843.906.855 ; 25.863 ; 14.163.806.185 ; 181 ; 3.020.435.755 ; 208 ; 3.654.320.643 ; 389 ; 6.674.756.398 ; 26.252 ; 20.838.562.583 ;
6;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 183 ; 656.313.649 ; 1.414 ; 430.974.320 ; 1.372 ; 1.566.349.880 ; 2.449 ; 1.060.984.141 ; 5.418 ; 3.714.621.990 ; 370 ; 4.578.756.373 ; 419 ; 5.439.937.608 ; 789 ; 10.018.693.981 ; 6.207 ; 13.733.315.971 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 7.628 ; 3.612.047.354 ; 22.973 ; 3.234.775.688 ; 85.880 ; 1.915.300.066 ; 44.157 ; 2.504.276.380 ; 160.638 ; 11.266.399.488 ; 285 ; 1.191.154.100 ; 284 ; 1.120.654.333 ; 569 ; 2.311.808.433 ; 161.207 ; 13.578.207.921 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.108 ; 1.964.265.389 ; 13.752 ; 1.593.184.555 ; 21.684 ; 2.322.002.428 ; 35.705 ; 2.057.683.738 ; 75.249 ; 7.937.136.110 ; 988 ; 1.696.107.188 ; 1.009 ; 2.744.334.784 ; 1.997 ; 4.440.441.972 ; 77.246 ; 12.377.578.082 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 288 ; 880.286.395 ; 1.080 ; 573.272.180 ; 579 ; 2.337.312.797 ; 697 ; 2.503.462.896 ; 2.644 ; 6.294.334.268 ; 232 ; 1.555.821.852 ; 336 ; 3.167.884.040 ; 568 ; 4.723.705.892 ; 3.212 ; 11.018.040.160 ;
