Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Fevereiro/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 12.278 ; 4.406.827.689 ; 41.586 ; 4.896.326.946 ; 51.687 ; 10.517.886.764 ; 121.491 ; 8.138.600.378 ; 227.042 ; 27.959.641.777 ; 2.022 ; 40.263.186.884 ; 2.261 ; 40.469.517.824 ; 4.283 ; 80.732.704.708 ; 231.325 ; 108.692.346.485 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 18.348 ; 6.735.218.752 ; 69.076 ; 8.439.320.426 ; 93.365 ; 7.656.122.112 ; 112.771 ; 11.072.726.603 ; 293.560 ; 33.903.387.893 ; 1.141 ; 25.788.555.361 ; 1.144 ; 23.765.587.916 ; 2.285 ; 49.554.143.277 ; 295.845 ; 83.457.531.170 ;
3;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 2.938 ; 5.578.094.355 ; 13.660 ; 3.777.507.007 ; 11.344 ; 9.397.357.381 ; 22.482 ; 11.751.720.686 ; 50.424 ; 30.504.679.429 ; 392 ; 6.777.521.283 ; 402 ; 7.535.992.228 ; 794 ; 14.313.513.511 ; 51.218 ; 44.818.192.940 ;
4;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 676 ; 1.641.461.407 ; 3.570 ; 1.004.459.858 ; 8.878 ; 2.119.644.001 ; 30.267 ; 3.160.152.109 ; 43.391 ; 7.925.717.375 ; 625 ; 17.395.759.284 ; 933 ; 18.455.934.699 ; 1.558 ; 35.851.693.983 ; 44.949 ; 43.777.411.358 ;
5;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 804 ; 1.491.548.594 ; 6.857 ; 1.414.950.236 ; 3.228 ; 10.187.035.464 ; 5.895 ; 10.964.076.233 ; 16.784 ; 24.057.610.527 ; 905 ; 9.384.232.967 ; 1.278 ; 9.024.905.960 ; 2.183 ; 18.409.138.927 ; 18.967 ; 42.466.749.454 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 15.310 ; 7.510.212.355 ; 42.971 ; 5.515.003.886 ; 116.596 ; 5.435.545.818 ; 85.557 ; 7.705.673.616 ; 260.434 ; 26.166.435.675 ; 521 ; 2.635.269.090 ; 529 ; 2.989.356.184 ; 1.050 ; 5.624.625.274 ; 261.484 ; 31.791.060.949 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 8.329 ; 4.210.043.065 ; 25.340 ; 2.960.543.642 ; 42.947 ; 4.078.217.687 ; 65.482 ; 4.135.067.997 ; 142.098 ; 15.383.872.391 ; 1.913 ; 4.761.684.616 ; 1.930 ; 6.186.305.932 ; 3.843 ; 10.947.990.548 ; 145.941 ; 26.331.862.939 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 344 ; 1.029.953.135 ; 2.520 ; 685.789.803 ; 2.598 ; 2.742.981.398 ; 4.512 ; 1.938.774.118 ; 9.974 ; 6.397.498.454 ; 713 ; 7.107.939.446 ; 804 ; 8.964.192.502 ; 1.517 ; 16.072.131.948 ; 11.491 ; 22.469.630.402 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 322 ; 200.703.776 ; 1.075 ; 164.109.533 ; 439 ; 216.023.341 ; 713 ; 278.042.418 ; 2.549 ; 858.879.068 ; 1.921 ; 9.878.083.962 ; 1.972 ; 9.932.620.759 ; 3.893 ; 19.810.704.721 ; 6.442 ; 20.669.583.789 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 465 ; 1.330.725.294 ; 2.011 ; 786.295.601 ; 1.112 ; 4.731.211.951 ; 1.299 ; 4.869.154.625 ; 4.887 ; 11.717.387.471 ; 423 ; 2.936.323.952 ; 596 ; 5.171.640.265 ; 1.019 ; 8.107.964.217 ; 5.906 ; 19.825.351.688 ;
11;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 332 ; 298.644.514 ; 1.182 ; 234.051.666 ; 422 ; 397.432.856 ; 903 ; 450.902.860 ; 2.839 ; 1.381.031.896 ; 727 ; 8.184.800.213 ; 1.062 ; 8.163.637.308 ; 1.789 ; 16.348.437.521 ; 4.628 ; 17.729.469.417 ;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 195 ; 422.116.171 ; 2.095 ; 637.108.955 ; 230 ; 1.038.143.787 ; 634 ; 771.210.098 ; 3.154 ; 2.868.579.011 ; 1.030 ; 6.764.424.388 ; 1.054 ; 6.904.963.574 ; 2.084 ; 13.669.387.962 ; 5.238 ; 16.537.966.973 ;
