Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Fevereiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.290 ; 1.903.782.021 ; 19.112 ; 2.080.920.634 ; 25.993 ; 5.474.675.299 ; 55.568 ; 4.936.760.222 ; 106.963 ; 14.396.138.176 ; 923 ; 20.932.271.941 ; 1.021 ; 20.147.334.471 ; 1.944 ; 41.079.606.412 ; 108.907 ; 55.475.744.588 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.206 ; 3.873.647.263 ; 30.991 ; 3.626.218.547 ; 43.066 ; 3.554.648.435 ; 55.484 ; 5.265.180.580 ; 138.747 ; 16.319.694.825 ; 504 ; 11.790.882.596 ; 523 ; 11.518.402.258 ; 1.027 ; 23.309.284.854 ; 139.774 ; 39.628.979.679 ;
3;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.455 ; 3.551.283.201 ; 6.223 ; 1.846.742.948 ; 5.875 ; 5.035.381.119 ; 11.023 ; 5.908.136.139 ; 24.576 ; 16.341.543.407 ; 211 ; 3.757.085.528 ; 194 ; 3.881.671.585 ; 405 ; 7.638.757.113 ; 24.981 ; 23.980.300.520 ;
4;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 393 ; 667.877.658 ; 3.295 ; 691.604.135 ; 1.531 ; 4.373.890.420 ; 3.036 ; 5.292.440.661 ; 8.255 ; 11.025.812.874 ; 418 ; 4.557.633.518 ; 552 ; 3.216.717.677 ; 970 ; 7.774.351.195 ; 9.225 ; 18.800.164.069 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 7.684 ; 3.898.994.834 ; 19.997 ; 2.274.797.196 ; 30.715 ; 3.520.085.087 ; 41.410 ; 5.206.026.900 ; 99.806 ; 14.899.904.017 ; 236 ; 1.444.114.990 ; 245 ; 1.868.701.850 ; 481 ; 3.312.816.840 ; 100.287 ; 18.212.720.857 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 339 ; 770.386.794 ; 1.594 ; 208.510.876 ; 4.221 ; 1.233.283.881 ; 14.560 ; 1.677.203.682 ; 20.714 ; 3.889.385.233 ; 285 ; 6.362.030.600 ; 409 ; 7.489.100.159 ; 694 ; 13.851.130.759 ; 21.408 ; 17.740.515.992 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.222 ; 2.245.790.326 ; 11.587 ; 1.367.372.270 ; 21.265 ; 1.756.469.404 ; 29.778 ; 2.077.484.308 ; 66.852 ; 7.447.116.308 ; 925 ; 3.065.577.428 ; 921 ; 3.441.971.148 ; 1.846 ; 6.507.548.576 ; 68.698 ; 13.954.664.884 ;
8;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 144 ; 134.775.994 ; 514 ; 65.796.850 ; 214 ; 56.961.078 ; 364 ; 180.935.358 ; 1.236 ; 438.469.280 ; 877 ; 5.155.153.871 ; 890 ; 4.988.904.523 ; 1.767 ; 10.144.058.394 ; 3.003 ; 10.582.527.674 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 177 ; 450.438.899 ; 931 ; 213.023.421 ; 533 ; 2.393.899.154 ; 602 ; 2.365.691.729 ; 2.243 ; 5.423.053.203 ; 191 ; 1.380.502.100 ; 260 ; 2.003.756.225 ; 451 ; 3.384.258.325 ; 2.694 ; 8.807.311.528 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 161 ; 373.639.486 ; 1.106 ; 254.815.483 ; 1.226 ; 1.176.631.517 ; 2.064 ; 877.881.555 ; 4.557 ; 2.682.968.041 ; 343 ; 2.529.183.073 ; 385 ; 3.524.254.894 ; 728 ; 6.053.437.967 ; 5.285 ; 8.736.406.008 ;
11;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 219 ; 190.693.743 ; 583 ; 140.978.314 ; 226 ; 112.360.281 ; 481 ; 191.569.537 ; 1.509 ; 635.601.875 ; 402 ; 3.941.115.773 ; 538 ; 3.855.848.710 ; 940 ; 7.796.964.483 ; 2.449 ; 8.432.566.358 ;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 91 ; 214.601.241 ; 934 ; 388.374.293 ; 122 ; 518.716.753 ; 312 ; 404.160.270 ; 1.459 ; 1.525.852.557 ; 569 ; 3.131.946.234 ; 580 ; 3.172.410.019 ; 1.149 ; 6.304.356.253 ; 2.608 ; 7.830.208.810 ;
13;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 292 ; 2.840.052.082 ; 338 ; 2.922.786.165 ; 630 ; 5.762.838.247 ; 9 ; 220.062.796 ; 9 ; 222.700.000 ; 18 ; 442.762.796 ; 648 ; 6.205.601.043 ;
14;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 3.095.408.833 ; 5 ; 3.000.000.000 ; 10 ; 6.095.408.833 ; 10 ; 6.095.408.833 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 123 ; 12.583.948 ; 1.504 ; 71.937.266 ; 821 ; 47.664.444 ; 8.617 ; 315.795.210 ; 11.065 ; 447.980.868 ; 510 ; 2.960.305.248 ; 628 ; 2.637.231.642 ; 1.138 ; 5.597.536.890 ; 12.203 ; 6.045.517.758 ;
