Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Março/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 18.669 ; 6.799.810.720 ; 61.073 ; 7.174.520.692 ; 76.811 ; 14.621.107.552 ; 177.638 ; 11.418.345.266 ; 334.191 ; 40.013.784.230 ; 2.739 ; 56.990.653.891 ; 3.117 ; 56.396.340.970 ; 5.856 ; 113.386.994.861 ; 340.047 ; 153.400.779.091 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 27.411 ; 9.816.431.899 ; 100.176 ; 11.772.411.309 ; 135.920 ; 11.817.213.352 ; 168.522 ; 17.946.130.758 ; 432.029 ; 51.352.187.318 ; 1.721 ; 39.307.528.100 ; 1.668 ; 33.612.578.663 ; 3.389 ; 72.920.106.763 ; 435.418 ; 124.272.294.081 ;
3;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 4.249 ; 6.831.087.633 ; 19.729 ; 5.289.395.807 ; 17.274 ; 15.367.262.168 ; 35.772 ; 19.502.182.547 ; 77.024 ; 46.989.928.155 ; 641 ; 11.444.470.126 ; 630 ; 11.098.195.461 ; 1.271 ; 22.542.665.587 ; 78.295 ; 69.532.593.742 ;
4;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 1.030 ; 2.292.155.785 ; 5.094 ; 1.213.287.598 ; 13.509 ; 3.181.955.926 ; 43.337 ; 4.540.340.905 ; 62.970 ; 11.227.740.214 ; 944 ; 27.223.797.073 ; 1.419 ; 30.234.055.594 ; 2.363 ; 57.457.852.667 ; 65.333 ; 68.685.592.881 ;
5;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 1.191 ; 2.065.428.367 ; 9.916 ; 2.181.424.016 ; 4.947 ; 14.311.539.053 ; 9.335 ; 17.769.798.268 ; 25.389 ; 36.328.189.704 ; 1.302 ; 13.215.268.602 ; 1.850 ; 16.978.187.134 ; 3.152 ; 30.193.455.736 ; 28.541 ; 66.521.645.440 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 23.135 ; 12.017.122.190 ; 63.998 ; 8.192.127.337 ; 148.588 ; 6.652.798.126 ; 125.098 ; 9.824.163.630 ; 360.819 ; 36.686.211.283 ; 785 ; 3.660.957.708 ; 810 ; 6.709.233.897 ; 1.595 ; 10.370.191.605 ; 362.414 ; 47.056.402.888 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 12.496 ; 8.297.790.181 ; 37.601 ; 4.444.906.781 ; 62.867 ; 5.624.837.733 ; 94.691 ; 8.083.792.207 ; 207.655 ; 26.451.326.902 ; 2.733 ; 8.995.791.342 ; 2.753 ; 10.602.897.581 ; 5.486 ; 19.598.688.923 ; 213.141 ; 46.050.015.825 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 558 ; 1.301.730.524 ; 3.690 ; 939.605.166 ; 4.848 ; 5.963.750.562 ; 8.527 ; 5.371.233.301 ; 17.623 ; 13.576.319.553 ; 1.084 ; 12.527.754.461 ; 1.179 ; 13.906.107.251 ; 2.263 ; 26.433.861.712 ; 19.886 ; 40.010.181.265 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 488 ; 390.345.299 ; 1.612 ; 246.089.883 ; 670 ; 724.665.525 ; 1.127 ; 1.181.379.589 ; 3.897 ; 2.542.480.296 ; 2.881 ; 14.641.856.503 ; 2.976 ; 14.378.664.115 ; 5.857 ; 29.020.520.618 ; 9.754 ; 31.563.000.914 ;
10;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 246 ; 601.782.928 ; 2.890 ; 1.038.252.421 ; 355 ; 1.464.467.236 ; 980 ; 1.303.403.789 ; 4.471 ; 4.407.906.374 ; 1.509 ; 13.253.451.123 ; 1.517 ; 13.015.504.778 ; 3.026 ; 26.268.955.901 ; 7.497 ; 30.676.862.275 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 693 ; 2.078.316.001 ; 2.958 ; 1.124.439.570 ; 1.637 ; 6.554.240.450 ; 1.993 ; 7.402.288.895 ; 7.281 ; 17.159.284.916 ; 663 ; 5.938.301.078 ; 860 ; 7.317.102.492 ; 1.523 ; 13.255.403.570 ; 8.804 ; 30.414.688.486 ;
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.458 ; 8.277.177.302 ; 1.493 ; 6.977.357.108 ; 2.951 ; 15.254.534.410 ; 146 ; 6.001.238.865 ; 168 ; 6.441.196.096 ; 314 ; 12.442.434.961 ; 3.265 ; 27.696.969.371 ;
13;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 455 ; 403.074.475 ; 1.855 ; 522.496.351 ; 639 ; 684.114.432 ; 1.345 ; 689.522.139 ; 4.294 ; 2.299.207.397 ; 1.110 ; 12.256.907.644 ; 1.575 ; 12.138.989.216 ; 2.685 ; 24.395.896.860 ; 6.979 ; 26.695.104.257 ;
14;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 11.374.749.999 ; 30 ; 11.000.000.000 ; 60 ; 22.374.749.999 ; 60 ; 22.374.749.999 ;
