Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Janeiro-Maio/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 31.917 ; 11.962.662.422 ; 102.821 ; 12.297.609.730 ; 128.838 ; 22.639.749.620 ; 290.276 ; 19.495.813.991 ; 553.852 ; 66.395.835.763 ; 4.342 ; 82.530.393.193 ; 4.854 ; 81.109.469.622 ; 9.196 ; 163.639.862.815 ; 563.048 ; 230.035.698.578 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 47.929 ; 19.169.755.421 ; 167.543 ; 19.577.111.095 ; 222.509 ; 18.687.498.512 ; 287.907 ; 31.166.359.117 ; 725.888 ; 88.600.724.145 ; 2.891 ; 67.821.993.451 ; 2.728 ; 57.773.026.222 ; 5.619 ; 125.595.019.673 ; 731.507 ; 214.195.743.818 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 2.107 ; 3.659.366.135 ; 16.733 ; 4.154.062.231 ; 8.375 ; 27.280.816.168 ; 15.656 ; 28.388.319.200 ; 42.871 ; 63.482.563.734 ; 2.486 ; 36.919.527.128 ; 3.284 ; 36.684.239.880 ; 5.770 ; 73.603.767.008 ; 48.641 ; 137.086.330.742 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 7.561 ; 10.661.865.072 ; 33.456 ; 8.574.529.859 ; 29.583 ; 28.973.839.250 ; 60.700 ; 34.106.396.583 ; 131.300 ; 82.316.630.764 ; 1.056 ; 17.505.358.777 ; 1.008 ; 16.112.532.451 ; 2.064 ; 33.617.891.228 ; 133.364 ; 115.934.521.992 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 1.826 ; 3.942.335.911 ; 8.848 ; 2.151.840.716 ; 24.409 ; 5.527.494.512 ; 72.227 ; 7.716.224.188 ; 107.310 ; 19.337.895.327 ; 1.597 ; 38.017.243.390 ; 2.457 ; 41.521.564.213 ; 4.054 ; 79.538.807.603 ; 111.364 ; 98.876.702.930 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 21.696 ; 16.145.427.027 ; 64.013 ; 7.705.192.385 ; 107.094 ; 8.973.692.942 ; 157.793 ; 14.460.268.261 ; 350.596 ; 47.284.580.615 ; 4.480 ; 17.043.706.716 ; 4.470 ; 20.391.528.374 ; 8.950 ; 37.435.235.090 ; 359.546 ; 84.719.815.705 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 41.280 ; 23.543.121.601 ; 107.836 ; 13.499.071.214 ; 212.784 ; 10.161.827.371 ; 208.244 ; 15.346.814.288 ; 570.144 ; 62.550.834.474 ; 1.315 ; 7.494.458.332 ; 1.369 ; 13.911.774.128 ; 2.684 ; 21.406.232.460 ; 572.828 ; 83.957.066.934 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 1.013 ; 2.087.432.362 ; 6.558 ; 1.922.007.933 ; 7.903 ; 10.366.722.826 ; 14.455 ; 8.481.043.662 ; 29.929 ; 22.857.206.783 ; 1.741 ; 18.738.987.918 ; 1.909 ; 21.747.438.640 ; 3.650 ; 40.486.426.558 ; 33.579 ; 63.343.633.341 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.169 ; 13.830.742.751 ; 1.951 ; 13.436.048.010 ; 4.120 ; 27.266.790.761 ; 316 ; 13.290.785.928 ; 310 ; 12.270.952.304 ; 626 ; 25.561.738.232 ; 4.746 ; 52.828.528.993 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 1.254 ; 3.793.146.107 ; 5.263 ; 1.842.173.447 ; 2.696 ; 11.113.332.271 ; 3.398 ; 12.595.950.566 ; 12.611 ; 29.344.602.391 ; 1.132 ; 8.974.603.603 ; 1.428 ; 10.994.382.990 ; 2.560 ; 19.968.986.593 ; 15.171 ; 49.313.588.984 ;
11;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 367 ; 1.188.421.370 ; 4.490 ; 1.512.583.292 ; 664 ; 2.562.299.126 ; 1.585 ; 2.218.763.149 ; 7.106 ; 7.482.066.937 ; 2.492 ; 20.074.946.641 ; 2.496 ; 20.155.646.753 ; 4.988 ; 40.230.593.394 ; 12.094 ; 47.712.660.331 ;
12;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 815 ; 924.680.211 ; 2.721 ; 484.425.573 ; 1.189 ; 1.139.776.275 ; 1.931 ; 1.528.982.233 ; 6.656 ; 4.077.864.292 ; 4.292 ; 18.956.167.718 ; 4.444 ; 19.043.979.760 ; 8.736 ; 38.000.147.478 ; 15.392 ; 42.078.011.770 ;
13;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 813 ; 854.009.023 ; 3.130 ; 833.513.795 ; 1.252 ; 1.567.001.844 ; 2.336 ; 1.521.273.898 ; 7.531 ; 4.775.798.560 ; 1.873 ; 18.554.203.236 ; 2.473 ; 18.606.192.819 ; 4.346 ; 37.160.396.055 ; 11.877 ; 41.936.194.615 ;
14;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.606 ; 15.409.540.727 ; 1.824 ; 15.507.600.797 ; 3.430 ; 30.917.141.524 ; 102 ; 3.366.104.612 ; 82 ; 3.268.700.000 ; 184 ; 6.634.804.612 ; 3.614 ; 37.551.946.136 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 696 ; 80.730.347 ; 8.578 ; 441.070.510 ; 4.255 ; 197.032.480 ; 43.234 ; 1.684.829.558 ; 56.763 ; 2.403.662.895 ; 2.740 ; 17.854.686.358 ; 3.355 ; 16.008.101.509 ; 6.095 ; 33.862.787.867 ; 62.858 ; 36.266.450.762 ;
16;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 3.347 ; 11.433.011.923 ; 3.914 ; 13.394.097.832 ; 7.261 ; 24.827.109.755 ; 314 ; 5.982.689.258 ; 238 ; 4.019.774.988 ; 552 ; 10.002.464.246 ; 7.813 ; 34.829.574.001 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 508 ; 602.055.845 ; 3.572 ; 912.585.178 ; 1.499 ; 3.150.943.170 ; 2.645 ; 4.634.642.437 ; 8.224 ; 9.300.226.630 ; 4.639 ; 11.271.003.793 ; 4.620 ; 8.954.348.371 ; 9.259 ; 20.225.352.164 ; 17.483 ; 29.525.578.794 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 5.615 ; 1.135.843.886 ; 37.240 ; 1.774.882.213 ; 51.525 ; 3.366.850.185 ; 196.724 ; 4.037.280.701 ; 291.104 ; 10.314.856.985 ; 650 ; 9.643.952.557 ; 834 ; 8.149.391.251 ; 1.484 ; 17.793.343.808 ; 292.588 ; 28.108.200.793 ;
