Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Maio/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.305 ; 3.801.042.106 ; 33.817 ; 3.751.542.142 ; 40.561 ; 2.843.722.206 ; 59.297 ; 6.635.363.504 ; 143.980 ; 17.031.669.958 ; 579 ; 14.408.387.485 ; 495 ; 10.678.645.845 ; 1.074 ; 25.087.033.330 ; 145.054 ; 42.118.703.288 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.559 ; 2.663.486.761 ; 20.607 ; 2.506.289.497 ; 25.286 ; 3.663.286.650 ; 55.509 ; 4.593.208.934 ; 107.961 ; 13.426.271.842 ; 764 ; 12.253.226.633 ; 815 ; 11.800.340.654 ; 1.579 ; 24.053.567.287 ; 109.540 ; 37.479.839.129 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 495 ; 705.960.360 ; 2.955 ; 837.853.478 ; 1.603 ; 4.249.677.294 ; 2.984 ; 4.841.592.985 ; 8.037 ; 10.635.084.117 ; 554 ; 9.457.398.667 ; 780 ; 9.603.936.403 ; 1.334 ; 19.061.335.070 ; 9.371 ; 29.696.419.187 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.667 ; 2.108.278.260 ; 6.730 ; 1.677.103.434 ; 6.554 ; 7.356.551.900 ; 12.961 ; 7.153.337.284 ; 27.912 ; 18.295.270.878 ; 194 ; 2.039.231.684 ; 196 ; 2.878.064.854 ; 390 ; 4.917.296.538 ; 28.302 ; 23.212.567.416 ;
5;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.674 ; 3.789.310.952 ; 13.224 ; 1.632.507.489 ; 21.095 ; 1.503.166.602 ; 32.453 ; 4.251.829.758 ; 71.446 ; 11.176.814.801 ; 909 ; 5.182.212.034 ; 868 ; 4.819.386.051 ; 1.777 ; 10.001.598.085 ; 73.223 ; 21.178.412.886 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.017 ; 5.588.192.800 ; 21.983 ; 2.888.216.162 ; 32.513 ; 1.038.855.717 ; 41.016 ; 1.756.181.478 ; 104.529 ; 11.271.446.157 ; 257 ; 2.262.323.660 ; 268 ; 3.909.032.471 ; 525 ; 6.171.356.131 ; 105.054 ; 17.442.802.288 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 402 ; 775.897.566 ; 1.822 ; 233.609.969 ; 5.333 ; 1.007.011.173 ; 15.115 ; 1.554.670.141 ; 22.672 ; 3.571.188.849 ; 321 ; 5.474.025.091 ; 536 ; 6.086.971.151 ; 857 ; 11.560.996.242 ; 23.529 ; 15.132.185.091 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 351 ; 2.653.996.930 ; 229 ; 2.830.538.603 ; 580 ; 5.484.535.533 ; 91 ; 4.572.303.976 ; 76 ; 3.292.515.260 ; 167 ; 7.864.819.236 ; 747 ; 13.349.354.769 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 219 ; 216.181.370 ; 1.582 ; 589.708.567 ; 1.567 ; 2.546.625.897 ; 3.084 ; 1.729.749.340 ; 6.452 ; 5.082.265.174 ; 323 ; 3.043.411.960 ; 356 ; 3.687.313.178 ; 679 ; 6.730.725.138 ; 7.131 ; 11.812.990.312 ;
10;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 345 ; 3.862.590.929 ; 388 ; 3.903.658.132 ; 733 ; 7.766.249.061 ; 28 ; 1.180.315.324 ; 24 ; 1.135.000.000 ; 52 ; 2.315.315.324 ; 785 ; 10.081.564.385 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 312 ; 700.842.400 ; 1.022 ; 382.780.937 ; 556 ; 2.401.879.910 ; 733 ; 2.678.863.116 ; 2.623 ; 6.164.366.363 ; 238 ; 1.786.360.094 ; 273 ; 1.777.113.832 ; 511 ; 3.563.473.926 ; 3.134 ; 9.727.840.289 ;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 50 ; 425.861.149 ; 777 ; 214.658.215 ; 167 ; 494.747.793 ; 286 ; 479.582.021 ; 1.280 ; 1.614.849.178 ; 509 ; 3.156.576.877 ; 501 ; 3.371.273.098 ; 1.010 ; 6.527.849.975 ; 2.290 ; 8.142.699.153 ;
13;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 143 ; 17.768.404 ; 1.735 ; 69.585.279 ; 907 ; 44.365.433 ; 8.140 ; 381.633.223 ; 10.925 ; 513.352.339 ; 538 ; 3.657.975.697 ; 669 ; 3.273.578.009 ; 1.207 ; 6.931.553.706 ; 12.132 ; 7.444.906.045 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 693 ; 2.431.396.500 ; 804 ; 2.451.037.216 ; 1.497 ; 4.882.433.716 ; 49 ; 1.115.645.259 ; 47 ; 1.096.565.438 ; 96 ; 2.212.210.697 ; 1.593 ; 7.094.644.413 ;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 92 ; 78.548.602 ; 740 ; 136.766.256 ; 391 ; 550.525.855 ; 610 ; 558.523.949 ; 1.833 ; 1.324.364.662 ; 1.193 ; 2.710.568.067 ; 1.188 ; 2.401.177.692 ; 2.381 ; 5.111.745.759 ; 4.214 ; 6.436.110.421 ;
16;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 205 ; 203.697.671 ; 607 ; 91.548.297 ; 284 ; 312.886.386 ; 475 ; 586.856.458 ; 1.571 ; 1.194.988.812 ; 352 ; 2.660.166.618 ; 430 ; 2.505.864.045 ; 782 ; 5.166.030.663 ; 2.353 ; 6.361.019.475 ;
17;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 182 ; 307.127.123 ; 566 ; 190.815.803 ; 239 ; 211.046.590 ; 401 ; 92.540.235 ; 1.388 ; 801.529.751 ; 689 ; 1.959.134.737 ; 726 ; 2.272.960.501 ; 1.415 ; 4.232.095.238 ; 2.803 ; 5.033.624.989 ;
18;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 52 ; 223.747.654 ; 4 ; 453.139 ; 57 ; 243.418.566 ; 172 ; 202.791.632 ; 285 ; 670.410.991 ; 132 ; 1.862.631.338 ; 153 ; 2.412.814.945 ; 285 ; 4.275.446.283 ; 570 ; 4.945.857.274 ;
19;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 48 ; 1.912.584.300 ; 20 ; 5.430.406 ; 68 ; 1.918.014.706 ; 5 ; 130.180.577 ; 21 ; 2.037.276.484 ; 26 ; 2.167.457.061 ; 94 ; 4.085.471.767 ;
20;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.266 ; 226.640.307 ; 7.855 ; 349.890.768 ; 11.272 ; 376.645.004 ; 35.120 ; 771.242.488 ; 55.513 ; 1.724.418.567 ; 133 ; 1.311.762.050 ; 179 ; 902.038.353 ; 312 ; 2.213.800.403 ; 55.825 ; 3.938.218.970 ;
21;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 194 ; 144.729.398 ; 897 ; 176.111.012 ; 2.500 ; 748.618.273 ; 4.634 ; 484.192.468 ; 8.225 ; 1.553.651.151 ; 98 ; 932.928.863 ; 152 ; 1.093.743.925 ; 250 ; 2.026.672.788 ; 8.475 ; 3.580.323.939 ;
22;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 323 ; 154.328.173 ; 1.063 ; 103.047.847 ; 21.044 ; 167.982.108 ; 16.849 ; 1.425.505.936 ; 39.279 ; 1.850.864.064 ; 338 ; 1.388.448.243 ; 304 ; 173.695.459 ; 642 ; 1.562.143.702 ; 39.921 ; 3.413.007.766 ;
23;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 86 ; 132.813.411 ; 180 ; 55.250.062 ; 105 ; 468.122.841 ; 167 ; 77.599.347 ; 538 ; 733.785.661 ; 152 ; 825.798.480 ; 179 ; 1.319.701.174 ; 331 ; 2.145.499.654 ; 869 ; 2.879.285.315 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 5 ; 448.413.290 ; -   ; -   ; 97 ; 679.023.053 ; 104 ; 410.197.920 ; 206 ; 1.537.634.263 ; 9 ; 132.695.170 ; 34 ; 1.130.463.078 ; 43 ; 1.263.158.248 ; 249 ; 2.800.792.511 ;
25;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 548 ; 62.999.075 ; 2.160 ; 502.389.121 ; 5.231 ; 144.680.155 ; 7.611 ; 276.136.778 ; 15.550 ; 986.205.129 ; 153 ; 1.051.072.633 ; 116 ; 454.214.806 ; 269 ; 1.505.287.439 ; 15.819 ; 2.491.492.568 ;
26;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 53 ; 286.983.540 ; 157 ; 110.590.262 ; 237 ; 281.867.456 ; 289 ; 104.889.936 ; 736 ; 784.331.194 ; 248 ; 598.807.440 ; 261 ; 925.945.119 ; 509 ; 1.524.752.559 ; 1.245 ; 2.309.083.753 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 839 ; 133.792.198 ; 3.862 ; 266.365.756 ; 29.927 ; 323.437.780 ; 31.974 ; 413.799.418 ; 66.602 ; 1.137.395.152 ; 1.114 ; 687.415.035 ; 7.431 ; 392.336.773 ; 8.545 ; 1.079.751.808 ; 75.147 ; 2.217.146.960 ;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 174 ; 151.394.048 ; 674 ; 53.477.474 ; 287 ; 222.983.096 ; 461 ; 84.462.633 ; 1.596 ; 512.317.251 ; 92 ; 530.424.263 ; 103 ; 747.150.648 ; 195 ; 1.277.574.911 ; 1.791 ; 1.789.892.162 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 391 ; 94.022.948 ; 1.541 ; 341.698.764 ; 56.722 ; 454.897.513 ; 34.965 ; 266.859.987 ; 93.619 ; 1.157.479.212 ; 308 ; 358.132.589 ; 1.838 ; 217.807.995 ; 2.146 ; 575.940.584 ; 95.765 ; 1.733.419.796 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 8.057 ; 2.214.950 ; 387 ; 251.876 ; 1.334.603 ; 503.227.863 ; 1.681.417 ; 581.940.584 ; 3.024.464 ; 1.087.635.273 ; 1.000 ; 324.988.272 ; 966 ; 247.964.573 ; 1.966 ; 572.952.845 ; 3.026.430 ; 1.660.588.118 ;
31;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 97 ; 39.206.290 ; 93 ; 3.154.708 ; 6.750 ; 744.775.573 ; 1.963 ; 49.806.503 ; 8.903 ; 836.943.074 ; 148 ; 51.279.693 ; 153 ; 766.542.923 ; 301 ; 817.822.616 ; 9.204 ; 1.654.765.690 ;
32;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 195 ; 31.060.203 ; 673 ; 5.738.656 ; 35.679 ; 128.730.337 ; 59.789 ; 531.177.066 ; 96.336 ; 696.706.262 ; 725 ; 596.975.243 ; 2.548 ; 212.580.183 ; 3.273 ; 809.555.426 ; 99.609 ; 1.506.261.688 ;
33;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 506 ; 45.682.775 ; 2.554 ; 92.685.870 ; 6.573 ; 127.337.968 ; 5.280 ; 138.835.059 ; 14.913 ; 404.541.672 ; 2.166 ; 561.910.054 ; 4.039 ; 496.825.642 ; 6.205 ; 1.058.735.696 ; 21.118 ; 1.463.277.368 ;
34;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 95 ; 82.256.584 ; 678 ; 82.811.104 ; 186 ; 59.755.075 ; 684 ; 160.369.119 ; 1.643 ; 385.191.882 ; 119 ; 414.875.307 ; 145 ; 411.720.553 ; 264 ; 826.595.860 ; 1.907 ; 1.211.787.742 ;
35;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 18 ; 11.695.678 ; 84 ; 15.816.502 ; 45 ; 66.417.060 ; 306 ; 117.744.707 ; 453 ; 211.673.947 ; 104 ; 574.240.579 ; 89 ; 416.381.075 ; 193 ; 990.621.654 ; 646 ; 1.202.295.601 ;
36;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 205 ; 419.661.851 ; 874 ; 36.877.459 ; 43.222 ; 64.200.283 ; 37.545 ; 181.306.759 ; 81.846 ; 702.046.352 ; 1.247 ; 80.789.724 ; 1.300 ; 335.040.841 ; 2.547 ; 415.830.565 ; 84.393 ; 1.117.876.917 ;
37;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 67 ; 12.602.100 ; 230 ; 130.625.249 ; 5.432 ; 143.415.676 ; 1.009 ; 150.526.248 ; 6.738 ; 437.169.273 ; 57 ; 366.685.267 ; 32 ; 230.839.534 ; 89 ; 597.524.801 ; 6.827 ; 1.034.694.074 ;
38;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 504.603.375 ; 1 ; 500.000.000 ; 2 ; 1.004.603.375 ; 2 ; 1.004.603.375 ;
39;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 109 ; 4.947.384 ; 740 ; 27.024.059 ; 137.271 ; 323.750.928 ; 5.268 ; 95.278.419 ; 143.388 ; 451.000.790 ; 1.375 ; 166.376.002 ; 5.055 ; 352.650.426 ; 6.430 ; 519.026.428 ; 149.818 ; 970.027.218 ;
40;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 10 ; 1.006.671 ; 60 ; 4.438.665 ; 370 ; 62.379.964 ; 809 ; 452.887.776 ; 1.249 ; 520.713.076 ; 88 ; 392.284.013 ; 13 ; 24.732.801 ; 101 ; 417.016.814 ; 1.350 ; 937.729.890 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 574 ; 230.166.996 ; 878 ; 77.413.252 ; 367 ; 51.916.553 ; 423 ; 24.416.770 ; 2.242 ; 383.913.571 ; 38 ; 120.081.693 ; 109 ; 298.878.607 ; 147 ; 418.960.300 ; 2.389 ; 802.873.871 ;
42;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 107 ; 84.187.738 ; 305 ; 101.155.929 ; 40 ; 6.542.963 ; 92 ; 2.062.315 ; 544 ; 193.948.945 ; 58 ; 346.588.268 ; 51 ; 189.955.845 ; 109 ; 536.544.113 ; 653 ; 730.493.058 ;
43;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 11 ; 55.914.550 ; 1 ; 3.836 ; 21 ; 17.353.281 ; 32 ; 14.687.153 ; 65 ; 87.958.820 ; 44 ; 192.625.624 ; 51 ; 401.759.716 ; 95 ; 594.385.340 ; 160 ; 682.344.160 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 1 ; 15.000.000 ; -   ; -   ; 167 ; 201.484.714 ; 235 ; 39.305.987 ; 403 ; 255.790.701 ; 24 ; 98.938.406 ; 60 ; 273.200.000 ; 84 ; 372.138.406 ; 487 ; 627.929.107 ;
45;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 35 ; 33.203.259 ; -   ; -   ; 36 ; 4.731.641 ; 3 ; 80.103 ; 74 ; 38.015.003 ; 1 ; 2.234.800 ; 13 ; 550.000.000 ; 14 ; 552.234.800 ; 88 ; 590.249.803 ;
46;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 50 ; 153.124.519 ; 524 ; 87.493.595 ; 61 ; 24.434.669 ; 502 ; 39.455.307 ; 1.137 ; 304.508.090 ; 20 ; 119.740.418 ; 22 ; 141.051.618 ; 42 ; 260.792.036 ; 1.179 ; 565.300.126 ;
47;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 37 ; 53.993.660 ; 18 ; 10.455.620 ; 135 ; 68.306.123 ; 62 ; 8.784.852 ; 252 ; 141.540.255 ; 90 ; 116.591.118 ; 112 ; 219.974.914 ; 202 ; 336.566.032 ; 454 ; 478.106.287 ;
48;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL; 50 ; 4.736.074 ; 19 ; 2.177.641 ; 9 ; 84.917 ; 32 ; 215.063.786 ; 110 ; 222.062.418 ; 16 ; 217.457.196 ; 19 ; 4.926.023 ; 35 ; 222.383.219 ; 145 ; 444.445.637 ;
49;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 42 ; 93.098.604 ; 44 ; 53.943.665 ; 22 ; 29.331.510 ; 99 ; 17.694.560 ; 207 ; 194.068.339 ; 32 ; 71.519.314 ; 39 ; 121.901.505 ; 71 ; 193.420.819 ; 278 ; 387.489.158 ;
50;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 14.054 ; 30.278.932 ; 92.821 ; 187.337.777 ; 106.875 ; 217.616.709 ; 248 ; 156.708.725 ; -   ; -   ; 248 ; 156.708.725 ; 107.123 ; 374.325.434 ;
51;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 18 ; 52.780.981 ; 107 ; 185.448.047 ; 125 ; 238.229.028 ; 4 ; 121.881.334 ; 1 ; 1.895.585 ; 5 ; 123.776.919 ; 130 ; 362.005.947 ;
52;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 92 ; 7.319.764 ; 136 ; 7.040.845 ; 5.044 ; 117.475.617 ; 324 ; 4.137.833 ; 5.596 ; 135.974.059 ; 151 ; 25.857.620 ; 283 ; 139.475.400 ; 434 ; 165.333.020 ; 6.030 ; 301.307.079 ;
53;60.889.128;BANCO SOFISA S.A.;SOFISA - PRUDENCIAL; 243 ; 53.868.365 ; 134 ; 11.686.926 ; 18 ; 5.844.261 ; 163 ; 48.508.598 ; 558 ; 119.908.150 ; 13 ; 106.866.408 ; 11 ; 73.084.658 ; 24 ; 179.951.066 ; 582 ; 299.859.216 ;
