Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 37.798 ; 14.841.413.812 ; 124.388 ; 15.076.320.018 ; 154.720 ; 26.187.999.163 ; 351.189 ; 23.757.869.685 ; 668.095 ; 79.863.602.678 ; 5.265 ; 107.245.653.276 ; 5.775 ; 103.685.184.253 ; 11.040 ; 210.930.837.529 ; 679.135 ; 290.794.440.207 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 57.132 ; 22.619.752.624 ; 201.426 ; 23.361.110.784 ; 269.415 ; 22.721.676.253 ; 348.871 ; 38.117.963.182 ; 876.844 ; 106.820.502.843 ; 3.450 ; 81.665.847.665 ; 3.217 ; 68.731.261.503 ; 6.667 ; 150.397.109.168 ; 883.511 ; 257.217.612.011 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 2.488 ; 4.646.787.435 ; 20.095 ; 5.245.416.067 ; 10.132 ; 32.059.920.622 ; 18.519 ; 33.503.626.289 ; 51.234 ; 75.455.750.413 ; 3.070 ; 48.834.098.025 ; 4.163 ; 49.475.074.400 ; 7.233 ; 98.309.172.425 ; 58.467 ; 173.764.922.838 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 8.960 ; 12.238.384.103 ; 39.834 ; 10.541.390.395 ; 35.866 ; 36.661.865.524 ; 71.603 ; 42.270.577.267 ; 156.263 ; 101.712.217.289 ; 1.269 ; 21.354.034.580 ; 1.190 ; 18.735.173.358 ; 2.459 ; 40.089.207.938 ; 158.722 ; 141.801.425.227 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 2.125 ; 4.504.460.451 ; 10.927 ; 2.353.858.117 ; 29.105 ; 6.453.732.232 ; 88.532 ; 9.383.842.563 ; 130.689 ; 22.695.893.363 ; 1.924 ; 44.344.926.244 ; 2.998 ; 48.633.393.735 ; 4.922 ; 92.978.319.979 ; 135.611 ; 115.674.213.342 ;
6;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 49.215 ; 28.348.369.604 ; 129.818 ; 16.399.781.847 ; 285.592 ; 14.395.035.277 ; 249.381 ; 20.742.686.362 ; 714.006 ; 79.885.873.090 ; 1.619 ; 9.584.648.398 ; 1.669 ; 16.462.930.410 ; 3.288 ; 26.047.578.808 ; 717.294 ; 105.933.451.898 ;
7;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 25.860 ; 19.876.417.708 ; 77.569 ; 9.340.809.125 ; 128.901 ; 10.954.920.169 ; 193.576 ; 16.424.766.236 ; 425.906 ; 56.596.913.238 ; 5.286 ; 20.116.473.195 ; 5.342 ; 26.766.221.863 ; 10.628 ; 46.882.695.058 ; 436.534 ; 103.479.608.296 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 1.169 ; 2.373.577.111 ; 7.976 ; 2.355.409.504 ; 9.449 ; 11.993.503.230 ; 17.208 ; 9.452.162.612 ; 35.802 ; 26.174.652.457 ; 2.094 ; 22.039.538.473 ; 2.288 ; 25.699.048.363 ; 4.382 ; 47.738.586.836 ; 40.184 ; 73.913.239.293 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.529 ; 17.267.841.452 ; 2.164 ; 14.887.397.547 ; 4.693 ; 32.155.238.999 ; 353 ; 14.270.849.887 ; 416 ; 16.439.653.374 ; 769 ; 30.710.503.261 ; 5.462 ; 62.865.742.260 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 1.500 ; 4.558.581.476 ; 6.397 ; 2.116.579.274 ; 3.296 ; 13.288.947.325 ; 4.158 ; 15.195.459.337 ; 15.351 ; 35.159.567.412 ; 1.378 ; 11.256.852.726 ; 1.733 ; 13.048.166.820 ; 3.111 ; 24.305.019.546 ; 18.462 ; 59.464.586.958 ;
