Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Julho/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 45.078 ; 17.859.261.331 ; 147.530 ; 17.765.380.503 ; 181.847 ; 29.225.951.755 ; 410.153 ; 27.574.212.593 ; 784.608 ; 92.424.806.182 ; 6.260 ; 117.923.114.097 ; 6.815 ; 114.812.016.911 ; 13.075 ; 232.735.131.008 ; 797.683 ; 325.159.937.190 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 69.082 ; 28.276.516.261 ; 236.775 ; 26.907.051.654 ; 313.244 ; 26.564.446.272 ; 418.739 ; 44.005.106.930 ; 1.037.840 ; 125.753.121.117 ; 4.082 ; 91.591.544.161 ; 3.866 ; 78.803.542.779 ; 7.948 ; 170.395.086.940 ; 1.045.788 ; 296.148.208.057 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 3.037 ; 6.005.399.705 ; 24.480 ; 6.248.850.786 ; 12.031 ; 36.763.299.835 ; 21.690 ; 38.642.896.660 ; 61.238 ; 87.660.446.986 ; 3.589 ; 54.036.786.980 ; 4.997 ; 54.594.834.176 ; 8.586 ; 108.631.621.156 ; 69.824 ; 196.292.068.142 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 10.773 ; 14.918.788.663 ; 47.091 ; 12.495.615.963 ; 43.427 ; 42.920.890.102 ; 83.265 ; 50.115.329.013 ; 184.556 ; 120.450.623.741 ; 1.485 ; 24.239.557.064 ; 1.359 ; 20.147.721.851 ; 2.844 ; 44.387.278.915 ; 187.400 ; 164.837.902.656 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 2.646 ; 5.264.723.759 ; 13.298 ; 2.627.165.494 ; 35.651 ; 7.565.782.827 ; 105.730 ; 11.291.761.002 ; 157.325 ; 26.749.433.082 ; 2.323 ; 52.361.730.615 ; 3.651 ; 56.059.893.009 ; 5.974 ; 108.421.623.624 ; 163.299 ; 135.171.056.706 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 31.191 ; 24.458.266.008 ; 91.675 ; 11.007.479.293 ; 152.068 ; 13.396.230.012 ; 232.060 ; 19.154.205.975 ; 506.994 ; 68.016.181.288 ; 6.213 ; 23.329.496.375 ; 6.367 ; 33.725.136.758 ; 12.580 ; 57.054.633.133 ; 519.574 ; 125.070.814.421 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 59.548 ; 33.456.065.714 ; 153.390 ; 19.387.231.715 ; 319.201 ; 15.783.849.483 ; 297.909 ; 22.402.066.235 ; 830.048 ; 91.029.213.147 ; 1.876 ; 10.763.063.482 ; 1.945 ; 21.011.736.924 ; 3.821 ; 31.774.800.406 ; 833.869 ; 122.804.013.553 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 1.350 ; 2.605.247.076 ; 9.487 ; 2.745.458.716 ; 11.208 ; 13.415.689.313 ; 20.023 ; 11.082.856.858 ; 42.068 ; 29.849.251.963 ; 2.443 ; 28.533.089.209 ; 2.623 ; 31.787.256.082 ; 5.066 ; 60.320.345.291 ; 47.134 ; 90.169.597.254 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.754 ; 18.912.231.231 ; 2.425 ; 16.774.086.851 ; 5.179 ; 35.686.318.082 ; 451 ; 18.569.444.694 ; 506 ; 19.682.764.007 ; 957 ; 38.252.208.701 ; 6.136 ; 73.938.526.783 ;
