Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Julho/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 11.956 ; 5.657.008.672 ; 35.365 ; 3.546.765.169 ; 43.836 ; 3.843.428.791 ; 69.847 ; 5.875.346.249 ; 161.004 ; 18.922.548.881 ; 632 ; 9.925.696.496 ; 649 ; 10.072.281.276 ; 1.281 ; 19.997.977.772 ; 162.285 ; 38.920.526.653 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 7.282 ; 3.019.195.680 ; 23.155 ; 2.691.493.875 ; 27.125 ; 3.044.309.047 ; 58.965 ; 3.815.135.667 ; 116.527 ; 12.570.134.269 ; 995 ; 10.677.460.821 ; 1.040 ; 11.126.832.658 ; 2.035 ; 21.804.293.479 ; 118.562 ; 34.374.427.748 ;
3;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.813 ; 2.680.404.560 ; 7.258 ; 1.954.288.002 ; 7.564 ; 6.259.066.887 ; 11.662 ; 7.844.751.746 ; 28.297 ; 18.738.511.195 ; 216 ; 2.885.522.484 ; 169 ; 1.412.548.492 ; 385 ; 4.298.070.976 ; 28.682 ; 23.036.582.171 ;
4;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 549 ; 1.358.612.271 ; 4.385 ; 1.003.434.718 ; 1.899 ; 4.703.379.214 ; 3.171 ; 5.139.270.371 ; 10.004 ; 12.204.696.574 ; 519 ; 5.202.688.955 ; 834 ; 5.119.759.776 ; 1.353 ; 10.322.448.731 ; 11.357 ; 22.527.145.305 ;
5;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 5.331 ; 4.581.848.300 ; 14.107 ; 1.666.679.899 ; 23.178 ; 2.441.510.125 ; 38.485 ; 2.729.864.739 ; 81.101 ; 11.419.903.063 ; 927 ; 3.213.023.180 ; 1.025 ; 6.958.914.894 ; 1.952 ; 10.171.938.074 ; 83.053 ; 21.591.841.137 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 521 ; 760.263.308 ; 2.372 ; 273.807.377 ; 6.546 ; 1.112.050.595 ; 17.200 ; 1.909.639.547 ; 26.639 ; 4.055.760.827 ; 399 ; 8.016.804.371 ; 653 ; 7.426.499.273 ; 1.052 ; 15.443.303.644 ; 27.691 ; 19.499.064.471 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 10.332 ; 5.105.414.202 ; 23.600 ; 2.988.330.558 ; 33.633 ; 1.392.316.954 ; 48.555 ; 1.659.416.290 ; 116.120 ; 11.145.478.004 ; 257 ; 1.178.415.084 ; 276 ; 4.548.806.514 ; 533 ; 5.727.221.598 ; 116.653 ; 16.872.699.602 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 181 ; 231.669.965 ; 1.511 ; 390.049.212 ; 1.759 ; 1.422.186.083 ; 2.815 ; 1.630.694.246 ; 6.266 ; 3.674.599.506 ; 349 ; 6.493.550.736 ; 335 ; 6.088.207.719 ; 684 ; 12.581.758.455 ; 6.950 ; 16.256.357.961 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 225 ; 1.644.389.779 ; 261 ; 1.886.689.304 ; 486 ; 3.531.079.083 ; 98 ; 4.298.594.807 ; 90 ; 3.243.110.632 ; 188 ; 7.541.705.439 ; 674 ; 11.072.784.522 ;
