Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Agosto/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 51.031 ; 20.190.139.443 ; 169.099 ; 20.225.296.476 ; 207.302 ; 33.714.644.484 ; 462.955 ; 32.521.022.737 ; 890.387 ; 106.651.103.140 ; 7.089 ; 131.310.233.544 ; 7.747 ; 126.787.016.688 ; 14.836 ; 258.097.250.232 ; 905.223 ; 364.748.353.372 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 78.851 ; 32.013.887.634 ; 271.566 ; 30.575.787.669 ; 357.065 ; 30.218.273.932 ; 480.212 ; 48.867.874.281 ; 1.187.694 ; 141.675.823.516 ; 4.631 ; 100.015.398.978 ; 4.403 ; 85.661.803.327 ; 9.034 ; 185.677.202.305 ; 1.196.728 ; 327.353.025.821 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 3.485 ; 6.702.874.621 ; 27.754 ; 7.117.073.574 ; 13.705 ; 40.632.547.800 ; 24.605 ; 43.335.756.151 ; 69.549 ; 97.788.252.146 ; 4.098 ; 61.312.454.693 ; 5.799 ; 63.991.515.903 ; 9.897 ; 125.303.970.596 ; 79.446 ; 223.092.222.742 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 12.288 ; 17.096.945.112 ; 52.971 ; 14.834.731.009 ; 50.177 ; 49.055.785.066 ; 94.197 ; 55.765.181.667 ; 209.633 ; 136.752.642.854 ; 1.696 ; 26.508.832.246 ; 1.586 ; 23.068.366.641 ; 3.282 ; 49.577.198.887 ; 212.915 ; 186.329.841.741 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 3.101 ; 5.937.421.103 ; 15.691 ; 3.125.088.338 ; 41.200 ; 8.637.891.508 ; 125.231 ; 12.975.237.120 ; 185.223 ; 30.675.638.069 ; 2.745 ; 59.136.153.259 ; 4.213 ; 60.427.142.244 ; 6.958 ; 119.563.295.503 ; 192.181 ; 150.238.933.572 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 35.411 ; 27.544.536.249 ; 105.382 ; 12.909.076.453 ; 173.679 ; 14.363.384.608 ; 266.027 ; 21.008.072.502 ; 580.499 ; 75.825.069.812 ; 7.055 ; 27.192.971.628 ; 7.229 ; 38.425.625.333 ; 14.284 ; 65.618.596.961 ; 594.783 ; 141.443.666.773 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 67.822 ; 38.025.425.380 ; 175.983 ; 22.175.627.027 ; 357.629 ; 16.844.425.656 ; 340.484 ; 24.438.564.641 ; 941.918 ; 101.484.042.704 ; 2.070 ; 12.127.769.209 ; 2.143 ; 24.000.041.471 ; 4.213 ; 36.127.810.680 ; 946.131 ; 137.611.853.384 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 1.532 ; 2.827.743.276 ; 10.889 ; 3.116.568.057 ; 13.021 ; 15.679.975.665 ; 23.357 ; 12.400.899.572 ; 48.799 ; 34.025.186.570 ; 2.781 ; 34.576.517.096 ; 2.988 ; 38.969.051.470 ; 5.769 ; 73.545.568.566 ; 54.568 ; 107.570.755.136 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 3.310 ; 22.104.999.439 ; 2.969 ; 19.323.932.886 ; 6.279 ; 41.428.932.325 ; 507 ; 20.801.682.041 ; 586 ; 22.640.902.514 ; 1.093 ; 43.442.584.555 ; 7.372 ; 84.871.516.880 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 1.999 ; 5.759.013.855 ; 9.321 ; 2.713.427.226 ; 4.428 ; 17.326.529.849 ; 5.771 ; 19.955.427.270 ; 21.519 ; 45.754.398.200 ; 1.870 ; 14.365.055.837 ; 2.312 ; 16.287.201.068 ; 4.182 ; 30.652.256.905 ; 25.701 ; 76.406.655.105 ;
