Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - acumulado janeiro-setembro/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 57.979 ; 22.144.697.230 ; 191.448 ; 22.947.954.570 ; 232.902 ; 37.747.370.178 ; 519.389 ; 35.918.194.029 ; 1.001.718 ; 118.758.216.007 ; 8.004 ; 148.413.307.568 ; 8.785 ; 143.726.632.633 ; 16.789 ; 292.139.940.201 ; 1.018.507 ; 410.898.156.208 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 89.606 ; 36.571.028.250 ; 308.003 ; 35.388.749.121 ; 405.478 ; 37.757.490.454 ; 547.942 ; 55.329.677.965 ; 1.351.029 ; 165.046.945.790 ; 5.291 ; 113.823.312.797 ; 5.143 ; 101.540.070.571 ; 10.434 ; 215.363.383.368 ; 1.361.463 ; 380.410.329.158 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 3.852 ; 7.267.682.260 ; 30.968 ; 7.869.710.765 ; 15.483 ; 45.139.959.507 ; 27.409 ; 47.958.967.556 ; 77.712 ; 108.236.320.088 ; 4.769 ; 73.307.711.901 ; 6.491 ; 73.716.770.536 ; 11.260 ; 147.024.482.437 ; 88.972 ; 255.260.802.525 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 13.934 ; 19.596.132.741 ; 59.816 ; 16.805.523.731 ; 56.584 ; 57.479.405.521 ; 104.497 ; 62.987.440.642 ; 234.831 ; 156.868.502.635 ; 1.935 ; 30.433.720.828 ; 1.849 ; 28.329.597.784 ; 3.784 ; 58.763.318.612 ; 238.615 ; 215.631.821.247 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 3.609 ; 6.886.670.132 ; 18.274 ; 3.581.719.075 ; 47.199 ; 10.731.305.532 ; 146.098 ; 14.472.313.688 ; 215.180 ; 35.672.008.427 ; 3.093 ; 68.357.890.980 ; 4.919 ; 70.026.465.408 ; 8.012 ; 138.384.356.388 ; 223.192 ; 174.056.364.815 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 40.285 ; 30.910.728.941 ; 120.287 ; 15.105.289.637 ; 195.374 ; 15.486.052.277 ; 306.066 ; 23.001.501.919 ; 662.012 ; 84.503.572.774 ; 7.970 ; 33.491.163.909 ; 8.169 ; 45.084.114.118 ; 16.139 ; 78.575.278.027 ; 678.151 ; 163.078.850.801 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 77.212 ; 42.373.839.423 ; 199.822 ; 25.221.032.117 ; 391.278 ; 21.170.091.914 ; 385.440 ; 29.640.981.627 ; 1.053.752 ; 118.405.945.081 ; 2.323 ; 14.426.088.622 ; 2.395 ; 27.267.128.039 ; 4.718 ; 41.693.216.661 ; 1.058.470 ; 160.099.161.742 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 1.736 ; 2.996.880.841 ; 12.433 ; 3.692.126.146 ; 14.613 ; 18.530.232.031 ; 26.441 ; 13.975.080.003 ; 55.223 ; 39.194.319.021 ; 3.132 ; 45.047.273.530 ; 3.352 ; 50.120.714.527 ; 6.484 ; 95.167.988.057 ; 61.707 ; 134.362.307.078 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 4.244 ; 25.601.955.962 ; 3.900 ; 23.901.016.616 ; 8.144 ; 49.502.972.578 ; 567 ; 23.222.259.119 ; 652 ; 24.693.857.531 ; 1.219 ; 47.916.116.650 ; 9.363 ; 97.419.089.228 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 2.188 ; 6.213.698.555 ; 10.609 ; 3.052.379.513 ; 4.981 ; 19.195.592.182 ; 6.572 ; 22.869.902.811 ; 24.350 ; 51.331.573.061 ; 2.095 ; 17.054.870.978 ; 2.619 ; 17.530.137.452 ; 4.714 ; 34.585.008.430 ; 29.064 ; 85.916.581.491 ;
11;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 698 ; 1.897.965.229 ; 7.736 ; 3.121.841.921 ; 1.201 ; 3.786.946.201 ; 2.711 ; 3.667.387.645 ; 12.346 ; 12.474.140.996 ; 4.231 ; 35.830.333.298 ; 4.217 ; 34.847.760.841 ; 8.448 ; 70.678.094.139 ; 20.794 ; 83.152.235.135 ;
12;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 1.442 ; 1.640.762.594 ; 5.870 ; 1.886.273.847 ; 2.215 ; 2.145.890.246 ; 4.294 ; 2.810.624.206 ; 13.821 ; 8.483.550.893 ; 3.351 ; 34.634.076.019 ; 4.545 ; 33.742.924.075 ; 7.896 ; 68.377.000.094 ; 21.717 ; 76.860.550.987 ;
13;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.412 ; 1.474.964.331 ; 5.035 ; 964.129.891 ; 2.064 ; 2.230.432.060 ; 3.493 ; 2.577.640.423 ; 12.004 ; 7.247.166.705 ; 7.298 ; 32.452.510.859 ; 7.711 ; 33.292.573.063 ; 15.009 ; 65.745.083.922 ; 27.013 ; 72.992.250.627 ;
14;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 1.342 ; 157.365.768 ; 16.421 ; 785.821.566 ; 7.676 ; 321.244.054 ; 75.151 ; 4.720.797.839 ; 100.590 ; 5.985.229.227 ; 5.181 ; 34.128.045.221 ; 6.480 ; 29.100.976.944 ; 11.661 ; 63.229.022.165 ; 112.251 ; 69.214.251.392 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 6.013 ; 23.377.046.919 ; 6.995 ; 23.816.015.865 ; 13.008 ; 47.193.062.784 ; 525 ; 10.009.396.159 ; 517 ; 9.527.225.104 ; 1.042 ; 19.536.621.263 ; 14.050 ; 66.729.684.047 ;
16;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.892 ; 27.472.543.803 ; 3.261 ; 27.419.245.776 ; 6.153 ; 54.891.789.579 ; 146 ; 5.560.715.870 ; 128 ; 5.682.300.000 ; 274 ; 11.243.015.870 ; 6.427 ; 66.134.805.449 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 996 ; 1.129.530.829 ; 7.090 ; 1.899.699.497 ; 3.117 ; 7.413.409.119 ; 5.285 ; 8.517.128.958 ; 16.488 ; 18.959.768.403 ; 8.960 ; 22.122.175.578 ; 8.951 ; 19.466.025.823 ; 17.911 ; 41.588.201.401 ; 34.399 ; 60.547.969.804 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 10.697 ; 1.812.158.412 ; 73.559 ; 3.455.412.467 ; 93.902 ; 5.032.186.653 ; 375.501 ; 8.141.203.792 ; 553.659 ; 18.440.961.324 ; 1.722 ; 16.402.371.890 ; 1.946 ; 11.507.161.941 ; 3.668 ; 27.909.533.831 ; 557.327 ; 46.350.495.155 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 719 ; 2.360.200.134 ; 27 ; 35.071.209 ; 625 ; 2.715.390.499 ; 1.555 ; 2.487.994.911 ; 2.926 ; 7.598.656.753 ; 1.052 ; 17.509.486.726 ; 1.167 ; 19.973.763.185 ; 2.219 ; 37.483.249.911 ; 5.145 ; 45.081.906.664 ;
20;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 1 ; 5.000.000 ; -   ; -   ; 1 ; 5.000.000 ; 47 ; 20.670.918.413 ; 55 ; 21.150.000.000 ; 102 ; 41.820.918.413 ; 103 ; 41.825.918.413 ;
21;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 3.001 ; 1.249.409.833 ; 10.867 ; 1.170.362.508 ; 205.552 ; 4.062.717.865 ; 153.165 ; 4.344.766.572 ; 372.585 ; 10.827.256.778 ; 3.277 ; 11.558.784.876 ; 3.218 ; 11.732.786.240 ; 6.495 ; 23.291.571.116 ; 379.080 ; 34.118.827.894 ;
22;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 41 ; 1.304.792.558 ; 6 ; 11.081.827 ; 1.147 ; 8.889.452.889 ; 1.295 ; 7.518.237.443 ; 2.489 ; 17.723.564.717 ; 155 ; 5.253.116.029 ; 252 ; 7.711.710.021 ; 407 ; 12.964.826.050 ; 2.896 ; 30.688.390.767 ;
23;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 513 ; 2.971.239.500 ; 1.965 ; 646.618.242 ; 2.027 ; 3.565.706.991 ; 3.062 ; 2.917.048.492 ; 7.567 ; 10.100.613.225 ; 2.649 ; 8.742.686.164 ; 2.741 ; 11.712.294.738 ; 5.390 ; 20.454.980.902 ; 12.957 ; 30.555.594.127 ;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 726 ; 1.431.337.179 ; 2.013 ; 724.565.482 ; 977 ; 1.444.701.712 ; 1.596 ; 1.099.711.589 ; 5.312 ; 4.700.315.962 ; 1.347 ; 10.835.040.943 ; 1.423 ; 11.762.865.792 ; 2.770 ; 22.597.906.735 ; 8.082 ; 27.298.222.697 ;
25;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.698 ; 1.259.091.554 ; 6.896 ; 1.360.493.032 ; 22.010 ; 4.460.050.650 ; 52.615 ; 4.765.622.463 ; 83.219 ; 11.845.257.699 ; 721 ; 6.763.243.996 ; 1.227 ; 7.075.095.900 ; 1.948 ; 13.838.339.896 ; 85.167 ; 25.683.597.595 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 4.532 ; 725.898.718 ; 20.034 ; 3.778.273.369 ; 44.055 ; 1.280.890.951 ; 70.864 ; 3.356.111.938 ; 139.485 ; 9.141.174.976 ; 1.511 ; 9.526.103.824 ; 1.272 ; 4.451.925.720 ; 2.783 ; 13.978.029.544 ; 142.268 ; 23.119.204.520 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 7.884 ; 1.297.222.194 ; 38.275 ; 2.284.193.970 ; 416.237 ; 2.812.022.398 ; 1.889.278 ; 4.546.118.656 ; 2.351.674 ; 10.939.557.218 ; 9.746 ; 6.386.877.132 ; 70.518 ; 3.628.590.697 ; 80.264 ; 10.015.467.829 ; 2.431.938 ; 20.955.025.047 ;
28;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 3.475 ; 983.296.422 ; 13.053 ; 2.483.953.517 ; 540.260 ; 4.170.964.180 ; 340.835 ; 2.640.034.336 ; 897.623 ; 10.278.248.455 ; 2.872 ; 2.868.620.485 ; 12.626 ; 2.861.507.213 ; 15.498 ; 5.730.127.698 ; 913.121 ; 16.008.376.153 ;
29;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 1.552 ; 269.113.999 ; 6.652 ; 68.794.580 ; 302.543 ; 1.201.293.186 ; 619.104 ; 5.597.061.520 ; 929.851 ; 7.136.263.285 ; 6.721 ; 6.313.732.961 ; 26.198 ; 2.138.819.476 ; 32.919 ; 8.452.552.437 ; 962.770 ; 15.588.815.722 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 72.691 ; 23.886.204 ; 2.637 ; 2.539.259 ; 11.898.713 ; 4.423.821.700 ; 15.269.097 ; 5.444.703.408 ; 27.243.138 ; 9.894.950.571 ; 9.152 ; 3.252.747.801 ; 8.671 ; 2.255.505.044 ; 17.823 ; 5.508.252.845 ; 27.260.961 ; 15.403.203.416 ;
31;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 99 ; 1.939.829.771 ; 29 ; 44.316.459 ; 221 ; 1.205.767.941 ; 400 ; 538.048.747 ; 749 ; 3.727.962.918 ; 459 ; 3.797.379.594 ; 524 ; 6.363.726.959 ; 983 ; 10.161.106.553 ; 1.732 ; 13.889.069.471 ;
32;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 4.319 ; 496.188.366 ; 20.361 ; 736.186.658 ; 56.711 ; 1.247.262.928 ; 47.057 ; 2.504.527.315 ; 128.448 ; 4.984.165.267 ; 18.485 ; 5.114.688.395 ; 34.493 ; 3.635.806.225 ; 52.978 ; 8.750.494.620 ; 181.426 ; 13.734.659.887 ;
33;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 218 ; 134.669.189 ; 812 ; 192.221.606 ; 420 ; 1.036.511.232 ; 2.744 ; 1.461.469.330 ; 4.194 ; 2.824.871.357 ; 938 ; 5.048.055.860 ; 915 ; 4.847.342.471 ; 1.853 ; 9.895.398.331 ; 6.047 ; 12.720.269.688 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.353 ; 988.195.638 ; 5.919 ; 734.069.553 ; 2.723 ; 1.061.649.034 ; 3.778 ; 939.834.930 ; 13.773 ; 3.723.749.155 ; 825 ; 3.617.434.687 ; 847 ; 4.071.126.092 ; 1.672 ; 7.688.560.779 ; 15.445 ; 11.412.309.934 ;
35;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 883 ; 615.826.062 ; 6.001 ; 927.691.495 ; 780 ; 466.961.623 ; 5.449 ; 864.808.931 ; 13.113 ; 2.875.288.111 ; 1.030 ; 4.708.475.210 ; 1.331 ; 3.764.706.462 ; 2.361 ; 8.473.181.672 ; 15.474 ; 11.348.469.783 ;
36;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 826 ; 577.846.479 ; 3.451 ; 1.083.527.187 ; 322 ; 197.271.784 ; 1.043 ; 155.783.657 ; 5.642 ; 2.014.429.107 ; 654 ; 4.527.148.863 ; 689 ; 4.186.923.765 ; 1.343 ; 8.714.072.628 ; 6.985 ; 10.728.501.735 ;
37;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 596 ; 287.911.698 ; 2.306 ; 1.637.996.016 ; 40.967 ; 1.334.683.852 ; 8.116 ; 1.207.276.219 ; 51.985 ; 4.467.867.785 ; 542 ; 3.746.807.511 ; 338 ; 2.498.631.002 ; 880 ; 6.245.438.513 ; 52.865 ; 10.713.306.298 ;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 5 ; 132.935.000 ; 3 ; 3.958.705 ; 137 ; 1.558.584.731 ; 790 ; 2.863.542.830 ; 935 ; 4.559.021.266 ; 104 ; 3.292.519.099 ; 77 ; 2.341.498.613 ; 181 ; 5.634.017.712 ; 1.116 ; 10.193.038.978 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 1.626 ; 2.413.861.942 ; 7.062 ; 385.773.882 ; 376.241 ; 618.864.480 ; 356.911 ; 2.087.943.190 ; 741.840 ; 5.506.443.494 ; 10.549 ; 1.932.042.322 ; 10.772 ; 2.489.768.270 ; 21.321 ; 4.421.810.592 ; 763.161 ; 9.928.254.086 ;
