Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em setembro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.759 ; 4.558.062.329 ; 36.448 ; 4.813.846.239 ; 48.413 ; 7.538.375.114 ; 67.717 ; 6.442.194.042 ; 163.337 ; 23.352.477.724 ; 660 ; 13.807.913.819 ; 740 ; 15.878.267.243 ; 1.400 ; 29.686.181.062 ; 164.737 ; 53.038.658.786 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.950 ; 1.954.632.804 ; 22.357 ; 2.723.120.254 ; 25.601 ; 4.032.674.659 ; 56.436 ; 3.398.393.446 ; 111.344 ; 12.108.821.163 ; 915 ; 17.103.074.024 ; 1.038 ; 16.939.615.945 ; 1.953 ; 34.042.689.969 ; 113.297 ; 46.151.511.132 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 367 ; 564.807.639 ; 3.214 ; 752.637.191 ; 1.778 ; 4.507.411.708 ; 2.804 ; 4.623.211.405 ; 8.163 ; 10.448.067.943 ; 671 ; 11.995.257.208 ; 692 ; 9.725.254.633 ; 1.363 ; 21.720.511.841 ; 9.526 ; 32.168.579.784 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.646 ; 2.499.187.628 ; 6.848 ; 1.970.873.961 ; 6.418 ; 8.424.286.227 ; 10.298 ; 7.222.197.736 ; 25.210 ; 20.116.545.552 ; 239 ; 3.924.888.582 ; 263 ; 5.261.231.144 ; 502 ; 9.186.119.726 ; 25.712 ; 29.302.665.278 ;
5;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 204 ; 169.137.564 ; 1.544 ; 575.558.089 ; 1.592 ; 2.850.256.366 ; 3.085 ; 1.574.253.171 ; 6.425 ; 5.169.205.190 ; 351 ; 10.470.756.434 ; 364 ; 11.151.663.057 ; 715 ; 21.622.419.491 ; 7.140 ; 26.791.624.681 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 508 ; 949.249.028 ; 2.583 ; 456.630.736 ; 6.000 ; 2.094.095.868 ; 20.868 ; 1.497.087.148 ; 29.959 ; 4.997.062.780 ; 348 ; 9.221.737.721 ; 706 ; 9.599.323.164 ; 1.054 ; 18.821.060.885 ; 31.013 ; 23.818.123.665 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.393 ; 4.347.191.802 ; 23.857 ; 3.047.645.591 ; 33.660 ; 4.327.149.345 ; 44.998 ; 5.202.378.887 ; 111.908 ; 16.924.365.625 ; 253 ; 2.298.319.413 ; 252 ; 3.267.086.568 ; 505 ; 5.565.405.981 ; 112.413 ; 22.489.771.606 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.875 ; 3.366.257.692 ; 14.908 ; 2.196.335.756 ; 21.697 ; 1.122.877.965 ; 40.038 ; 1.993.379.864 ; 81.518 ; 8.678.851.277 ; 915 ; 6.298.192.281 ; 940 ; 6.658.488.785 ; 1.855 ; 12.956.681.066 ; 83.373 ; 21.635.532.343 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 934 ; 3.496.956.523 ; 931 ; 4.577.083.730 ; 1.865 ; 8.074.040.253 ; 60 ; 2.420.577.078 ; 66 ; 2.052.955.017 ; 126 ; 4.473.532.095 ; 1.991 ; 12.547.572.348 ;
